location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17107,2020-01-01,ChIJrfmrABDXCogRZF_dn6jVX6k,Q490980,geoId/17107,US,United States of America,IL,Illinois,17107,Logan County,US,USA,2,,,,,,,29034,14749,14285,3015,3474,4153,4007,3481,3856,3411,2107,1530,1800575,40.13,-89.36,1603,77.175,,,,,,7.42,7.08,8.43,,6.74,,18.54,7.08,5.06,6.74,7.42,6.74,25.95,7.08,7.08,5.73,40.78,,5.06,1.388889,-4.177778,8.911111,0.0254,,-2.617284,74.529513
US_IL_17107,2020-01-02,ChIJrfmrABDXCogRZF_dn6jVX6k,Q490980,geoId/17107,US,United States of America,IL,Illinois,17107,Logan County,US,USA,2,,,,,,,29034,14749,14285,3015,3474,4153,4007,3481,3856,3411,2107,1530,1800575,40.13,-89.36,1603,77.175,,,,,,9.27,6.62,10.59,6.62,5.96,8.61,15.89,9.93,8.28,,,9.27,31.45,5.3,6.29,,41.05,5.96,,5.583333,1.622222,10.166667,0.0,,0.32716,68.503558
US_IL_17107,2020-01-03,ChIJrfmrABDXCogRZF_dn6jVX6k,Q490980,geoId/17107,US,United States of America,IL,Illinois,17107,Logan County,US,USA,2,,,,,,,29034,14749,14285,3015,3474,4153,4007,3481,3856,3411,2107,1530,1800575,40.13,-89.36,1603,77.175,,,,,,,,7.77,,5.18,6.8,17.8,10.68,9.06,,8.09,7.44,27.19,8.09,9.71,5.5,38.84,7.12,4.53,3.861111,1.405556,7.35,0.0,,2.388889,90.194671
US_IL_17107,2020-01-04,ChIJrfmrABDXCogRZF_dn6jVX6k,Q490980,geoId/17107,US,United States of America,IL,Illinois,17107,Logan County,US,USA,2,,,,,,,29034,14749,14285,3015,3474,4153,4007,3481,3856,3411,2107,1530,1800575,40.13,-89.36,1603,77.175,,,,,,4.71,,11.44,7.07,,5.72,17.16,8.75,7.07,5.72,5.05,,27.25,6.39,6.06,5.05,45.76,11.1,,0.45,-1.311111,2.627778,0.41275,,-1.160494,89.372094
US_IL_17107,2020-01-05,ChIJrfmrABDXCogRZF_dn6jVX6k,Q490980,geoId/17107,US,United States of America,IL,Illinois,17107,Logan County,US,USA,2,,,,,,,29034,14749,14285,3015,3474,4153,4007,3481,3856,3411,2107,1530,1800575,40.13,-89.36,1603,77.175,,,,,,4.82,4.82,11.26,7.72,,8.04,14.47,5.14,8.68,,,,22.19,6.11,8.36,,43.73,5.79,4.82,0.55,-5.305556,9.294444,0.2794,30.48,-3.351852,75.033569
US_IL_17107,2020-01-06,ChIJrfmrABDXCogRZF_dn6jVX6k,Q490980,geoId/17107,US,United States of America,IL,Illinois,17107,Logan County,US,USA,2,,,,,,,29034,14749,14285,3015,3474,4153,4007,3481,3856,3411,2107,1530,1800575,40.13,-89.36,1603,77.175,,,,,,5.4,5.1,9.9,9.3,4.5,7.5,14.7,6.9,6.9,5.1,,,24.6,4.2,5.4,,38.7,8.4,6.0,0.755556,-4.761111,6.327778,0.0,,-4.265432,68.999811
US_IL_17107,2020-01-07,ChIJrfmrABDXCogRZF_dn6jVX6k,Q490980,geoId/17107,US,United States of America,IL,Illinois,17107,Logan County,US,USA,2,,,,,,,29034,14749,14285,3015,3474,4153,4007,3481,3856,3411,2107,1530,1800575,40.13,-89.36,1603,77.175,,,,,,5.77,5.77,10.63,10.63,4.25,5.47,12.76,8.51,10.63,6.08,,5.77,26.43,6.38,9.42,,33.72,5.77,,0.377778,-4.366667,6.016667,0.0508,,-3.901235,72.792075
US_IL_17107,2020-01-08,ChIJrfmrABDXCogRZF_dn6jVX6k,Q490980,geoId/17107,US,United States of America,IL,Illinois,17107,Logan County,US,USA,2,,,,,,,29034,14749,14285,3015,3474,4153,4007,3481,3856,3411,2107,1530,1800575,40.13,-89.36,1603,77.175,,,,,,,4.5,7.2,9.9,5.1,4.2,11.11,6.9,8.4,6.0,5.1,7.2,28.82,5.1,6.3,,36.02,10.81,,-1.961111,-6.05,2.861111,0.0508,,-8.654321,60.166652
US_IL_17107,2020-01-09,ChIJrfmrABDXCogRZF_dn6jVX6k,Q490980,geoId/17107,US,United States of America,IL,Illinois,17107,Logan County,US,USA,2,,,,,,,29034,14749,14285,3015,3474,4153,4007,3481,3856,3411,2107,1530,1800575,40.13,-89.36,1603,77.175,,,,,,5.87,8.21,7.92,5.87,4.11,6.16,9.68,7.92,9.09,6.16,,9.09,23.46,6.75,4.11,4.11,39.59,8.8,4.99,3.883333,-3.505556,11.572222,0.056444,,-2.222222,63.525993
US_IL_17107,2020-01-10,ChIJrfmrABDXCogRZF_dn6jVX6k,Q490980,geoId/17107,US,United States of America,IL,Illinois,17107,Logan County,US,USA,2,,,,,,,29034,14749,14285,3015,3474,4153,4007,3481,3856,3411,2107,1530,1800575,40.13,-89.36,1603,77.175,,,,,,3.99,6.84,7.13,7.13,4.28,4.56,11.69,4.85,6.84,,4.85,4.56,22.53,5.42,,4.28,28.8,8.27,,10.494444,8.127778,13.716667,9.934222,,9.462963,93.006567
