location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01039,2020-01-01,ChIJL6eZvYO9kYgR8JpPeJgyi8I,Q487725,geoId/01039,US,United States of America,AL,Alabama,01039,Covington County,US,USA,2,,,,,,,37062,17865,19197,4392,4405,4222,4090,4270,5298,4950,3372,2063,1848768,31.241944,-86.4525,2704,74.930769,,,,,5.98,10.55,10.55,,7.74,6.33,15.83,8.79,,6.33,5.98,,5.28,5.28,7.04,10.2,27.09,5.63,8.09,6.68,,53.47,5.63,8.79,,,5.28,7.233333,1.155556,15.772222,0.0,-0.08642,60.134344
US_AL_01039,2020-01-02,ChIJL6eZvYO9kYgR8JpPeJgyi8I,Q487725,geoId/01039,US,United States of America,AL,Alabama,01039,Covington County,US,USA,2,,,,,,,37062,17865,19197,4392,4405,4222,4090,4270,5298,4950,3372,2063,1848768,31.241944,-86.4525,2704,74.930769,,,,,6.15,5.18,7.76,5.5,8.41,6.47,16.82,13.91,,11.97,,9.06,4.53,5.18,,11.0,30.73,8.73,13.91,,7.12,44.0,,8.09,6.15,7.44,,15.005556,8.694444,21.988889,4.0132,8.135802,66.855928
US_AL_01039,2020-01-03,ChIJL6eZvYO9kYgR8JpPeJgyi8I,Q487725,geoId/01039,US,United States of America,AL,Alabama,01039,Covington County,US,USA,2,,,,,,,37062,17865,19197,4392,4405,4222,4090,4270,5298,4950,3372,2063,1848768,31.241944,-86.4525,2704,74.930769,,,,,,6.94,9.47,4.74,6.31,8.52,20.2,7.89,,7.89,5.68,,5.05,4.42,,5.68,26.83,5.37,8.21,4.42,9.15,53.35,,6.63,7.89,5.37,5.05,21.944444,16.344444,25.405556,14.5796,19.902778,87.641845
US_AL_01039,2020-01-04,ChIJL6eZvYO9kYgR8JpPeJgyi8I,Q487725,geoId/01039,US,United States of America,AL,Alabama,01039,Covington County,US,USA,2,,,,,,,37062,17865,19197,4392,4405,4222,4090,4270,5298,4950,3372,2063,1848768,31.241944,-86.4525,2704,74.930769,,,,,,8.89,13.51,6.76,9.6,7.82,14.58,9.25,4.98,6.05,4.98,5.69,5.33,,5.69,5.33,25.25,7.11,8.18,,5.33,46.23,,8.89,6.4,,6.05,15.458333,11.645833,17.5,23.6855,10.238095,70.7722
US_AL_01039,2020-01-05,ChIJL6eZvYO9kYgR8JpPeJgyi8I,Q487725,geoId/01039,US,United States of America,AL,Alabama,01039,Covington County,US,USA,2,,,,,,,37062,17865,19197,4392,4405,4222,4090,4270,5298,4950,3372,2063,1848768,31.241944,-86.4525,2704,74.930769,,,,,5.54,9.98,13.3,,5.17,5.17,17.0,13.3,5.91,9.98,,7.76,,,,6.65,22.17,,10.71,,6.65,51.73,5.17,9.61,8.13,6.28,,7.597222,0.104167,16.097222,0.15875,-0.531746,55.892348
US_AL_01039,2020-01-06,ChIJL6eZvYO9kYgR8JpPeJgyi8I,Q487725,geoId/01039,US,United States of America,AL,Alabama,01039,Covington County,US,USA,2,,,,,,,37062,17865,19197,4392,4405,4222,4090,4270,5298,4950,3372,2063,1848768,31.241944,-86.4525,2704,74.930769,,,,,5.67,7.0,12.0,6.33,,6.33,18.0,9.34,,12.34,6.33,6.0,4.67,4.67,7.67,9.34,29.34,5.33,8.0,7.33,8.34,41.34,5.33,9.67,5.33,,7.0,9.433333,1.222222,20.111111,0.0,4.592593,71.02199
US_AL_01039,2020-01-07,ChIJL6eZvYO9kYgR8JpPeJgyi8I,Q487725,geoId/01039,US,United States of America,AL,Alabama,01039,Covington County,US,USA,2,,,,,,,37062,17865,19197,4392,4405,4222,4090,4270,5298,4950,3372,2063,1848768,31.241944,-86.4525,2704,74.930769,,,,,,6.22,10.89,4.67,,4.36,13.38,7.16,6.84,13.69,,5.6,,,6.22,9.33,24.89,5.91,7.78,8.09,5.91,39.52,,7.78,6.22,8.71,6.22,12.25,5.933333,18.183333,0.0,4.969136,60.727379
US_AL_01039,2020-01-08,ChIJL6eZvYO9kYgR8JpPeJgyi8I,Q487725,geoId/01039,US,United States of America,AL,Alabama,01039,Covington County,US,USA,2,,,,,,,37062,17865,19197,4392,4405,4222,4090,4270,5298,4950,3372,2063,1848768,31.241944,-86.4525,2704,74.930769,,,,,5.1,9.0,14.1,9.0,6.9,5.1,15.6,8.1,4.5,9.3,,9.6,7.2,9.0,5.4,9.3,36.3,6.3,7.8,4.2,5.7,45.9,5.4,12.9,4.5,6.0,7.2,7.783333,-1.011111,18.15,0.0,-2.080247,49.513962
US_AL_01039,2020-01-09,ChIJL6eZvYO9kYgR8JpPeJgyi8I,Q487725,geoId/01039,US,United States of America,AL,Alabama,01039,Covington County,US,USA,2,,,,,,,37062,17865,19197,4392,4405,4222,4090,4270,5298,4950,3372,2063,1848768,31.241944,-86.4525,2704,74.930769,,,,,9.04,7.17,12.16,6.55,7.17,9.36,14.97,9.04,8.11,14.03,4.68,8.42,,,,11.85,32.74,7.17,8.42,5.3,9.04,46.46,8.73,13.72,4.68,,7.48,9.094444,0.838889,20.572222,0.0,2.08642,61.50839
US_AL_01039,2020-01-10,ChIJL6eZvYO9kYgR8JpPeJgyi8I,Q487725,geoId/01039,US,United States of America,AL,Alabama,01039,Covington County,US,USA,2,,,,,,,37062,17865,19197,4392,4405,4222,4090,4270,5298,4950,3372,2063,1848768,31.241944,-86.4525,2704,74.930769,,,,,4.79,4.51,8.74,7.61,6.2,4.51,9.87,6.2,4.51,8.46,4.23,4.51,,,,10.15,29.88,8.46,8.46,5.92,,37.49,4.23,12.12,5.07,4.23,7.05,18.761111,15.116667,23.522222,0.0,13.098765,69.0646
