location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SD_46081,2020-01-01,ChIJgzdJ6vajMlMRs3gfVRaoiOw,Q489099,geoId/46081,US,United States of America,SD,South Dakota,46081,Lawrence County,US,USA,2,,,,,,,25677,12858,12819,2488,3133,3645,2976,2582,3441,4054,2074,1284,1739829,44.36,-103.79,2073,79.26,,,,,,,5.87,7.26,8.66,5.31,4.19,,12.29,9.78,6.14,6.42,,,5.31,,6.14,,15.92,4.19,5.58,4.47,,,32.95,,4.47,4.75,,,2.0,-5.405556,7.488889,0.0,,-6.180556,54.21995
US_SD_46081,2020-01-02,ChIJgzdJ6vajMlMRs3gfVRaoiOw,Q489099,geoId/46081,US,United States of America,SD,South Dakota,46081,Lawrence County,US,USA,2,,,,,,,25677,12858,12819,2488,3133,3645,2976,2582,3441,4054,2074,1284,1739829,44.36,-103.79,2073,79.26,,,,,,5.38,7.94,10.76,4.87,4.87,,3.59,13.07,8.2,4.1,7.17,5.12,3.84,5.64,,,,24.86,8.2,6.15,,,3.84,30.49,3.84,5.89,4.1,,,1.294444,-2.272222,6.705556,0.85725,,-1.729167,78.20065
US_SD_46081,2020-01-03,ChIJgzdJ6vajMlMRs3gfVRaoiOw,Q489099,geoId/46081,US,United States of America,SD,South Dakota,46081,Lawrence County,US,USA,2,,,,,,,25677,12858,12819,2488,3133,3645,2976,2582,3441,4054,2074,1284,1739829,44.36,-103.79,2073,79.26,,,,,,3.58,5.37,11.51,5.12,5.12,4.61,,12.54,6.91,4.86,6.4,4.09,,,,,4.61,26.35,5.63,5.88,,5.37,5.88,37.35,4.35,9.47,4.09,,3.58,-1.822222,-6.088889,3.4,1.27,,-6.805556,66.686298
US_SD_46081,2020-01-04,ChIJgzdJ6vajMlMRs3gfVRaoiOw,Q489099,geoId/46081,US,United States of America,SD,South Dakota,46081,Lawrence County,US,USA,2,,,,,,,25677,12858,12819,2488,3133,3645,2976,2582,3441,4054,2074,1284,1739829,44.36,-103.79,2073,79.26,,,,,,,9.75,5.16,4.88,4.88,,,15.78,6.6,4.3,4.88,6.6,,4.59,,,6.88,16.64,4.3,5.45,,,,26.39,,4.3,5.45,,4.3,1.705556,-5.027778,9.677778,0.0,,-5.243056,59.410558
US_SD_46081,2020-01-05,ChIJgzdJ6vajMlMRs3gfVRaoiOw,Q489099,geoId/46081,US,United States of America,SD,South Dakota,46081,Lawrence County,US,USA,2,,,,,,,25677,12858,12819,2488,3133,3645,2976,2582,3441,4054,2074,1284,1739829,44.36,-103.79,2073,79.26,,,,,,,9.82,6.35,6.35,6.35,6.07,,11.26,6.64,5.49,5.78,,5.49,,4.62,4.04,5.78,24.84,10.97,4.91,4.62,4.33,,32.92,4.62,5.2,6.07,,,1.122222,-5.15,9.005556,0.0,,-9.256944,45.237422
US_SD_46081,2020-01-06,ChIJgzdJ6vajMlMRs3gfVRaoiOw,Q489099,geoId/46081,US,United States of America,SD,South Dakota,46081,Lawrence County,US,USA,2,,,,,,,25677,12858,12819,2488,3133,3645,2976,2582,3441,4054,2074,1284,1739829,44.36,-103.79,2073,79.26,,,,,,,6.79,7.83,5.75,,,,13.84,7.05,4.44,9.14,4.44,5.48,3.66,,,4.44,17.23,6.53,5.75,,,4.18,28.73,3.92,5.75,5.48,,4.18,-2.472222,-7.205556,2.727778,0.0,,-10.5625,52.581288
US_SD_46081,2020-01-07,ChIJgzdJ6vajMlMRs3gfVRaoiOw,Q489099,geoId/46081,US,United States of America,SD,South Dakota,46081,Lawrence County,US,USA,2,,,,,,,25677,12858,12819,2488,3133,3645,2976,2582,3441,4054,2074,1284,1739829,44.36,-103.79,2073,79.26,,,,,,4.74,,7.64,11.59,4.48,9.74,,10.8,4.48,5.0,8.96,7.38,4.74,,5.27,,6.32,18.17,6.06,3.95,,5.0,5.27,35.29,,,6.32,5.0,,-1.405556,-6.572222,4.294444,0.0,,-8.055556,60.136668
US_SD_46081,2020-01-08,ChIJgzdJ6vajMlMRs3gfVRaoiOw,Q489099,geoId/46081,US,United States of America,SD,South Dakota,46081,Lawrence County,US,USA,2,,,,,,,25677,12858,12819,2488,3133,3645,2976,2582,3441,4054,2074,1284,1739829,44.36,-103.79,2073,79.26,,,,,,4.78,5.58,9.56,10.63,4.52,5.84,,12.22,5.58,3.72,6.91,,7.17,,,,7.71,25.51,4.52,,4.25,5.05,9.83,32.68,,8.24,,,,-1.938889,-6.505556,3.661111,0.0762,,-6.534722,71.644165
US_SD_46081,2020-01-09,ChIJgzdJ6vajMlMRs3gfVRaoiOw,Q489099,geoId/46081,US,United States of America,SD,South Dakota,46081,Lawrence County,US,USA,2,,,,,,,25677,12858,12819,2488,3133,3645,2976,2582,3441,4054,2074,1284,1739829,44.36,-103.79,2073,79.26,,,,,,,7.75,5.61,11.22,,8.55,4.54,14.96,4.01,4.01,7.48,4.54,5.88,,,,5.07,24.3,9.08,4.01,,3.74,6.94,30.45,3.74,9.61,,4.54,,-1.911111,-6.322222,3.116667,0.0,,-5.729167,72.458773
US_SD_46081,2020-01-10,ChIJgzdJ6vajMlMRs3gfVRaoiOw,Q489099,geoId/46081,US,United States of America,SD,South Dakota,46081,Lawrence County,US,USA,2,,,,,,,25677,12858,12819,2488,3133,3645,2976,2582,3441,4054,2074,1284,1739829,44.36,-103.79,2073,79.26,,,,,,,,7.08,6.29,4.72,3.93,3.67,12.59,7.87,4.2,7.08,3.67,,3.67,3.67,4.46,5.51,20.46,4.2,3.67,,4.98,6.56,31.21,3.93,4.46,5.51,4.2,5.51,-10.466667,-15.694444,-1.727778,1.42875,,-13.0,79.687114
