location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48195,2020-01-01,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,,3.766667,-3.022222,15.827778,0.0,-5.037037,52.596528
US_TX_48195,2020-01-02,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,,5.416667,-0.011111,11.805556,0.0,-2.561728,56.735265
US_TX_48195,2020-01-03,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,48.6,3.916667,-2.45,10.622222,0.0,-2.808642,61.236271
US_TX_48195,2020-01-04,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,,3.972222,-3.672222,16.416667,0.0,-4.166667,55.516533
US_TX_48195,2020-01-05,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,,7.466667,1.05,12.966667,0.0,-3.703704,45.049943
US_TX_48195,2020-01-06,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,,2.916667,-4.861111,12.272222,0.0,-6.395062,50.493551
US_TX_48195,2020-01-07,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,85.56,2.583333,-6.688889,16.022222,0.0,-9.833333,39.470652
US_TX_48195,2020-01-08,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,36.32,5.844444,-2.555556,17.738889,0.0,-8.555556,35.058298
US_TX_48195,2020-01-09,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,46.91,7.616667,-1.816667,15.316667,0.0,-4.777778,40.960823
US_TX_48195,2020-01-10,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,,3.716667,-1.055556,10.305556,0.0,-3.716049,58.261877
US_TX_48195,2020-01-11,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,,-3.477778,-10.544444,7.105556,0.084667,-8.549383,67.550913
US_TX_48195,2020-01-12,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,,1.766667,-5.905556,12.094444,0.0,-6.641975,53.663969
US_TX_48195,2020-01-13,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,57.51,5.005556,-4.494444,19.358025,0.0,-7.888889,39.106487
US_TX_48195,2020-01-14,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,,6.216667,-5.188889,20.864198,0.0,-8.932099,32.824929
US_TX_48195,2020-01-15,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,39.42,7.522222,2.366667,15.25,0.0,-7.858025,32.560893
US_TX_48195,2020-01-16,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,30.65,-1.333333,-4.983333,5.827778,0.169333,-8.135802,59.34763
US_TX_48195,2020-01-17,ChIJ7WX5DZFTBocRodTMe3bugXA,Q109646,geoId/48195,US,United States of America,TX,Texas,48195,Hansford County,US,USA,2,,,,,,,5485,2804,2681,836,954,695,583,645,677,527,337,231,1807497,36.28,-101.35,2384,78.8,,1.733333,-4.072222,14.472222,3.556,-0.475309,84.950125
