location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_LA_22095,2020-01-01,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,3.29,5.48,3.47,10.96,6.94,4.02,,3.29,5.11,,4.38,10.41,,7.85,4.02,3.29,6.39,5.29,4.75,4.93,2.92,4.56,5.29,,6.94,17.16,4.38,,9.68,,,5.66,5.29,36.33,3.47,3.47,4.38,3.29,3.65,2.74,,11.05,6.838889,15.972222,0.0,3.493056,61.457605
US_LA_22095,2020-01-02,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,,8.23,3.19,13.1,6.05,2.69,3.36,3.86,5.37,,3.53,13.77,2.85,10.08,3.53,5.21,6.21,4.03,4.2,3.86,4.54,3.86,6.21,3.86,7.89,19.99,5.54,2.35,7.22,2.52,3.36,5.04,5.37,34.43,2.69,5.88,6.05,2.35,4.7,2.85,3.69,19.027778,12.933333,24.866667,10.978444,16.722222,86.913635
US_LA_22095,2020-01-03,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.9,7.77,,8.1,5.91,4.05,,4.39,,2.87,3.71,14.18,,9.62,3.38,5.07,9.12,4.05,3.88,3.88,3.04,5.4,4.39,4.05,9.29,19.92,5.74,,6.58,,4.05,3.54,3.04,31.91,3.88,6.08,5.91,4.73,6.58,,4.39,17.55,15.172222,23.066667,7.366,16.375,92.420483
US_LA_22095,2020-01-04,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,5.64,7.83,2.55,6.01,6.37,3.64,2.73,4.55,4.19,2.73,4.55,12.2,4.19,7.28,5.1,2.91,7.83,3.82,5.46,3.46,4.19,5.64,3.46,3.82,4.73,23.3,2.73,,7.46,3.1,,,4.55,35.32,4.73,5.1,6.37,,2.91,,3.64,14.938889,12.722222,17.788889,15.6464,9.868056,71.616606
US_LA_22095,2020-01-05,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.28,12.28,2.98,8.93,6.7,,,5.39,3.91,3.53,2.6,14.88,3.72,6.88,3.72,2.79,6.51,4.09,4.09,3.35,,9.3,2.98,,6.32,15.44,4.28,3.35,5.21,2.79,3.53,3.35,2.98,32.18,4.09,5.02,3.53,3.16,3.53,3.91,,10.772222,4.311111,18.227778,0.0,4.208333,66.404219
US_LA_22095,2020-01-06,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.31,7.24,2.93,12.41,4.83,4.48,2.41,4.83,6.55,,5.69,14.99,3.1,6.89,4.31,2.93,9.82,5.17,3.79,2.76,6.55,,3.62,3.1,8.62,20.16,4.65,3.62,8.1,2.93,3.1,4.48,4.48,35.15,6.55,7.75,3.45,5.17,3.96,2.76,2.76,13.35,6.733333,21.522222,0.0,8.041667,71.517524
US_LA_22095,2020-01-07,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,3.68,8.53,,10.54,6.19,6.86,3.35,2.68,2.84,2.51,3.35,13.71,4.18,9.53,2.51,3.18,8.2,4.18,3.51,3.01,3.01,3.68,3.18,4.01,7.02,21.57,7.02,,5.69,2.34,3.18,3.01,4.85,36.12,3.85,,5.02,6.02,3.85,2.68,4.01,14.994444,11.788889,18.266667,0.0,7.381944,60.50202
US_LA_22095,2020-01-08,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.97,6.39,3.19,10.29,7.1,3.02,3.9,6.39,4.26,2.66,2.84,15.79,3.02,8.34,3.73,4.26,7.98,4.26,4.08,2.84,4.61,3.73,4.97,,6.57,34.42,6.92,2.48,5.86,4.61,,3.73,5.5,37.26,3.19,20.23,5.5,4.26,4.61,3.73,3.02,10.311111,3.933333,17.838889,0.0,2.173611,59.985248
US_LA_22095,2020-01-09,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,2.91,9.23,,11.12,3.76,4.96,,4.96,5.3,2.74,2.56,10.43,3.08,7.52,4.96,3.42,8.72,3.59,4.79,2.91,,4.1,4.28,2.91,10.94,29.75,5.13,3.25,4.79,2.39,,5.13,5.47,37.28,,14.19,4.62,4.45,4.79,,4.1,14.661111,7.983333,22.261111,0.0254,10.625,77.896434
US_LA_22095,2020-01-10,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,5.44,6.08,3.36,9.6,4.96,4.32,2.56,6.24,,2.24,4.0,11.2,2.4,8.16,4.64,2.4,6.72,3.68,4.64,4.48,,4.16,3.36,2.4,7.04,21.12,3.52,2.88,4.0,3.04,3.2,3.84,4.16,32.8,5.44,6.72,2.4,4.16,4.8,4.0,,20.577778,18.616667,24.316667,0.290286,18.631944,88.058145
