location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MN_27147,2020-01-01,ChIJB4miB5ne9ocRWxu7JDGhUtI,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,,,,,,,36787,18265,18522,4997,5069,4103,4569,4288,5062,4280,2554,1865,1797829,44.02,-93.22,1119,82.6125,,,,,,,5.17,8.69,,6.83,7.24,3.93,6.0,3.72,,22.13,4.96,10.55,,4.14,6.0,5.58,4.76,3.31,,4.55,4.76,,6.83,23.79,5.17,3.93,6.21,,,5.17,5.58,35.37,5.58,6.41,2.9,5.58,,4.14,4.55,-4.722222,-10.644444,2.3,0.0,78.74,-7.627778,80.162881
US_MN_27147,2020-01-02,ChIJB4miB5ne9ocRWxu7JDGhUtI,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,,,,,,,36787,18265,18522,4997,5069,4103,4569,4288,5062,4280,2554,1865,1797829,44.02,-93.22,1119,82.6125,,,,,,,4.36,8.54,4.9,8.35,7.26,3.27,5.45,,3.27,18.16,3.09,10.9,4.9,5.45,7.26,4.9,7.26,6.54,6.36,3.45,4.18,3.27,5.99,27.97,3.81,2.54,5.99,3.27,,3.45,3.63,35.77,4.18,5.27,5.63,4.18,4.72,3.09,2.54,1.327778,-0.783333,2.222222,0.0,78.74,-0.805556,85.741963
US_MN_27147,2020-01-03,ChIJB4miB5ne9ocRWxu7JDGhUtI,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,,,,,,,36787,18265,18522,4997,5069,4103,4569,4288,5062,4280,2554,1865,1797829,44.02,-93.22,1119,82.6125,,,,,,,4.67,5.39,5.57,11.31,8.26,4.67,5.75,2.51,4.13,19.76,,11.85,3.59,5.39,7.9,,6.64,5.03,5.21,3.41,4.85,3.41,5.03,27.3,7.0,2.69,5.93,,3.59,3.05,4.31,34.3,5.21,5.57,5.57,3.05,4.49,,2.51,-0.4,-1.419753,0.858025,0.0,50.8,-1.988889,89.0847
US_MN_27147,2020-01-04,ChIJB4miB5ne9ocRWxu7JDGhUtI,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,,,,,,,36787,18265,18522,4997,5069,4103,4569,4288,5062,4280,2554,1865,1797829,44.02,-93.22,1119,82.6125,,,,,,,4.71,7.5,4.93,8.35,10.28,4.28,5.57,3.0,3.21,22.06,3.21,9.85,,6.0,7.28,4.5,3.85,4.28,,3.85,5.35,3.43,3.85,30.41,4.28,,6.0,3.0,,3.64,4.28,36.62,,6.21,4.5,3.43,,,,-3.433333,-5.6,0.1,0.042333,30.48,-5.216667,87.526011
US_MN_27147,2020-01-05,ChIJB4miB5ne9ocRWxu7JDGhUtI,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,,,,,,,36787,18265,18522,4997,5069,4103,4569,4288,5062,4280,2554,1865,1797829,44.02,-93.22,1119,82.6125,,,,,,,5.38,6.62,4.97,7.04,8.49,2.9,5.38,,3.93,19.05,3.73,9.94,4.14,6.83,8.49,5.38,4.35,,3.73,3.93,5.18,,5.8,26.91,4.35,3.93,6.0,,3.31,3.93,3.73,32.92,4.76,5.18,6.0,4.35,2.9,,,-1.138889,-4.788889,3.405556,0.0,30.48,-4.2,79.722755
US_MN_27147,2020-01-06,ChIJB4miB5ne9ocRWxu7JDGhUtI,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,,,,,,,36787,18265,18522,4997,5069,4103,4569,4288,5062,4280,2554,1865,1797829,44.02,-93.22,1119,82.6125,,,,,,,5.39,7.37,4.67,10.61,8.81,4.32,6.29,5.03,3.96,15.64,,10.79,,5.39,8.45,4.32,4.32,5.75,3.42,3.24,2.52,,8.27,28.77,4.5,3.6,5.93,3.78,4.5,4.5,7.37,38.84,,5.03,3.42,6.47,,2.7,,-2.761111,-6.211111,1.877778,0.0,,-6.6,75.025145
US_MN_27147,2020-01-07,ChIJB4miB5ne9ocRWxu7JDGhUtI,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,,,,,,,36787,18265,18522,4997,5069,4103,4569,4288,5062,4280,2554,1865,1797829,44.02,-93.22,1119,82.6125,,,,,,,5.44,7.2,3.33,5.79,5.09,4.91,5.09,3.69,4.39,20.01,,8.43,2.63,5.97,7.2,2.81,4.39,4.21,,3.51,3.33,,4.56,23.87,5.62,3.16,3.69,2.81,3.16,4.74,4.74,34.93,2.63,4.91,4.91,3.33,2.81,3.69,2.63,-2.905556,-7.538889,0.483333,0.0,,-5.177778,84.387103
US_MN_27147,2020-01-08,ChIJB4miB5ne9ocRWxu7JDGhUtI,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,,,,,,,36787,18265,18522,4997,5069,4103,4569,4288,5062,4280,2554,1865,1797829,44.02,-93.22,1119,82.6125,,,,,,,5.46,5.82,8.01,7.46,9.65,4.0,6.37,4.91,4.55,20.2,2.91,9.1,2.91,5.46,9.1,5.46,3.46,3.82,3.28,3.82,4.91,,6.92,33.67,5.64,,5.64,3.28,5.64,4.0,8.01,35.85,2.91,8.19,6.73,2.91,3.46,6.19,,-14.144444,-18.338889,-7.483333,0.0508,,-18.083333,72.105879
US_MN_27147,2020-01-09,ChIJB4miB5ne9ocRWxu7JDGhUtI,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,,,,,,,36787,18265,18522,4997,5069,4103,4569,4288,5062,4280,2554,1865,1797829,44.02,-93.22,1119,82.6125,,,,,,,4.54,7.44,3.99,8.89,6.72,4.54,4.9,4.17,3.09,16.52,,9.62,3.63,7.08,8.71,5.26,4.36,4.36,,3.45,2.54,,5.45,30.5,5.63,,6.35,3.27,5.99,,7.62,37.94,4.54,11.07,5.08,6.72,3.81,,2.9,-3.038889,-11.255556,4.55,0.0,30.48,-7.266667,72.710429
US_MN_27147,2020-01-10,ChIJB4miB5ne9ocRWxu7JDGhUtI,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,,,,,,,36787,18265,18522,4997,5069,4103,4569,4288,5062,4280,2554,1865,1797829,44.02,-93.22,1119,82.6125,,,,,,,4.88,4.52,5.78,12.11,6.32,4.52,5.6,3.25,3.79,18.79,5.78,11.02,3.07,4.52,7.59,3.98,4.34,4.52,3.43,6.14,6.32,,5.96,28.0,4.52,2.89,5.96,3.25,3.61,5.24,7.41,34.69,,7.23,5.78,3.43,3.43,2.89,,-5.266667,-8.65,-0.1,0.0,30.48,-7.927778,81.632415
