location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05029,2020-01-01,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,,15.7,,25.51,,52.99,11.78,2.901235,-2.969136,11.055556,0.0,,-3.5,62.361785
US_AR_05029,2020-01-02,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,8.79,14.06,8.79,22.26,,53.31,,9.438272,7.888889,11.67284,0.0,,5.090278,74.143594
US_AR_05029,2020-01-03,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,,14.71,,21.19,9.42,51.2,,12.049383,10.179012,14.419753,13.5255,,11.111111,93.092804
US_AR_05029,2020-01-04,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,10.4,16.91,11.05,23.41,,44.87,,6.685185,1.685185,11.759259,2.427111,,-0.923611,57.998654
US_AR_05029,2020-01-05,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,,12.46,,27.55,13.12,43.29,,4.845679,-3.864198,18.407407,0.0,,-1.256944,64.273763
US_AR_05029,2020-01-06,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,9.05,15.28,13.02,24.34,12.45,40.75,10.75,6.148148,-0.728395,14.296296,0.0,,0.090278,64.053181
US_AR_05029,2020-01-07,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,8.43,14.87,9.92,24.79,,36.69,,5.888889,-0.919753,14.820988,0.0,,-2.423611,54.576722
US_AR_05029,2020-01-08,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,7.67,17.74,10.07,24.45,,38.35,7.19,5.290123,-3.111111,17.555556,0.0,,-3.006944,54.717425
US_AR_05029,2020-01-09,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,11.33,14.5,10.87,29.0,,33.07,10.42,10.790123,7.401235,15.080247,0.0,,4.104167,63.278693
US_AR_05029,2020-01-10,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,9.75,10.2,7.98,30.59,,36.35,9.31,16.660494,14.08642,18.858025,2.82575,,14.951389,89.017782
US_AR_05029,2020-01-11,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,,17.36,13.5,27.65,12.22,46.94,9.64,11.364198,2.87037,19.561728,74.7395,,10.090278,91.261263
US_AR_05029,2020-01-12,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,,14.89,,33.01,9.71,49.84,,1.125,-0.25,3.541667,6.858,,-0.833333,86.206049
US_AR_05029,2020-01-13,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,,12.62,10.82,29.3,,36.51,,3.638889,-0.520833,8.666667,0.0,,1.825397,86.68681
US_AR_05029,2020-01-14,ChIJ7YbQsmCXzYcRJcAPOi3YcFk,Q61352,geoId/05029,US,United States of America,AR,Arkansas,05029,Conway County,US,USA,2,,,,,,,20810,10216,10594,2565,2570,2429,2345,2446,3044,2623,1762,1026,1826583,35.266667,-92.7,1468,75.05,,,,,8.83,19.63,11.78,30.91,,45.14,9.32,7.944444,4.395833,12.763889,0.15875,,6.928571,91.73003
