location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_PA_42115,2020-01-01,ChIJYwlwWhzV2okRAiKwREhhcHc,Q495603,geoId/42115,US,United States of America,PA,Pennsylvania,42115,Susquehanna County,US,USA,2,,,,,,,40934,20632,20302,3971,4536,4146,4126,4599,6814,6384,4129,2229,417774,41.82133,-75.80068,397,2156,79.263636,,,,,,,,8.65,4.2,4.94,5.19,5.19,6.67,7.66,16.56,3.96,10.38,4.7,9.89,5.19,4.2,5.93,4.2,6.92,5.19,3.46,19.04,5.69,9.64,3.71,4.7,4.94,35.6,4.2,7.17,8.65,5.19,3.96,-0.123457,-1.685185,4.123457,0.395111,,-5.368056,67.630165
US_PA_42115,2020-01-02,ChIJYwlwWhzV2okRAiKwREhhcHc,Q495603,geoId/42115,US,United States of America,PA,Pennsylvania,42115,Susquehanna County,US,USA,2,,,,,,,40934,20632,20302,3971,4536,4146,4126,4599,6814,6384,4129,2229,417774,41.82133,-75.80068,397,2156,79.263636,,,,,,,,7.26,,8.9,8.9,6.09,6.33,6.33,19.22,,11.25,3.52,8.67,5.86,5.16,4.92,5.16,4.45,4.22,8.2,37.49,9.37,8.2,3.52,4.92,6.09,39.6,5.39,12.65,10.08,,,-0.127778,-6.161111,7.211111,0.0508,,-5.475309,66.848756
US_PA_42115,2020-01-03,ChIJYwlwWhzV2okRAiKwREhhcHc,Q495603,geoId/42115,US,United States of America,PA,Pennsylvania,42115,Susquehanna County,US,USA,2,,,,,,,40934,20632,20302,3971,4536,4146,4126,4599,6814,6384,4129,2229,417774,41.82133,-75.80068,397,2156,79.263636,,,,,,,4.01,5.58,,12.27,8.92,5.58,4.91,4.24,18.51,,10.48,6.25,9.37,3.12,6.69,4.91,4.68,8.03,4.01,,39.03,7.81,9.37,4.91,4.46,6.47,37.25,5.13,9.81,7.36,,3.12,4.672222,-0.794444,7.122222,0.451556,,1.314815,78.85157
US_PA_42115,2020-01-04,ChIJYwlwWhzV2okRAiKwREhhcHc,Q495603,geoId/42115,US,United States of America,PA,Pennsylvania,42115,Susquehanna County,US,USA,2,,,,,,,40934,20632,20302,3971,4536,4146,4126,4599,6814,6384,4129,2229,417774,41.82133,-75.80068,397,2156,79.263636,,,,,,,5.56,5.81,4.8,7.83,7.58,5.56,7.33,5.05,14.4,3.54,10.1,,8.59,5.05,7.07,4.55,3.79,,7.33,6.06,27.79,4.55,8.84,,,6.32,39.41,4.29,8.08,7.58,,5.3,5.094444,1.655556,7.661111,5.672667,,4.549383,94.871256
US_PA_42115,2020-01-05,ChIJYwlwWhzV2okRAiKwREhhcHc,Q495603,geoId/42115,US,United States of America,PA,Pennsylvania,42115,Susquehanna County,US,USA,2,,,,,,,40934,20632,20302,3971,4536,4146,4126,4599,6814,6384,4129,2229,417774,41.82133,-75.80068,397,2156,79.263636,,,,,,,6.5,6.75,5.25,7.25,4.25,3.75,6.0,3.75,17.25,4.75,11.0,3.75,10.5,5.5,5.5,5.0,3.75,5.75,6.5,6.25,27.75,9.25,7.0,3.5,5.25,6.0,45.0,,7.25,10.0,4.25,4.0,0.233333,-1.044444,5.838889,3.104444,,-4.753086,69.094918
US_PA_42115,2020-01-06,ChIJYwlwWhzV2okRAiKwREhhcHc,Q495603,geoId/42115,US,United States of America,PA,Pennsylvania,42115,Susquehanna County,US,USA,2,,,,,,,40934,20632,20302,3971,4536,4146,4126,4599,6814,6384,4129,2229,417774,41.82133,-75.80068,397,2156,79.263636,,,,,,,5.63,6.8,3.99,8.21,9.85,4.46,5.63,5.39,11.96,,7.27,3.99,12.9,4.46,6.57,5.16,4.46,,5.63,7.97,22.51,4.92,5.63,3.75,6.33,5.63,37.75,3.75,5.86,4.46,4.46,3.52,0.0,-2.755556,4.094444,1.298222,50.8,-4.012346,74.188835
US_PA_42115,2020-01-07,ChIJYwlwWhzV2okRAiKwREhhcHc,Q495603,geoId/42115,US,United States of America,PA,Pennsylvania,42115,Susquehanna County,US,USA,2,,,,,,,40934,20632,20302,3971,4536,4146,4126,4599,6814,6384,4129,2229,417774,41.82133,-75.80068,397,2156,79.263636,,,,,,,4.9,6.3,6.3,10.5,7.0,7.0,4.43,,12.37,4.67,9.8,4.2,7.0,5.37,6.53,3.97,9.1,3.73,6.3,7.7,27.53,7.93,5.83,3.97,5.37,6.07,38.73,5.83,7.7,6.07,,6.77,-0.427778,-4.483333,3.994444,0.7874,40.64,-5.604938,66.766993
US_PA_42115,2020-01-08,ChIJYwlwWhzV2okRAiKwREhhcHc,Q495603,geoId/42115,US,United States of America,PA,Pennsylvania,42115,Susquehanna County,US,USA,2,,,,,,,40934,20632,20302,3971,4536,4146,4126,4599,6814,6384,4129,2229,417774,41.82133,-75.80068,397,2156,79.263636,,,,,,,3.92,8.06,4.15,9.21,8.98,5.99,7.83,3.46,11.75,3.46,8.29,5.3,11.29,,4.61,,,3.23,4.15,7.14,27.64,4.61,7.6,3.92,4.38,5.76,40.09,,7.37,4.61,,5.76,-2.133333,-5.638889,1.5,1.382889,40.64,-5.753086,75.794367
US_PA_42115,2020-01-09,ChIJYwlwWhzV2okRAiKwREhhcHc,Q495603,geoId/42115,US,United States of America,PA,Pennsylvania,42115,Susquehanna County,US,USA,2,,,,,,,40934,20632,20302,3971,4536,4146,4126,4599,6814,6384,4129,2229,417774,41.82133,-75.80068,397,2156,79.263636,,,,,,,,10.88,,8.75,8.75,5.44,5.2,3.55,19.16,4.73,9.93,4.49,9.93,,5.2,4.97,,,3.55,7.33,27.2,7.09,4.49,7.09,,6.38,29.8,5.2,10.4,4.73,6.38,3.78,-6.538889,-11.044444,0.216667,0.620889,64.77,-13.345679,57.999112
US_PA_42115,2020-01-10,ChIJYwlwWhzV2okRAiKwREhhcHc,Q495603,geoId/42115,US,United States of America,PA,Pennsylvania,42115,Susquehanna County,US,USA,2,,,,,,,40934,20632,20302,3971,4536,4146,4126,4599,6814,6384,4129,2229,417774,41.82133,-75.80068,397,2156,79.263636,,,,,,,4.21,4.68,,9.6,7.49,3.98,8.2,3.28,13.82,6.56,6.09,6.56,7.49,3.75,7.03,3.98,3.98,3.98,,6.09,22.71,4.68,4.68,6.09,,5.15,36.3,3.51,8.2,3.75,4.45,,-0.044444,-9.394444,5.594444,0.338667,50.8,-5.45679,66.723011
