location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SD_46065,2020-01-01,ChIJ90LdoytlgIcRawivCeAOaw4,Q495629,geoId/46065,US,United States of America,SD,South Dakota,46065,Hughes County,US,USA,2,,,,,,,17670,8717,8953,2490,2135,2106,2344,1985,2407,2258,1146,799,1739821,44.39,-99.99,2073,79.85,,,,,9.23,,17.01,,,25.76,8.26,39.86,11.18,-2.927778,-9.6,3.744444,0.0,305.308,-7.118056,74.053703
US_SD_46065,2020-01-02,ChIJ90LdoytlgIcRawivCeAOaw4,Q495629,geoId/46065,US,United States of America,SD,South Dakota,46065,Hughes County,US,USA,2,,,,,,,17670,8717,8953,2490,2135,2106,2344,1985,2407,2258,1146,799,1739821,44.39,-99.99,2073,79.85,,,,7.53,7.13,5.94,17.03,7.53,,24.95,,35.64,6.73,1.633333,-3.138889,4.172222,0.9398,299.72,-0.756944,82.706627
US_SD_46065,2020-01-03,ChIJ90LdoytlgIcRawivCeAOaw4,Q495629,geoId/46065,US,United States of America,SD,South Dakota,46065,Hughes County,US,USA,2,,,,,,,17670,8717,8953,2490,2135,2106,2344,1985,2407,2258,1146,799,1739821,44.39,-99.99,2073,79.85,,,,,,,13.37,6.27,8.77,17.55,,22.14,,-0.194444,-4.944444,3.033333,0.2286,258.064,-3.5625,77.172519
US_SD_46065,2020-01-04,ChIJ90LdoytlgIcRawivCeAOaw4,Q495629,geoId/46065,US,United States of America,SD,South Dakota,46065,Hughes County,US,USA,2,,,,,,,17670,8717,8953,2490,2135,2106,2344,1985,2407,2258,1146,799,1739821,44.39,-99.99,2073,79.85,,,,7.71,9.63,,17.34,,8.19,22.64,,33.71,,-5.411111,-11.388889,2.805556,0.4064,233.68,-8.5625,77.921129
US_SD_46065,2020-01-05,ChIJ90LdoytlgIcRawivCeAOaw4,Q495629,geoId/46065,US,United States of America,SD,South Dakota,46065,Hughes County,US,USA,2,,,,,,,17670,8717,8953,2490,2135,2106,2344,1985,2407,2258,1146,799,1739821,44.39,-99.99,2073,79.85,,,,,,,18.78,,,28.89,,39.01,9.63,2.188889,-2.988889,6.45,0.0,262.128,-3.159722,66.295124
US_SD_46065,2020-01-06,ChIJ90LdoytlgIcRawivCeAOaw4,Q495629,geoId/46065,US,United States of America,SD,South Dakota,46065,Hughes County,US,USA,2,,,,,,,17670,8717,8953,2490,2135,2106,2344,1985,2407,2258,1146,799,1739821,44.39,-99.99,2073,79.85,,,,,,,7.02,11.32,6.63,23.8,,35.12,,-1.872222,-6.666667,4.1,0.0,256.032,-5.541667,74.559466
US_SD_46065,2020-01-07,ChIJ90LdoytlgIcRawivCeAOaw4,Q495629,geoId/46065,US,United States of America,SD,South Dakota,46065,Hughes County,US,USA,2,,,,,,,17670,8717,8953,2490,2135,2106,2344,1985,2407,2258,1146,799,1739821,44.39,-99.99,2073,79.85,,,,7.22,4.82,,12.73,,,22.36,7.22,28.55,,-3.283333,-8.05,2.027778,0.0254,228.092,-6.826389,74.505021
US_SD_46065,2020-01-08,ChIJ90LdoytlgIcRawivCeAOaw4,Q495629,geoId/46065,US,United States of America,SD,South Dakota,46065,Hughes County,US,USA,2,,,,,,,17670,8717,8953,2490,2135,2106,2344,1985,2407,2258,1146,799,1739821,44.39,-99.99,2073,79.85,,,,,12.47,5.89,12.13,7.28,5.2,27.37,4.85,31.53,7.62,-9.072222,-12.761111,-3.361111,0.0,211.836,-13.138889,68.963188
US_SD_46065,2020-01-09,ChIJ90LdoytlgIcRawivCeAOaw4,Q495629,geoId/46065,US,United States of America,SD,South Dakota,46065,Hughes County,US,USA,2,,,,,,,17670,8717,8953,2490,2135,2106,2344,1985,2407,2258,1146,799,1739821,44.39,-99.99,2073,79.85,,,,6.79,8.15,,12.22,,6.79,26.49,7.13,30.22,6.11,-4.555556,-8.466667,-1.072222,0.0,211.836,-7.083333,79.68108
US_SD_46065,2020-01-10,ChIJ90LdoytlgIcRawivCeAOaw4,Q495629,geoId/46065,US,United States of America,SD,South Dakota,46065,Hughes County,US,USA,2,,,,,,,17670,8717,8953,2490,2135,2106,2344,1985,2407,2258,1146,799,1739821,44.39,-99.99,2073,79.85,,,,6.01,6.72,11.32,8.85,,,19.11,5.31,27.95,7.43,-10.211111,-16.9,-2.777778,0.3048,205.74,-13.243056,75.511165
