location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MT_30041,2020-01-01,ChIJCYP8DL4cQFMR60Ud8oIGlrs,Q496589,geoId/30041,US,United States of America,MT,Montana,30041,Hill County,US,USA,2,,,,,,,16469,8327,8142,2730,2324,2320,2038,1652,1948,1862,952,643,1740629,48.63,-110.11,7553,77.933333,,,,,15.08,,19.87,15.76,41.8,1.577778,-4.061111,4.85,0.2286,113.453333,-2.077778,77.221165
US_MT_30041,2020-01-02,ChIJCYP8DL4cQFMR60Ud8oIGlrs,Q496589,geoId/30041,US,United States of America,MT,Montana,30041,Hill County,US,USA,2,,,,,,,16469,8327,8142,2730,2324,2320,2038,1652,1948,1862,952,643,1740629,48.63,-110.11,7553,77.933333,,,,11.57,12.73,12.15,27.19,,32.98,-0.894444,-4.266667,2.166667,0.9652,106.68,-3.022222,85.740386
US_MT_30041,2020-01-03,ChIJCYP8DL4cQFMR60Ud8oIGlrs,Q496589,geoId/30041,US,United States of America,MT,Montana,30041,Hill County,US,USA,2,,,,,,,16469,8327,8142,2730,2324,2320,2038,1652,1948,1862,952,643,1740629,48.63,-110.11,7553,77.933333,,,,10.24,,,22.29,,35.55,-6.094444,-10.972222,3.394444,0.8382,116.84,-9.244444,78.640191
US_MT_30041,2020-01-04,ChIJCYP8DL4cQFMR60Ud8oIGlrs,Q496589,geoId/30041,US,United States of America,MT,Montana,30041,Hill County,US,USA,2,,,,,,,16469,8327,8142,2730,2324,2320,2038,1652,1948,1862,952,643,1740629,48.63,-110.11,7553,77.933333,,,,12.55,18.49,,18.49,9.91,41.61,3.822222,-2.233333,7.016667,0.0,139.7,-3.027778,61.635928
US_MT_30041,2020-01-05,ChIJCYP8DL4cQFMR60Ud8oIGlrs,Q496589,geoId/30041,US,United States of America,MT,Montana,30041,Hill County,US,USA,2,,,,,,,16469,8327,8142,2730,2324,2320,2038,1652,1948,1862,952,643,1740629,48.63,-110.11,7553,77.933333,,,,,13.19,,19.79,,36.28,-1.616667,-6.15,7.416667,0.635,97.155,-7.3,66.45744
US_MT_30041,2020-01-06,ChIJCYP8DL4cQFMR60Ud8oIGlrs,Q496589,geoId/30041,US,United States of America,MT,Montana,30041,Hill County,US,USA,2,,,,,,,16469,8327,8142,2730,2324,2320,2038,1652,1948,1862,952,643,1740629,48.63,-110.11,7553,77.933333,,,,,9.22,10.38,31.7,,51.88,-1.872222,-6.638889,2.288889,0.0,115.993333,-8.377778,61.83781
US_MT_30041,2020-01-07,ChIJCYP8DL4cQFMR60Ud8oIGlrs,Q496589,geoId/30041,US,United States of America,MT,Montana,30041,Hill County,US,USA,2,,,,,,,16469,8327,8142,2730,2324,2320,2038,1652,1948,1862,952,643,1740629,48.63,-110.11,7553,77.933333,,,,,10.54,11.04,22.57,,42.64,-4.627778,-7.422222,0.672222,0.423333,115.993333,-7.405556,81.003847
US_MT_30041,2020-01-08,ChIJCYP8DL4cQFMR60Ud8oIGlrs,Q496589,geoId/30041,US,United States of America,MT,Montana,30041,Hill County,US,USA,2,,,,,,,16469,8327,8142,2730,2324,2320,2038,1652,1948,1862,952,643,1740629,48.63,-110.11,7553,77.933333,,,,10.5,,9.5,23.01,7.5,32.01,-3.916667,-8.238889,1.233333,0.635,109.22,-6.138889,85.12847
US_MT_30041,2020-01-09,ChIJCYP8DL4cQFMR60Ud8oIGlrs,Q496589,geoId/30041,US,United States of America,MT,Montana,30041,Hill County,US,USA,2,,,,,,,16469,8327,8142,2730,2324,2320,2038,1652,1948,1862,952,643,1740629,48.63,-110.11,7553,77.933333,,,,7.77,7.77,,20.4,,32.54,-13.266667,-16.172222,-6.661111,0.141111,94.615,-15.766667,81.529783
US_MT_30041,2020-01-10,ChIJCYP8DL4cQFMR60Ud8oIGlrs,Q496589,geoId/30041,US,United States of America,MT,Montana,30041,Hill County,US,USA,2,,,,,,,16469,8327,8142,2730,2324,2320,2038,1652,1948,1862,952,643,1740629,48.63,-110.11,7553,77.933333,,,,7.78,12.45,11.93,22.82,7.78,31.12,-17.755556,-22.461111,-9.933333,0.1524,102.235,-20.35,80.234657
