location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13079,2020-01-01,ChIJQRopeAyS84gR5KN-ZB5mj8o,Q486401,geoId/13079,US,United States of America,GA,Georgia,13079,Crawford County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263,6163,6100,1354,1475,1443,1292,1487,2093,1690,1041,388,1027987,32.71,-83.98,846,75.633333,,22.24,35.39,7.905556,1.855556,15.3,0.0,-1.733333,50.72545
US_GA_13079,2020-01-02,ChIJQRopeAyS84gR5KN-ZB5mj8o,Q486401,geoId/13079,US,United States of America,GA,Georgia,13079,Crawford County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263,6163,6100,1354,1475,1443,1292,1487,2093,1690,1041,388,1027987,32.71,-83.98,846,75.633333,,27.05,46.52,9.166667,4.105556,14.222222,0.2032,5.088889,75.795298
US_GA_13079,2020-01-03,ChIJQRopeAyS84gR5KN-ZB5mj8o,Q486401,geoId/13079,US,United States of America,GA,Georgia,13079,Crawford County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263,6163,6100,1354,1475,1443,1292,1487,2093,1690,1041,388,1027987,32.71,-83.98,846,75.633333,,26.57,42.06,18.438889,10.661111,24.95,11.2268,15.883333,85.430629
US_GA_13079,2020-01-04,ChIJQRopeAyS84gR5KN-ZB5mj8o,Q486401,geoId/13079,US,United States of America,GA,Georgia,13079,Crawford County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263,6163,6100,1354,1475,1443,1292,1487,2093,1690,1041,388,1027987,32.71,-83.98,846,75.633333,,31.9,51.45,15.655556,11.238889,20.822222,16.256,11.905556,78.468018
US_GA_13079,2020-01-05,ChIJQRopeAyS84gR5KN-ZB5mj8o,Q486401,geoId/13079,US,United States of America,GA,Georgia,13079,Crawford County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263,6163,6100,1354,1475,1443,1292,1487,2093,1690,1041,388,1027987,32.71,-83.98,846,75.633333,,26.7,39.02,6.6,0.533333,15.011111,0.254,-2.061111,54.118232
US_GA_13079,2020-01-06,ChIJQRopeAyS84gR5KN-ZB5mj8o,Q486401,geoId/13079,US,United States of America,GA,Georgia,13079,Crawford County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263,6163,6100,1354,1475,1443,1292,1487,2093,1690,1041,388,1027987,32.71,-83.98,846,75.633333,,26.6,54.26,8.316667,1.194444,18.466667,0.0,2.111111,65.11372
US_GA_13079,2020-01-07,ChIJQRopeAyS84gR5KN-ZB5mj8o,Q486401,geoId/13079,US,United States of America,GA,Georgia,13079,Crawford County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263,6163,6100,1354,1475,1443,1292,1487,2093,1690,1041,388,1027987,32.71,-83.98,846,75.633333,,29.72,45.72,11.161111,4.472222,17.677778,0.0762,4.372222,63.190377
US_GA_13079,2020-01-08,ChIJQRopeAyS84gR5KN-ZB5mj8o,Q486401,geoId/13079,US,United States of America,GA,Georgia,13079,Crawford County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263,6163,6100,1354,1475,1443,1292,1487,2093,1690,1041,388,1027987,32.71,-83.98,846,75.633333,,35.77,25.42,8.166667,0.305556,17.494444,0.0,-2.5,47.138993
US_GA_13079,2020-01-09,ChIJQRopeAyS84gR5KN-ZB5mj8o,Q486401,geoId/13079,US,United States of America,GA,Georgia,13079,Crawford County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263,6163,6100,1354,1475,1443,1292,1487,2093,1690,1041,388,1027987,32.71,-83.98,846,75.633333,,22.19,36.39,7.794444,-0.822222,19.616667,0.0,1.261111,63.598527
US_GA_13079,2020-01-10,ChIJQRopeAyS84gR5KN-ZB5mj8o,Q486401,geoId/13079,US,United States of America,GA,Georgia,13079,Crawford County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263,6163,6100,1354,1475,1443,1292,1487,2093,1690,1041,388,1027987,32.71,-83.98,846,75.633333,,19.76,31.05,16.072222,11.883333,21.75,0.0,10.872222,71.333363
