location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_SC_45033,2020-01-13,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,9.82,8.25,14.53,14.93,12.18,5.5,31.82,7.07,44.39,6.29,19.12963,17.709877,21.820988,13.2715,18.358025,95.371582
US_SC_45033,2020-01-14,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,10.52,9.68,10.52,14.3,10.52,,31.13,14.72,45.02,8.41,19.561728,17.518519,22.555556,14.605,18.030864,90.954003
US_SC_45033,2020-01-15,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,,10.72,10.72,16.3,10.72,7.72,28.73,9.86,42.45,8.15,17.339506,13.981481,22.234568,0.254,15.45679,88.799751
US_SC_45033,2020-01-16,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,13.28,12.42,11.57,19.28,11.99,6.85,32.56,7.28,44.12,9.0,18.061728,13.740741,22.253086,0.042333,11.808642,67.096443
US_SC_45033,2020-01-17,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,,11.13,11.56,17.98,11.98,,23.11,7.71,39.81,,8.061728,4.092593,12.654321,0.0,-6.296296,36.234069
US_SC_45033,2020-01-18,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,13.32,8.39,,20.23,13.32,10.36,29.11,12.34,42.93,7.4,6.339506,1.888889,13.271605,0.0,-1.623457,57.202023
US_SC_45033,2020-01-19,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,,13.64,8.77,20.95,20.46,9.26,28.74,7.79,38.0,7.31,13.790123,8.049383,16.654321,1.2065,9.382716,74.856076
US_SC_45033,2020-01-20,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,10.92,15.19,8.54,19.93,12.34,10.92,33.23,8.07,37.5,,2.95679,-1.512346,10.925926,0.395111,-7.395062,47.047438
US_SC_45033,2020-01-21,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,9.35,11.05,10.63,19.98,14.46,12.33,30.61,,44.22,11.48,-0.092593,-3.438272,4.598765,0.028222,-10.074074,47.485832
US_SC_45033,2020-01-22,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,8.85,11.37,8.85,19.8,11.37,11.37,33.28,10.11,40.02,8.85,2.0,-2.660494,10.080247,0.0,-8.740741,45.432895
US_SC_45033,2020-01-23,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,10.32,16.92,13.21,26.0,8.67,11.14,31.37,8.26,49.53,9.91,3.932099,-1.253086,10.395062,0.0,-2.123457,65.155692
US_SC_45033,2020-01-24,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,7.03,9.93,11.17,25.65,12.82,5.79,32.68,10.34,43.03,6.62,10.395062,3.54321,19.432099,0.4572,7.166667,80.593378
US_SC_45033,2020-01-25,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,11.87,16.81,,26.2,12.36,,38.07,7.42,48.95,14.34,12.290123,7.024691,17.660494,11.684,9.444444,82.973267
US_SC_45033,2020-01-26,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,12.54,13.43,8.51,21.94,12.98,6.72,30.45,12.09,38.51,7.16,6.604167,0.597222,13.354167,0.53975,1.277778,68.973119
US_SC_45033,2020-01-27,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,7.9,12.05,9.98,27.02,8.31,14.96,40.32,,44.9,9.56,8.013889,2.798611,13.909722,1.100667,3.701389,74.490654
US_SC_45033,2020-01-28,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,9.0,14.14,6.86,34.71,7.71,8.57,46.28,12.86,33.42,10.71,7.537037,2.012346,12.987654,0.889,2.876543,72.860581
US_SC_45033,2020-01-29,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,11.17,14.6,6.87,18.9,7.3,8.59,46.38,12.88,36.5,19.33,5.203704,0.049383,12.648148,0.0,0.777778,73.329099
US_SC_45033,2020-01-30,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,,10.59,11.02,28.39,14.41,13.98,41.1,11.87,37.71,,7.895062,2.259259,12.549383,0.254,1.851852,65.897353
US_SC_45033,2020-01-31,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,7.41,16.38,9.75,29.25,8.58,9.75,30.41,9.36,38.99,,3.783951,1.123457,9.574074,2.3876,0.462963,79.172202
US_SC_45033,2020-02-01,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,7.64,10.51,,31.53,7.64,11.94,32.48,8.12,43.47,,5.91358,3.709877,9.080247,23.622,4.82716,92.835545
US_SC_45033,2020-02-02,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,8.42,12.16,,30.88,13.1,7.02,32.75,14.03,45.38,,8.160494,1.648148,17.197531,0.056444,2.635802,68.407811
US_SC_45033,2020-02-03,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,14.54,10.69,10.26,26.94,11.12,11.55,34.64,9.41,52.18,,13.623457,3.092593,23.592593,0.084667,3.030864,49.082963
US_SC_45033,2020-02-04,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,12.16,12.16,12.58,31.03,7.13,11.74,39.84,10.48,40.26,8.39,16.450617,10.759259,22.487654,0.0,7.271605,55.018242
US_SC_45033,2020-02-05,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,6.33,9.7,11.39,24.89,10.97,8.86,40.93,9.28,41.35,8.86,17.271605,13.012346,22.277778,0.635,12.944444,75.81453
US_SC_45033,2020-02-06,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,11.22,9.62,14.02,34.86,10.82,9.21,38.46,8.41,50.08,7.21,19.308642,15.432099,24.469136,10.668,16.265432,82.683615
US_SC_45033,2020-02-07,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,5.79,9.93,6.62,26.49,6.21,,30.21,,42.21,6.62,13.845679,7.425926,19.055556,39.37,7.851852,67.220881
US_SC_45033,2020-02-08,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,11.1,13.51,12.55,35.23,,10.14,35.72,13.03,37.16,,4.308642,-0.925926,8.716049,1.947333,-2.333333,62.273521
US_SC_45033,2020-02-09,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,,10.6,11.09,36.15,10.12,9.16,35.19,7.71,40.01,9.16,5.845679,-0.87037,13.185185,0.141111,0.395062,68.467012
US_SC_45033,2020-02-10,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,,14.65,7.96,25.54,13.82,12.14,38.94,7.12,48.99,6.28,10.135802,0.41358,21.401235,0.0,5.623457,73.856821
US_SC_45033,2020-02-11,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,7.76,14.35,10.86,19.39,7.76,10.08,35.68,9.7,43.44,,19.679012,15.37037,24.277778,0.108857,15.808642,78.465616
US_SC_45033,2020-02-12,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,8.49,10.52,9.71,26.7,15.78,9.3,40.05,8.49,38.43,6.07,19.08642,14.41358,22.697531,0.254,14.364198,74.283208
