location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_LA_22067,2020-01-01,ChIJs9jVYHeLLoYRejQE3GrczJU,Q1125008,geoId/22067,US,United States of America,LA,Louisiana,22067,Morehouse Parish,US,USA,2,,,,,,,25655,12358,13297,3493,3292,3119,2995,2928,3285,3426,1924,1193,1826824,32.82,-91.8,2085,71.6875,,,,,15.35,9.72,,18.93,8.7,24.04,8.7,46.04,,5.465278,0.854167,11.916667,0.0,-0.103175,66.51105
US_LA_22067,2020-01-02,ChIJs9jVYHeLLoYRejQE3GrczJU,Q1125008,geoId/22067,US,United States of America,LA,Louisiana,22067,Morehouse Parish,US,USA,2,,,,,,,25655,12358,13297,3493,3292,3119,2995,2928,3285,3426,1924,1193,1826824,32.82,-91.8,2085,71.6875,,,,,8.57,,,13.33,10.95,25.23,11.9,43.31,,11.308642,9.018519,14.574074,7.765143,8.451389,82.230947
US_LA_22067,2020-01-03,ChIJs9jVYHeLLoYRejQE3GrczJU,Q1125008,geoId/22067,US,United States of America,LA,Louisiana,22067,Morehouse Parish,US,USA,2,,,,,,,25655,12358,13297,3493,3292,3119,2995,2928,3285,3426,1924,1193,1826824,32.82,-91.8,2085,71.6875,,,,,8.96,7.96,7.96,9.95,9.95,27.37,7.46,46.77,,15.049383,13.012346,18.067901,30.298571,13.506944,90.52935
US_LA_22067,2020-01-04,ChIJs9jVYHeLLoYRejQE3GrczJU,Q1125008,geoId/22067,US,United States of America,LA,Louisiana,22067,Morehouse Parish,US,USA,2,,,,,,,25655,12358,13297,3493,3292,3119,2995,2928,3285,3426,1924,1193,1826824,32.82,-91.8,2085,71.6875,,,,,10.11,12.13,9.6,12.13,,33.36,,34.37,,10.364198,4.283951,15.117284,1.74625,3.873016,63.063129
US_LA_22067,2020-01-05,ChIJs9jVYHeLLoYRejQE3GrczJU,Q1125008,geoId/22067,US,United States of America,LA,Louisiana,22067,Morehouse Parish,US,USA,2,,,,,,,25655,12358,13297,3493,3292,3119,2995,2928,3285,3426,1924,1193,1826824,32.82,-91.8,2085,71.6875,,,,,8.54,12.06,9.54,10.55,,24.11,11.55,37.68,,9.123457,1.876543,20.401235,0.0,2.347222,62.312913
US_LA_22067,2020-01-06,ChIJs9jVYHeLLoYRejQE3GrczJU,Q1125008,geoId/22067,US,United States of America,LA,Louisiana,22067,Morehouse Parish,US,USA,2,,,,,,,25655,12358,13297,3493,3292,3119,2995,2928,3285,3426,1924,1193,1826824,32.82,-91.8,2085,71.6875,,,,,7.78,,,8.75,10.21,29.18,,38.9,8.75,11.833333,4.734568,20.432099,0.0,7.083333,72.325624
US_LA_22067,2020-01-07,ChIJs9jVYHeLLoYRejQE3GrczJU,Q1125008,geoId/22067,US,United States of America,LA,Louisiana,22067,Morehouse Parish,US,USA,2,,,,,,,25655,12358,13297,3493,3292,3119,2995,2928,3285,3426,1924,1193,1826824,32.82,-91.8,2085,71.6875,,,,,,9.63,9.63,12.67,8.11,30.93,,49.18,8.11,10.37037,3.969136,17.061728,0.0,1.416667,53.577509
US_LA_22067,2020-01-08,ChIJs9jVYHeLLoYRejQE3GrczJU,Q1125008,geoId/22067,US,United States of America,LA,Louisiana,22067,Morehouse Parish,US,USA,2,,,,,,,25655,12358,13297,3493,3292,3119,2995,2928,3285,3426,1924,1193,1826824,32.82,-91.8,2085,71.6875,,,,,,20.03,10.27,13.35,12.84,41.09,8.22,36.47,20.03,7.098765,-0.679012,18.339506,0.0,-0.652778,57.188675
US_LA_22067,2020-01-09,ChIJs9jVYHeLLoYRejQE3GrczJU,Q1125008,geoId/22067,US,United States of America,LA,Louisiana,22067,Morehouse Parish,US,USA,2,,,,,,,25655,12358,13297,3493,3292,3119,2995,2928,3285,3426,1924,1193,1826824,32.82,-91.8,2085,71.6875,,,,,8.82,14.52,,12.45,13.48,51.35,8.3,43.57,15.04,11.888889,5.623457,19.987654,0.0,4.763889,61.210643
US_LA_22067,2020-01-10,ChIJs9jVYHeLLoYRejQE3GrczJU,Q1125008,geoId/22067,US,United States of America,LA,Louisiana,22067,Morehouse Parish,US,USA,2,,,,,,,25655,12358,13297,3493,3292,3119,2995,2928,3285,3426,1924,1193,1826824,32.82,-91.8,2085,71.6875,,,,,,12.59,,11.13,12.59,23.24,,39.22,8.71,19.012346,16.796296,22.487654,0.211667,15.625,81.004524
