location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MO_29045,2020-01-01,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,,0.911111,-4.511111,10.683333,0.0,-3.288889,73.986609
US_MO_29045,2020-01-02,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,61.93,6.75,2.738889,11.216667,0.0,0.761111,65.961104
US_MO_29045,2020-01-03,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,55.96,2.461111,0.272222,7.161111,0.0,0.566667,87.529384
US_MO_29045,2020-01-04,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,,0.316667,-2.222222,2.022222,0.1524,-1.516667,87.873119
US_MO_29045,2020-01-05,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,67.04,1.555556,-4.288889,9.5,0.0,-3.372222,70.407611
US_MO_29045,2020-01-06,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,,0.594444,-4.566667,5.761111,0.0,-4.277778,70.177417
US_MO_29045,2020-01-07,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,75.59,0.966667,-2.433333,6.105556,0.0,-4.355556,67.944856
US_MO_29045,2020-01-08,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,49.95,-2.772222,-7.822222,2.416667,0.0,-10.144444,57.154225
US_MO_29045,2020-01-09,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,36.55,5.861111,-2.722222,15.6,0.0,-1.022222,61.670712
US_MO_29045,2020-01-10,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,,5.216667,1.233333,12.627778,0.6096,3.055556,86.059352
US_MO_29045,2020-01-11,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,,-1.5,-4.083333,1.894444,23.5712,-2.166667,95.295848
US_MO_29045,2020-01-12,ChIJGyhNN6IN54cR8vAHwwvEvJs,Q182845,geoId/29045,US,United States of America,MO,Missouri,29045,Clark County,US,USA,2,,,,,,,6720,3416,3304,814,843,685,698,768,1021,926,578,387,1180517,40.41,-91.74,1326,76.866667,,,,,-4.211111,-6.561111,-2.166667,0.798286,-5.472222,91.070423
