location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13265,2020-01-01,ChIJTw78jJMA94gR_cbCiaJ-i6w,Q134080,geoId/13265,US,United States of America,GA,Georgia,13265,Taliaferro County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,803,810,163,135,186,162,174,248,257,173,115,1029454,33.57,-82.88,506,75.6,8.123457,3.512346,13.95679,0.0,,-2.293651,48.308585
US_GA_13265,2020-01-02,ChIJTw78jJMA94gR_cbCiaJ-i6w,Q134080,geoId/13265,US,United States of America,GA,Georgia,13265,Taliaferro County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,803,810,163,135,186,162,174,248,257,173,115,1029454,33.57,-82.88,506,75.6,7.765432,4.82716,11.833333,2.751667,,2.833333,70.800806
US_GA_13265,2020-01-03,ChIJTw78jJMA94gR_cbCiaJ-i6w,Q134080,geoId/13265,US,United States of America,GA,Georgia,13265,Taliaferro County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,803,810,163,135,186,162,174,248,257,173,115,1029454,33.57,-82.88,506,75.6,13.623457,7.790123,20.858025,13.504333,,12.277778,90.618235
US_GA_13265,2020-01-04,ChIJTw78jJMA94gR_cbCiaJ-i6w,Q134080,geoId/13265,US,United States of America,GA,Georgia,13265,Taliaferro County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,803,810,163,135,186,162,174,248,257,173,115,1029454,33.57,-82.88,506,75.6,14.932099,10.271605,18.623457,19.600333,,10.579365,75.272119
US_GA_13265,2020-01-05,ChIJTw78jJMA94gR_cbCiaJ-i6w,Q134080,geoId/13265,US,United States of America,GA,Georgia,13265,Taliaferro County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,803,810,163,135,186,162,174,248,257,173,115,1029454,33.57,-82.88,506,75.6,6.320988,0.975309,14.333333,1.778,,-1.873016,56.144544
US_GA_13265,2020-01-06,ChIJTw78jJMA94gR_cbCiaJ-i6w,Q134080,geoId/13265,US,United States of America,GA,Georgia,13265,Taliaferro County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,803,810,163,135,186,162,174,248,257,173,115,1029454,33.57,-82.88,506,75.6,8.376543,1.814815,17.641975,0.0,,0.801587,59.79334
US_GA_13265,2020-01-07,ChIJTw78jJMA94gR_cbCiaJ-i6w,Q134080,geoId/13265,US,United States of America,GA,Georgia,13265,Taliaferro County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,803,810,163,135,186,162,174,248,257,173,115,1029454,33.57,-82.88,506,75.6,10.783951,5.938272,16.660494,0.042333,,4.404762,64.416806
US_GA_13265,2020-01-08,ChIJTw78jJMA94gR_cbCiaJ-i6w,Q134080,geoId/13265,US,United States of America,GA,Georgia,13265,Taliaferro County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,803,810,163,135,186,162,174,248,257,173,115,1029454,33.57,-82.88,506,75.6,8.635802,0.882716,16.833333,0.141111,,-2.84127,45.104346
US_GA_13265,2020-01-09,ChIJTw78jJMA94gR_cbCiaJ-i6w,Q134080,geoId/13265,US,United States of America,GA,Georgia,13265,Taliaferro County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,803,810,163,135,186,162,174,248,257,173,115,1029454,33.57,-82.88,506,75.6,8.055556,0.104938,18.296296,0.0,,0.134921,58.638759
US_GA_13265,2020-01-10,ChIJTw78jJMA94gR_cbCiaJ-i6w,Q134080,geoId/13265,US,United States of America,GA,Georgia,13265,Taliaferro County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,803,810,163,135,186,162,174,248,257,173,115,1029454,33.57,-82.88,506,75.6,13.919753,9.209877,18.808642,0.0,,7.68254,65.438385
