location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NY_36097,2020-01-01,ChIJPd2Bror00IkRGpapgtRpWnI,Q71190,geoId/36097,US,United States of America,NY,New York,36097,Schuyler County,US,USA,2,,,,,,,17913,8939,8974,1849,1942,1950,1909,2203,2880,2799,1511,870,1837994,42.39,-76.88,886,81.14,,,,12.32,8.8,12.32,17.6,8.8,26.4,,48.69,,-0.927778,-2.038889,3.611111,0.8382,,-5.680556,71.211433
US_NY_36097,2020-01-02,ChIJPd2Bror00IkRGpapgtRpWnI,Q71190,geoId/36097,US,United States of America,NY,New York,36097,Schuyler County,US,USA,2,,,,,,,17913,8939,8974,1849,1942,1950,1909,2203,2880,2799,1511,870,1837994,42.39,-76.88,886,81.14,,,,9.37,,,16.98,9.95,29.86,,42.15,,1.327778,-4.805556,8.105556,0.1016,,-5.256944,61.759923
US_NY_36097,2020-01-03,ChIJPd2Bror00IkRGpapgtRpWnI,Q71190,geoId/36097,US,United States of America,NY,New York,36097,Schuyler County,US,USA,2,,,,,,,17913,8939,8974,1849,1942,1950,1909,2203,2880,2799,1511,870,1837994,42.39,-76.88,886,81.14,,,,,9.36,16.37,28.65,9.94,36.84,,36.26,,5.744444,-0.25,8.216667,0.0508,,1.652778,75.373651
US_NY_36097,2020-01-04,ChIJPd2Bror00IkRGpapgtRpWnI,Q71190,geoId/36097,US,United States of America,NY,New York,36097,Schuyler County,US,USA,2,,,,,,,17913,8939,8974,1849,1942,1950,1909,2203,2880,2799,1511,870,1837994,42.39,-76.88,886,81.14,,,,,11.21,,21.24,10.62,25.96,,45.44,,3.172222,-0.122222,7.677778,2.921,30.48,2.118056,92.483438
US_NY_36097,2020-01-05,ChIJPd2Bror00IkRGpapgtRpWnI,Q71190,geoId/36097,US,United States of America,NY,New York,36097,Schuyler County,US,USA,2,,,,,,,17913,8939,8974,1849,1942,1950,1909,2203,2880,2799,1511,870,1837994,42.39,-76.88,886,81.14,,,,13.09,8.92,10.71,16.06,,19.04,,39.86,,-0.661111,-1.683333,3.688889,4.4196,30.48,-4.347222,76.848986
US_NY_36097,2020-01-06,ChIJPd2Bror00IkRGpapgtRpWnI,Q71190,geoId/36097,US,United States of America,NY,New York,36097,Schuyler County,US,USA,2,,,,,,,17913,8939,8974,1849,1942,1950,1909,2203,2880,2799,1511,870,1837994,42.39,-76.88,886,81.14,,,,,11.44,10.87,14.3,8.58,32.61,,50.92,,0.311111,-2.244444,2.983333,1.4224,44.026667,-4.152778,72.17886
US_NY_36097,2020-01-07,ChIJPd2Bror00IkRGpapgtRpWnI,Q71190,geoId/36097,US,United States of America,NY,New York,36097,Schuyler County,US,USA,2,,,,,,,17913,8939,8974,1849,1942,1950,1909,2203,2880,2799,1511,870,1837994,42.39,-76.88,886,81.14,,,,,13.47,,14.03,9.54,38.17,,49.39,,-0.572222,-4.977778,3.033333,0.8636,44.026667,-5.694444,67.795861
US_NY_36097,2020-01-08,ChIJPd2Bror00IkRGpapgtRpWnI,Q71190,geoId/36097,US,United States of America,NY,New York,36097,Schuyler County,US,USA,2,,,,,,,17913,8939,8974,1849,1942,1950,1909,2203,2880,2799,1511,870,1837994,42.39,-76.88,886,81.14,,,,,,,18.58,11.82,27.03,,45.61,,-2.261111,-6.65,0.961111,0.3556,93.133333,-6.451389,74.054009
US_NY_36097,2020-01-09,ChIJPd2Bror00IkRGpapgtRpWnI,Q71190,geoId/36097,US,United States of America,NY,New York,36097,Schuyler County,US,USA,2,,,,,,,17913,8939,8974,1849,1942,1950,1909,2203,2880,2799,1511,870,1837994,42.39,-76.88,886,81.14,,,,,,11.11,11.11,12.86,31.57,,50.85,16.37,-7.088889,-11.483333,-0.6,0.8382,82.973333,-12.861111,63.625356
US_NY_36097,2020-01-10,ChIJPd2Bror00IkRGpapgtRpWnI,Q71190,geoId/36097,US,United States of America,NY,New York,36097,Schuyler County,US,USA,2,,,,,,,17913,8939,8974,1849,1942,1950,1909,2203,2880,2799,1511,870,1837994,42.39,-76.88,886,81.14,,,,,10.25,9.68,18.22,17.08,20.5,,46.12,,1.877778,-7.077778,7.183333,0.6858,40.64,-4.180556,64.614781
