location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VT_50003,2020-01-01,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.64,7.39,9.72,8.94,6.8,4.86,3.11,,5.83,3.11,3.3,,14.38,2.72,5.64,,6.22,5.83,4.47,4.47,5.25,4.86,5.44,4.47,5.05,3.89,6.61,26.05,7.78,4.08,5.44,2.72,,2.92,6.61,38.68,5.05,6.8,2.72,5.64,3.11,3.11,,5.05,,2.92,0.54321,-1.296296,2.506173,1.806222,,-3.987654,71.879498
US_VT_50003,2020-01-02,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,6.21,7.71,5.64,7.71,8.47,3.39,,5.46,5.64,3.58,3.76,,14.11,5.83,10.73,3.95,4.52,9.22,5.27,,7.34,6.4,3.01,3.95,5.46,4.7,6.02,24.46,6.96,4.33,8.28,3.39,6.4,6.02,7.15,38.39,2.82,6.77,2.82,5.64,6.4,,,3.01,2.63,,0.483333,-3.911111,5.472222,0.3048,,-4.983333,67.150272
US_VT_50003,2020-01-03,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.98,5.61,6.91,11.96,9.72,3.74,,6.17,6.73,3.92,4.11,,14.95,2.99,7.47,3.92,5.42,6.91,6.17,2.99,4.49,4.67,,2.8,4.11,,6.91,25.79,6.73,3.74,5.04,3.55,4.67,3.55,5.23,40.36,2.99,5.23,3.92,3.55,,2.99,2.8,5.42,4.67,2.8,3.355556,-3.611111,6.427778,0.0,,-1.283333,72.528651
US_VT_50003,2020-01-04,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,4.88,5.69,5.89,10.16,7.93,5.08,,5.69,6.71,3.46,5.49,2.85,15.86,5.69,7.52,3.05,5.69,7.52,3.05,,4.47,3.46,,5.29,5.29,4.27,6.3,22.77,5.89,,6.91,3.86,5.69,4.07,3.05,28.87,4.07,7.32,,4.68,,,,4.68,3.66,,2.872222,0.35,6.072222,0.931333,,1.611111,91.526079
US_VT_50003,2020-01-05,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,4.86,8.4,6.63,10.39,9.73,3.98,,,5.08,3.76,4.64,,13.27,3.1,7.96,3.76,6.19,9.06,6.19,4.42,5.08,3.76,4.42,3.76,6.19,,6.19,24.98,4.2,6.19,7.3,3.1,3.98,4.2,4.42,36.7,5.53,9.73,4.42,6.19,3.32,,3.54,4.42,5.31,3.32,-0.066667,-2.533333,4.361111,3.951111,,-4.327778,73.367756
US_VT_50003,2020-01-06,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.95,8.93,4.36,7.93,9.72,7.14,,4.36,7.54,5.36,4.17,3.77,16.86,,7.14,,4.56,7.14,3.37,2.78,4.96,4.17,4.17,4.36,5.36,2.98,5.95,25.0,4.56,5.16,6.35,5.36,8.33,5.36,5.16,40.47,4.56,4.76,,4.96,4.36,,,3.57,3.17,,-2.705556,-6.388889,2.288889,0.197556,30.48,-5.988889,78.417338
US_VT_50003,2020-01-07,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,6.44,7.04,6.44,12.07,8.65,4.22,,4.02,6.44,4.22,6.04,3.02,15.89,3.62,11.67,3.02,4.63,9.46,6.24,,4.02,4.43,3.22,2.82,4.63,,6.84,25.35,6.84,4.22,6.04,4.63,4.83,3.22,5.23,38.23,3.62,8.45,,7.64,,5.43,3.02,3.42,,3.62,-0.25,-6.466667,2.261111,0.4318,,-6.688889,62.155987
US_VT_50003,2020-01-08,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,3.52,2.94,4.3,7.83,9.59,10.56,5.67,3.91,5.48,6.85,4.3,6.85,,11.15,4.7,7.04,,6.65,9.0,5.09,3.33,4.3,5.09,,3.72,,,5.87,23.67,5.09,3.52,8.41,2.74,5.28,2.94,5.67,33.85,2.74,6.26,3.91,7.04,4.11,,3.72,4.11,,,-1.038889,-4.622222,2.538889,0.0,,-5.861111,69.903298
US_VT_50003,2020-01-09,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.92,5.73,6.91,5.73,7.11,8.69,,6.52,6.71,3.56,5.92,2.96,12.64,3.95,6.32,,6.52,8.69,4.15,,2.96,5.53,,4.54,4.34,2.96,9.09,24.89,4.54,,7.5,3.95,4.15,6.32,7.31,37.13,2.96,6.12,3.75,5.33,4.54,3.95,,2.96,,,-7.577778,-12.15,1.777778,0.1778,,-16.316667,49.888802
US_VT_50003,2020-01-10,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,6.44,6.64,3.9,12.1,10.35,2.73,2.73,3.71,3.9,,5.08,5.66,13.86,3.32,8.98,,5.86,8.59,5.08,,4.49,6.25,3.32,3.51,4.29,3.9,5.47,25.38,7.03,3.32,7.61,,4.49,5.86,7.42,38.46,3.32,7.81,,4.68,3.51,4.49,3.51,2.73,,3.12,-0.994444,-11.55,4.305556,0.0,,-7.033333,64.142594
