location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AZ_04023,2020-01-01,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,6.39,8.62,5.28,10.01,5.84,,5.28,5.28,18.63,,9.45,,,5.0,5.0,4.45,5.84,3.89,4.45,7.23,7.51,16.96,6.95,,,,4.17,5.84,38.65,,3.89,7.51,,4.17,6.549383,-0.376543,14.993827,0.423333,0.15873,62.933515
US_AZ_04023,2020-01-02,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,6.08,8.18,3.97,10.52,8.41,3.97,3.27,4.44,19.39,3.5,11.68,,4.67,7.24,,,3.97,,3.5,4.91,5.61,21.73,6.54,,6.78,,3.97,3.74,35.05,3.97,5.37,5.61,3.5,3.97,7.259259,-0.061728,13.67284,0.169333,0.15873,60.116701
US_AZ_04023,2020-01-03,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.57,8.91,4.34,5.26,7.08,6.4,3.2,3.88,18.05,,9.6,,,8.0,3.43,4.8,4.8,3.66,7.54,3.66,4.57,21.25,8.46,3.88,3.66,3.43,,,34.5,,,4.8,3.66,5.03,5.339506,-2.265432,14.141975,0.056444,-2.880952,54.513655
US_AZ_04023,2020-01-04,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,5.84,9.25,4.87,8.52,4.62,4.38,5.11,,15.09,,10.22,3.41,3.65,7.3,,3.9,3.41,,3.41,5.6,7.3,25.56,4.62,4.62,5.84,,5.84,,36.27,,3.9,4.38,,5.6,7.759259,-1.320988,19.54321,0.0,-3.968254,42.809584
US_AZ_04023,2020-01-05,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,7.12,11.53,,7.12,6.38,3.93,4.91,3.68,15.46,,7.85,,3.44,7.12,,,7.36,,4.91,3.93,6.63,20.86,4.91,,5.4,,3.68,8.1,35.09,,4.17,,3.68,5.64,10.320988,0.067901,22.351852,0.0,-3.198413,38.628044
US_AZ_04023,2020-01-06,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.99,8.52,,7.28,4.99,,4.37,,13.51,,11.44,2.91,3.74,6.03,,3.12,3.53,3.33,3.74,3.12,6.86,21.83,7.9,3.74,6.24,,,6.45,30.15,4.16,4.37,4.57,4.57,,9.635802,-0.487654,21.604938,0.0,-3.261905,40.156617
US_AZ_04023,2020-01-07,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,7.97,8.18,3.77,8.39,6.29,5.45,5.45,3.35,13.21,3.98,10.06,,5.45,9.85,,,3.98,,3.35,3.77,5.87,17.19,5.03,,6.08,4.4,3.56,4.19,37.11,,,3.35,3.35,4.61,9.925926,-0.450617,20.271605,0.0,-8.555556,25.973029
US_AZ_04023,2020-01-08,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,3.78,8.23,,9.12,6.22,,4.45,3.56,11.34,,10.89,,3.11,8.23,4.45,4.0,3.33,,5.11,3.33,8.23,42.69,5.34,5.56,7.11,5.56,,7.34,34.02,,25.12,4.89,6.0,6.0,9.950617,0.808642,20.660494,0.0,-7.738095,28.26342
US_AZ_04023,2020-01-09,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,5.8,8.03,3.57,7.81,8.03,3.57,,4.46,12.71,,6.92,6.25,4.68,9.14,,6.25,4.24,5.13,6.69,3.57,5.58,35.24,3.79,4.24,4.24,4.68,,4.01,36.58,3.79,22.08,4.24,,,10.308642,1.358025,19.308642,0.0,-7.730159,27.61555
US_AZ_04023,2020-01-10,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.84,6.23,,9.69,8.3,5.08,,3.23,14.76,3.23,11.99,,4.84,11.53,,,5.54,3.69,5.77,3.69,6.92,25.14,5.08,3.69,5.3,,3.46,5.3,30.22,,12.22,,4.61,5.08,7.654321,1.617284,16.419753,0.790222,-0.595238,55.300989
