location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TN_47131,2020-01-11,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,11.54,8.56,11.91,8.19,8.19,12.28,6.33,8.56,,,,28.66,,6.33,,44.67,8.93,,12.796296,4.580247,19.04321,6.1976,11.722222,93.237629
US_TN_47131,2020-01-12,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,8.12,8.89,9.28,5.41,,14.69,11.21,10.44,6.96,,8.51,31.32,8.89,8.51,6.19,39.83,8.12,5.8,2.932099,1.191358,4.981481,7.6708,1.160494,88.239977
US_TN_47131,2020-01-13,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,11.57,12.56,11.57,4.96,4.96,15.87,10.58,15.87,6.61,,11.57,27.11,8.27,9.26,7.27,42.98,10.58,6.28,4.790123,2.166667,9.265432,0.0,2.790123,86.98903
US_TN_47131,2020-01-14,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,7.68,12.57,9.78,9.08,,16.41,9.43,15.36,5.94,9.08,13.97,35.27,10.13,5.94,9.78,45.05,6.29,11.52,8.17284,5.549383,11.246914,0.072571,7.234568,93.878019
US_TN_47131,2020-01-15,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,5.91,11.47,8.34,7.3,,17.73,9.39,10.78,,6.95,10.78,33.37,5.56,8.69,,51.45,6.26,4.87,12.320988,8.098765,16.808642,0.0,11.981481,97.819326
US_TN_47131,2020-01-16,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,5.72,12.17,7.51,6.8,6.08,20.39,10.02,12.17,,,12.17,30.41,10.38,13.96,,51.88,5.37,11.09,6.703704,1.246914,13.067901,0.0,3.833333,81.966514
US_TN_47131,2020-01-17,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,8.83,9.53,9.89,,,14.83,11.65,8.83,4.94,5.65,11.3,29.31,7.06,,,40.25,6.71,6.36,1.814815,-0.320988,5.333333,0.0,-3.580247,67.555352
US_TN_47131,2020-01-18,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,6.27,10.19,6.27,,6.67,13.72,8.63,11.37,7.06,,12.55,25.09,6.27,9.41,,34.5,6.27,6.67,10.938272,4.623457,16.228395,1.778,6.104938,72.434998
US_TN_47131,2020-01-19,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,10.41,14.82,8.81,10.41,,16.02,6.41,10.41,,,8.81,26.83,,9.21,,43.65,9.21,7.61,1.216049,-2.006173,7.617284,1.495778,-8.5,48.42016
US_TN_47131,2020-01-20,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,9.71,16.07,8.22,9.71,,16.44,,13.45,7.1,,12.71,34.75,7.85,8.22,9.71,41.1,6.73,8.59,-4.746914,-6.691358,-2.061728,0.0,-9.382716,70.082516
