location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26031,2020-01-11,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,6.69,9.83,5.9,,,12.19,10.62,,5.9,13.37,,8.65,,32.64,8.65,,-2.594444,-7.772222,4.094444,1.354667,-5.290123,81.301534
US_MI_26031,2020-01-12,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,8.37,7.17,7.57,6.37,5.98,16.73,8.76,,,20.71,,5.98,,36.65,,,-10.422222,-13.977778,-3.261111,2.159,-14.111111,73.85468
US_MI_26031,2020-01-13,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,7.66,6.93,10.94,6.56,,13.85,11.3,5.1,,24.06,5.1,5.1,,39.0,5.1,7.66,-6.233333,-10.055556,-2.738889,0.5588,-7.901235,87.709016
US_MI_26031,2020-01-14,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,5.1,8.38,8.02,,5.46,18.58,9.11,6.92,,24.41,5.46,5.83,,36.07,8.02,,-1.127778,-6.25,1.183333,0.2032,-2.277778,91.26536
US_MI_26031,2020-01-15,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,,8.54,6.4,6.4,,9.25,9.96,8.18,6.4,20.28,,6.76,7.47,35.93,5.69,,-0.194444,-1.994444,1.105556,0.3556,-3.58642,77.430281
US_MI_26031,2020-01-16,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,7.12,9.74,,,,17.97,8.24,,10.86,22.09,7.12,8.61,,28.46,,,-3.894444,-8.15,-0.35,1.016,-5.950617,85.191118
US_MI_26031,2020-01-17,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,5.7,9.5,,5.7,6.46,12.54,8.36,,9.5,18.61,,,7.22,27.35,,,-7.777778,-9.094444,-3.777778,1.227667,-11.864198,71.769864
US_MI_26031,2020-01-18,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,8.74,9.53,,,,11.92,10.33,6.36,6.75,20.26,,7.94,5.96,34.16,9.93,6.75,-4.733333,-8.161111,-1.655556,0.296333,-6.302469,87.739008
US_MI_26031,2020-01-19,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,6.39,,6.79,,6.79,13.98,11.19,,,17.58,,11.19,,36.36,5.99,10.79,-7.261111,-10.961111,-2.444444,5.9944,-10.574074,77.166984
US_MI_26031,2020-01-20,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,6.28,11.16,10.11,5.93,,15.0,5.23,,,24.06,,,,28.6,,5.58,-8.777778,-15.855556,-3.616667,0.3556,-12.592593,73.4276
US_MI_26031,2020-01-21,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,6.5,8.8,6.89,,,18.36,9.56,,8.04,29.08,,11.86,,37.5,8.04,,-4.783333,-10.588889,-1.688889,0.0,-8.462963,74.370992
