location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MN_27021,2020-01-01,ChIJ7SSeiyM-t1IRjkugTsuxmZ0,Q111421,geoId/27021,US,United States of America,MN,Minnesota,27021,Cass County,US,USA,2,,,,,,,29324,14954,14370,3417,3345,2597,2848,2873,4334,5011,3426,1473,1796044,46.95,-94.32,6253,79.76,,,,,,7.38,6.32,5.62,5.27,,7.02,12.99,7.38,5.27,6.32,,,,,,6.32,18.96,,5.62,,,35.82,,,8.08,,,-9.716667,-15.75,-2.683333,0.0,408.94,-11.661111,85.797926
US_MN_27021,2020-01-02,ChIJ7SSeiyM-t1IRjkugTsuxmZ0,Q111421,geoId/27021,US,United States of America,MN,Minnesota,27021,Cass County,US,USA,2,,,,,,,29324,14954,14370,3417,3345,2597,2848,2873,4334,5011,3426,1473,1796044,46.95,-94.32,6253,79.76,,,,,,,8.23,4.94,6.91,5.92,,10.86,6.58,,6.91,,6.58,,,,,20.73,4.94,5.27,6.25,7.9,35.22,,4.61,4.94,5.59,,-2.788889,-4.272222,-1.111111,0.3175,381.0,-4.577778,87.597884
US_MN_27021,2020-01-03,ChIJ7SSeiyM-t1IRjkugTsuxmZ0,Q111421,geoId/27021,US,United States of America,MN,Minnesota,27021,Cass County,US,USA,2,,,,,,,29324,14954,14370,3417,3345,2597,2848,2873,4334,5011,3426,1473,1796044,46.95,-94.32,6253,79.76,,,,,,,7.46,5.84,10.38,4.54,5.84,16.23,12.66,,9.09,,,,6.82,,5.84,15.9,5.52,,,5.84,32.45,,4.87,,4.54,,-5.461111,-8.438889,-1.922222,0.0,381.0,-7.172222,87.867104
US_MN_27021,2020-01-04,ChIJ7SSeiyM-t1IRjkugTsuxmZ0,Q111421,geoId/27021,US,United States of America,MN,Minnesota,27021,Cass County,US,USA,2,,,,,,,29324,14954,14370,3417,3345,2597,2848,2873,4334,5011,3426,1473,1796044,46.95,-94.32,6253,79.76,,,,,,,7.7,6.97,9.9,,6.24,18.34,11.74,5.5,8.8,,6.6,,,,,31.55,5.87,5.87,8.07,,33.38,,6.24,,5.5,,-5.816667,-8.227778,-3.866667,0.0,381.0,-7.05,91.115643
US_MN_27021,2020-01-05,ChIJ7SSeiyM-t1IRjkugTsuxmZ0,Q111421,geoId/27021,US,United States of America,MN,Minnesota,27021,Cass County,US,USA,2,,,,,,,29324,14954,14370,3417,3345,2597,2848,2873,4334,5011,3426,1473,1796044,46.95,-94.32,6253,79.76,,,,,,5.52,,11.05,5.52,5.89,,21.36,8.47,,8.1,,6.26,,,,5.52,21.36,7.0,7.73,7.73,,39.77,,,7.37,,,-3.455556,-5.95,0.083333,0.0,381.0,-6.338889,80.524953
US_MN_27021,2020-01-06,ChIJ7SSeiyM-t1IRjkugTsuxmZ0,Q111421,geoId/27021,US,United States of America,MN,Minnesota,27021,Cass County,US,USA,2,,,,,,,29324,14954,14370,3417,3345,2597,2848,2873,4334,5011,3426,1473,1796044,46.95,-94.32,6253,79.76,,,,,,,6.66,7.66,5.33,,7.99,11.98,5.66,,4.66,5.33,,5.66,,,4.66,25.3,4.66,4.99,5.33,5.66,32.96,4.66,5.66,,4.99,,-5.722222,-12.1,0.283333,0.0,381.0,-9.238889,76.330911
US_MN_27021,2020-01-07,ChIJ7SSeiyM-t1IRjkugTsuxmZ0,Q111421,geoId/27021,US,United States of America,MN,Minnesota,27021,Cass County,US,USA,2,,,,,,,29324,14954,14370,3417,3345,2597,2848,2873,4334,5011,3426,1473,1796044,46.95,-94.32,6253,79.76,,,,,,,6.18,7.16,,5.21,4.88,14.97,4.88,,9.44,,,5.86,,,6.83,26.69,,,,8.46,28.32,,5.21,,5.86,,-8.416667,-16.505556,-2.794444,0.0,381.0,-12.744444,71.027272
US_MN_27021,2020-01-08,ChIJ7SSeiyM-t1IRjkugTsuxmZ0,Q111421,geoId/27021,US,United States of America,MN,Minnesota,27021,Cass County,US,USA,2,,,,,,,29324,14954,14370,3417,3345,2597,2848,2873,4334,5011,3426,1473,1796044,46.95,-94.32,6253,79.76,,,,,,,6.22,12.11,13.42,5.24,,13.74,6.54,9.16,9.49,5.24,,,,,8.18,25.85,5.89,6.54,,7.2,30.76,5.89,7.85,,9.49,,-21.1,-28.727778,-15.961111,0.0,381.0,-24.533333,73.946081
US_MN_27021,2020-01-09,ChIJ7SSeiyM-t1IRjkugTsuxmZ0,Q111421,geoId/27021,US,United States of America,MN,Minnesota,27021,Cass County,US,USA,2,,,,,,,29324,14954,14370,3417,3345,2597,2848,2873,4334,5011,3426,1473,1796044,46.95,-94.32,6253,79.76,,,,,,,6.74,10.92,8.03,5.46,,17.66,8.99,6.1,8.03,7.71,,,,,,26.33,4.82,5.78,6.1,,34.03,,7.71,5.78,,5.78,-11.011111,-16.255556,-6.222222,0.254,381.0,-15.538889,69.340538
US_MN_27021,2020-01-10,ChIJ7SSeiyM-t1IRjkugTsuxmZ0,Q111421,geoId/27021,US,United States of America,MN,Minnesota,27021,Cass County,US,USA,2,,,,,,,29324,14954,14370,3417,3345,2597,2848,2873,4334,5011,3426,1473,1796044,46.95,-94.32,6253,79.76,,,,,,5.1,7.33,6.69,6.69,,5.42,15.3,7.65,7.01,9.56,6.06,,4.46,,,4.46,27.09,4.46,,,,32.83,,7.33,,,,-12.983333,-18.677778,-6.961111,0.0635,381.0,-17.172222,70.904337
