location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_LA_22069,2020-01-01,ChIJyTwkpQVqMIYRGWf1oZyDK4Q,Q507047,geoId/22069,US,United States of America,LA,Louisiana,22069,Natchitoches Parish,US,USA,2,,,,,,,39042,18758,20284,5075,6060,6998,4139,3925,4399,4209,2759,1478,1838155,31.73,-93.1,3365,76.175,,,,,,,7.87,,10.59,8.69,,3.8,,19.82,13.3,3.8,5.7,,3.8,7.06,4.89,4.89,,5.16,21.18,5.97,8.42,5.97,8.69,7.33,32.31,3.8,8.42,5.16,4.07,6.79,5.872222,1.561111,11.888889,0.0,,1.477778,73.430136
US_LA_22069,2020-01-02,ChIJyTwkpQVqMIYRGWf1oZyDK4Q,Q507047,geoId/22069,US,United States of America,LA,Louisiana,22069,Natchitoches Parish,US,USA,2,,,,,,,39042,18758,20284,5075,6060,6998,4139,3925,4399,4209,2759,1478,1838155,31.73,-93.1,3365,76.175,,,,,,4.33,7.7,4.09,9.14,7.22,5.05,4.81,4.81,18.52,9.14,,9.86,,4.09,4.33,5.53,4.81,,8.18,22.37,4.33,4.81,,4.81,4.09,35.12,4.57,5.29,6.74,5.29,5.29,11.655556,8.522222,16.366667,19.642667,,9.9,89.016271
US_LA_22069,2020-01-03,ChIJyTwkpQVqMIYRGWf1oZyDK4Q,Q507047,geoId/22069,US,United States of America,LA,Louisiana,22069,Natchitoches Parish,US,USA,2,,,,,,,39042,18758,20284,5075,6060,6998,4139,3925,4399,4209,2759,1478,1838155,31.73,-93.1,3365,76.175,,,,,,5.81,7.75,4.12,8.71,3.39,5.33,,5.81,21.3,10.89,3.87,7.5,4.12,,6.05,3.87,4.12,,9.2,25.41,6.05,8.23,4.6,3.87,4.12,35.34,6.54,6.05,5.08,4.36,4.36,15.522222,13.755556,19.088889,16.058444,,14.055556,90.992379
US_LA_22069,2020-01-04,ChIJyTwkpQVqMIYRGWf1oZyDK4Q,Q507047,geoId/22069,US,United States of America,LA,Louisiana,22069,Natchitoches Parish,US,USA,2,,,,,,,39042,18758,20284,5075,6060,6998,4139,3925,4399,4209,2759,1478,1838155,31.73,-93.1,3365,76.175,,,,,,6.03,8.39,3.94,7.61,3.94,,,5.25,16.0,9.71,,5.77,,4.72,,,3.94,4.46,9.44,22.04,,7.34,,4.72,4.2,37.25,,3.94,,,4.2,10.772222,3.761111,15.85,1.4224,,5.044444,67.805764
US_LA_22069,2020-01-05,ChIJyTwkpQVqMIYRGWf1oZyDK4Q,Q507047,geoId/22069,US,United States of America,LA,Louisiana,22069,Natchitoches Parish,US,USA,2,,,,,,,39042,18758,20284,5075,6060,6998,4139,3925,4399,4209,2759,1478,1838155,31.73,-93.1,3365,76.175,,,,,,7.39,11.08,,9.76,4.49,4.49,4.75,,16.09,9.23,5.54,6.07,4.75,5.8,3.69,,6.33,4.49,9.23,21.63,,7.39,4.22,5.28,4.75,33.24,,8.18,4.49,,7.92,8.838889,1.594444,21.15,0.0,,3.8,70.828636
US_LA_22069,2020-01-06,ChIJyTwkpQVqMIYRGWf1oZyDK4Q,Q507047,geoId/22069,US,United States of America,LA,Louisiana,22069,Natchitoches Parish,US,USA,2,,,,,,,39042,18758,20284,5075,6060,6998,4139,3925,4399,4209,2759,1478,1838155,31.73,-93.1,3365,76.175,,,,,,3.46,6.46,4.15,6.92,7.61,4.84,4.15,6.46,15.23,12.69,3.69,9.0,6.69,6.0,,,6.46,7.61,7.15,28.38,4.38,6.69,5.31,4.38,4.84,35.99,7.15,7.61,4.38,5.54,4.15,13.066667,6.388889,21.65,0.0,,8.75,75.153344
US_LA_22069,2020-01-07,ChIJyTwkpQVqMIYRGWf1oZyDK4Q,Q507047,geoId/22069,US,United States of America,LA,Louisiana,22069,Natchitoches Parish,US,USA,2,,,,,,,39042,18758,20284,5075,6060,6998,4139,3925,4399,4209,2759,1478,1838155,31.73,-93.1,3365,76.175,,,,,,3.28,7.04,3.75,11.96,8.21,4.46,3.28,3.28,16.18,8.44,,10.55,,3.52,4.92,,5.16,4.22,8.21,25.1,6.1,5.39,3.75,4.92,11.49,31.43,6.33,,5.63,6.8,,11.644444,4.366667,17.416667,0.0,,2.244444,52.617063
US_LA_22069,2020-01-08,ChIJyTwkpQVqMIYRGWf1oZyDK4Q,Q507047,geoId/22069,US,United States of America,LA,Louisiana,22069,Natchitoches Parish,US,USA,2,,,,,,,39042,18758,20284,5075,6060,6998,4139,3925,4399,4209,2759,1478,1838155,31.73,-93.1,3365,76.175,,,,,,4.36,8.48,,12.84,4.36,4.82,5.04,5.04,13.3,6.19,3.21,10.09,5.5,4.36,,,5.5,5.28,4.82,32.56,3.9,6.19,4.36,,6.65,36.01,,15.82,8.71,5.28,6.65,7.127778,-0.738889,18.777778,0.0,,-0.644444,57.867667
US_LA_22069,2020-01-09,ChIJyTwkpQVqMIYRGWf1oZyDK4Q,Q507047,geoId/22069,US,United States of America,LA,Louisiana,22069,Natchitoches Parish,US,USA,2,,,,,,,39042,18758,20284,5075,6060,6998,4139,3925,4399,4209,2759,1478,1838155,31.73,-93.1,3365,76.175,,,,,,4.07,6.56,4.53,10.18,5.66,3.62,4.75,4.75,12.22,7.92,,11.77,,5.66,4.53,4.3,4.3,4.98,8.82,34.39,3.62,4.98,3.39,5.66,5.88,38.01,3.62,14.93,3.62,6.11,6.56,13.388889,7.694444,20.588889,0.042333,,8.144444,70.670169
US_LA_22069,2020-01-10,ChIJyTwkpQVqMIYRGWf1oZyDK4Q,Q507047,geoId/22069,US,United States of America,LA,Louisiana,22069,Natchitoches Parish,US,USA,2,,,,,,,39042,18758,20284,5075,6060,6998,4139,3925,4399,4209,2759,1478,1838155,31.73,-93.1,3365,76.175,,,,,,4.67,6.23,6.68,13.58,6.23,,4.45,,13.35,5.56,,8.23,3.34,4.01,,3.34,6.23,4.9,6.9,24.04,5.12,7.12,,3.78,5.12,38.51,,10.24,3.34,3.78,5.12,19.694444,17.166667,23.583333,0.254,,16.688889,82.844463
