location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48293,2020-01-12,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,11.56,11.56,9.83,12.72,12.14,17.92,9.83,30.06,,4.472222,-1.061111,14.15,0.6604,,1.382716,79.102483
US_TX_48293,2020-01-13,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,6.99,6.99,10.92,8.74,,26.21,,34.95,,10.744444,5.772222,17.505556,0.0,,8.135802,83.748088
US_TX_48293,2020-01-14,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,8.31,,12.69,12.69,24.94,8.31,36.76,9.19,15.883333,13.538889,20.866667,0.2032,,14.932099,93.934994
US_TX_48293,2020-01-15,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,11.69,,,7.94,20.05,7.52,35.5,,20.861111,17.961111,25.711111,0.084667,,19.302469,90.863192
US_TX_48293,2020-01-16,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,9.38,,,9.81,6.4,20.04,,23.88,,17.083333,12.65,22.761111,0.338667,,15.438272,90.959355
US_TX_48293,2020-01-17,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,11.03,8.17,11.03,10.21,16.75,9.81,31.46,,13.95,11.444444,17.772222,2.921,,13.339506,95.770118
US_TX_48293,2020-01-18,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,12.58,,,,23.45,12.58,44.6,,16.822222,12.538889,18.488889,1.8288,,13.462963,81.330992
US_TX_48293,2020-01-19,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,8.55,,,13.68,,21.09,,33.63,,7.688889,1.383333,13.9,0.9652,,-3.203704,46.424161
US_TX_48293,2020-01-20,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,11.38,11.38,,14.09,,26.56,,36.86,8.67,6.561111,-0.061111,14.561111,0.0,,-2.950617,51.069043
US_TX_48293,2020-01-21,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,11.34,10.43,,19.96,9.07,31.75,,45.36,7.26,6.944444,0.505556,14.283333,0.0,,-0.802469,57.347856
US_TX_48293,2020-01-22,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,7.52,12.38,7.52,14.15,13.27,24.76,,39.8,8.4,7.194444,4.227778,11.583333,2.398889,,4.277778,80.758892
US_TX_48293,2020-01-23,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,9.03,12.9,,13.76,8.17,33.55,10.32,28.82,6.45,10.3,8.027778,13.883333,13.462,,8.833333,90.001998
US_TX_48293,2020-01-24,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,7.08,,24.77,8.85,30.96,,37.6,,8.277778,0.844444,17.211111,0.2032,,2.296296,65.906044
US_TX_48293,2020-01-25,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,11.79,,17.97,,34.81,9.54,39.3,,10.122222,2.7,18.344444,0.0,,3.358025,62.559553
US_TX_48293,2020-01-26,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,13.86,12.83,17.45,9.24,37.46,,34.38,,15.011111,9.45,20.244444,0.366889,,11.234568,77.676936
US_TX_48293,2020-01-27,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,6.6,7.92,,19.37,11.01,32.14,7.04,32.14,12.77,10.866667,5.666667,17.822222,0.1016,,9.092593,89.228524
US_TX_48293,2020-01-28,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,15.74,7.43,20.55,8.74,30.17,,41.1,7.87,12.877778,9.794444,18.505556,4.318,,10.938272,87.455175
US_TX_48293,2020-01-29,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,15.45,7.27,19.99,12.72,40.43,12.72,40.43,14.08,7.838889,5.472222,13.172222,3.7084,,3.62963,74.746608
US_TX_48293,2020-01-30,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,15.23,,24.54,9.31,35.96,8.88,30.88,8.46,6.833333,4.866667,9.116667,0.0,,4.228395,83.717548
US_TX_48293,2020-01-31,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,6.83,8.54,,22.2,,31.6,8.54,31.6,,8.311111,5.761111,12.827778,0.451556,,4.302469,76.220678
US_TX_48293,2020-02-01,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,9.86,10.44,,15.66,,31.89,,41.17,11.6,8.133333,-0.288889,19.922222,0.0,,1.401235,62.150992
US_TX_48293,2020-02-02,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,13.08,,16.35,,26.7,,33.78,9.26,13.527778,4.055556,26.566667,0.0,,0.876543,42.23473
US_TX_48293,2020-02-03,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,10.02,16.11,16.11,13.94,27.44,,38.33,6.53,16.716667,11.111111,22.494444,0.0,,9.709877,63.250969
US_TX_48293,2020-02-04,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,11.8,7.87,10.93,8.74,22.73,,34.52,,17.788889,9.655556,22.177778,0.127,,15.308642,86.148345
US_TX_48293,2020-02-05,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,9.2,11.29,,17.14,10.87,22.99,,33.44,,5.205556,2.45,9.672222,0.4826,,2.796296,85.057235
US_TX_48293,2020-02-06,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,7.18,,,15.62,14.35,21.95,,32.93,,2.861111,-1.533333,9.511111,1.87325,,-2.907407,66.100127
US_TX_48293,2020-02-07,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,6.91,13.83,,18.44,9.22,33.19,,40.56,,6.983333,-0.6,18.438889,0.127,,-2.777778,49.605352
US_TX_48293,2020-02-08,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,10.19,,18.59,,37.17,10.19,38.97,,10.077778,1.055556,19.388889,0.0,,0.753086,52.366371
US_TX_48293,2020-02-09,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,15.18,8.44,19.12,,38.24,,26.99,,17.311111,14.511111,21.727778,0.0,,14.092593,81.311629
US_TX_48293,2020-02-10,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,16.77,8.82,14.56,9.27,35.3,,37.06,9.71,15.116667,7.122222,20.633333,7.507111,,13.432099,90.746267
US_TX_48293,2020-02-11,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,6.88,12.04,14.18,18.48,11.61,27.51,7.74,33.53,6.88,6.522222,5.333333,8.088889,6.801556,,5.530864,94.227265
US_TX_48293,2020-02-12,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,6.92,8.22,7.35,16.01,12.11,24.23,,38.07,7.35,7.911111,6.316667,11.65,42.389778,,6.944444,93.625743
US_TX_48293,2020-02-13,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,8.82,9.71,21.62,11.91,21.18,,26.03,,6.066667,2.5,10.65,13.8176,,3.388889,83.126272
US_TX_48293,2020-02-14,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,,,,,,12.16,,14.86,7.21,23.42,,34.68,,4.033333,-1.705556,12.883333,0.0254,,-0.407407,73.249538
US_TX_48293,2020-02-15,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,0,4,-5,,,18.13,,19.3,,27.49,,47.96,,8.705556,1.733333,17.416667,0.0,,3.833333,71.24753
US_TX_48293,2020-02-16,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,7,10,-3,,,13.08,9.67,15.35,8.53,25.02,11.94,42.65,12.51,16.044444,9.861111,24.588889,0.0,,11.814815,76.253052
US_TX_48293,2020-02-17,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,-2,-11,-21,,7.99,10.48,,18.47,9.48,27.95,9.48,41.43,7.49,18.744444,14.161111,25.244444,0.0,,16.259259,84.948359
US_TX_48293,2020-02-18,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,-2,-9,-1,,,8.64,,12.73,10.92,28.66,8.64,32.29,8.19,17.927778,10.472222,24.0,0.028222,,15.697531,87.555716
US_TX_48293,2020-02-19,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,-8,-12,2,,6.84,8.97,,12.82,8.54,27.34,,35.89,8.97,9.005556,7.066667,11.227778,4.289778,,6.907407,86.710587
US_TX_48293,2020-02-20,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,2,-5,1,,,7.75,,9.47,15.06,25.82,,39.17,12.48,7.372222,5.811111,11.683333,44.816889,,5.339506,86.694821
US_TX_48293,2020-02-21,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,-3,-16,3,,8.98,6.41,10.26,8.55,6.84,23.51,6.41,31.64,13.25,5.388889,-0.411111,10.827778,4.445,,-0.203704,67.389599
US_TX_48293,2020-02-22,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,-11,-1,-5,,12.6,10.3,,16.03,9.73,27.48,,34.92,13.17,7.461111,2.355556,14.577778,0.0,,1.17284,63.868793
US_TX_48293,2020-02-23,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,-1,-6,-4,,10.3,13.55,8.13,16.26,8.13,32.52,,36.31,17.34,11.405556,7.911111,15.188889,0.056444,,8.197531,80.025238
US_TX_48293,2020-02-24,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,1,-7,2,,7.91,11.86,8.79,12.74,13.62,29.0,,40.87,10.55,16.877778,13.75,21.511111,0.225778,,11.228395,69.511668
US_TX_48293,2020-02-25,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,12,-7,2,,9.32,14.2,,21.31,12.43,32.85,,34.18,,11.716667,4.944444,19.05,0.0254,,5.234568,64.710726
US_TX_48293,2020-02-26,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,22,12,1,,10.19,13.58,,20.37,11.46,44.13,9.76,30.13,6.79,8.533333,4.266667,14.227778,0.1778,,-1.765432,48.613126
US_TX_48293,2020-02-27,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,21,6,1,,6.47,8.63,7.76,23.73,7.33,41.84,7.76,26.75,8.63,5.077778,-3.633333,15.755556,0.0762,,-4.290123,50.68724
US_TX_48293,2020-02-28,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,16,-6,7,,,11.19,,19.24,8.05,40.71,,38.03,7.16,9.972222,0.305556,20.083333,0.0,,-1.487654,44.627264
US_TX_48293,2020-02-29,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,11,10,8,,,10.67,,16.0,8.89,32.01,11.26,34.38,,13.45,5.222222,23.061111,0.0,,1.271605,43.423979
US_TX_48293,2020-03-01,ChIJ6zgKmfVWT4YR_-TV2q4VM_8,Q109616,geoId/48293,US,United States of America,TX,Texas,48293,Limestone County,US,USA,2,,,,,,,23391,11996,11395,2937,2903,3013,2825,2580,3061,3046,1938,1088,1837736,31.54,-96.58,2417,76.3,22,9,-3,,12.17,9.27,11.01,23.75,11.59,38.23,,38.23,,17.4,13.777778,22.377778,0.0,,11.944444,70.306199
