location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13123,2020-01-01,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,5.61,7.85,5.05,9.54,8.97,7.57,4.77,7.01,19.63,9.54,6.45,8.97,7.29,4.49,3.93,,5.61,,24.12,6.73,5.61,,4.77,9.26,43.75,4.21,8.69,6.17,3.93,5.05,5.177778,-0.688889,12.5,0.0,,-3.538889,53.737146
US_GA_13123,2020-01-02,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,6.36,6.07,7.22,6.65,11.85,5.78,7.22,,19.65,12.14,4.33,10.4,4.33,4.62,6.36,5.2,5.78,6.93,35.83,9.82,8.09,5.2,4.04,7.8,45.37,7.22,7.51,9.82,4.62,5.78,6.255556,1.172222,10.988889,4.699,,2.3,76.037749
US_GA_13123,2020-01-03,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,7.3,11.8,6.18,15.73,5.06,5.62,,4.21,16.85,12.92,5.34,8.71,4.78,3.93,5.62,,8.71,10.96,32.86,6.74,10.96,6.74,6.46,5.34,41.57,,7.02,6.46,4.49,6.46,11.838889,6.644444,15.361111,32.98825,,11.233333,96.172003
US_GA_13123,2020-01-04,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,5.4,8.1,,11.1,6.6,6.6,6.0,5.7,20.69,11.4,8.4,10.5,,4.8,7.2,6.6,5.7,7.5,28.79,9.0,7.8,,,6.0,42.59,,9.9,6.6,,6.0,11.85,4.811111,14.344444,15.131143,,8.605556,80.725619
US_GA_13123,2020-01-05,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,5.59,7.77,,10.25,8.39,7.77,4.97,,15.54,8.08,,7.77,5.28,4.97,5.28,5.28,6.53,8.7,21.44,9.94,5.59,,4.35,6.53,43.19,,5.59,9.01,,7.15,4.216667,-0.511111,12.038889,0.225778,,-2.694444,60.884792
US_GA_13123,2020-01-06,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,7.69,7.05,6.09,8.65,8.01,5.45,8.01,,15.38,10.57,5.77,11.85,4.8,6.41,,4.8,,10.89,25.3,8.65,9.29,5.77,,,39.08,6.73,7.69,,6.73,6.73,5.666667,-1.405556,15.433333,0.0,,-0.305556,65.683267
US_GA_13123,2020-01-07,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,4.11,13.51,5.58,9.69,9.69,4.7,7.63,5.87,16.74,8.52,4.4,13.51,,6.75,6.17,5.58,,9.69,23.78,6.46,10.28,5.29,,6.17,42.28,6.75,7.34,4.4,5.87,5.29,9.222222,2.455556,13.955556,2.140857,,1.911111,60.499418
US_GA_13123,2020-01-08,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,,9.54,,14.01,9.24,8.35,4.47,,20.27,14.6,5.66,14.3,8.05,,8.35,5.37,6.56,11.92,36.36,5.37,4.77,4.47,7.75,,46.2,6.26,10.13,6.56,5.96,5.96,6.027778,-1.411111,15.35,0.0254,,-3.188889,52.110697
US_GA_13123,2020-01-09,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,4.06,6.38,,9.56,8.11,8.98,7.24,,18.25,11.88,,15.07,4.93,6.08,8.98,4.06,4.35,10.43,26.66,9.56,7.24,5.22,,4.93,41.15,4.93,10.43,6.08,,4.35,6.638889,-1.45,16.35,0.0,,-1.194444,57.59083
US_GA_13123,2020-01-10,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,9.24,7.09,4.31,12.02,8.01,8.01,11.4,,17.87,8.32,4.62,11.09,7.7,4.62,,7.09,4.62,8.94,25.27,8.94,4.93,6.16,4.31,6.16,47.76,4.62,6.16,7.39,5.24,7.7,13.844444,9.944444,18.255556,0.0,,6.127778,59.8458
