location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21153,2020-01-01,ChIJn8D4MtDsRIgRLTbBS4DVl9I,Q503554,geoId/21153,US,United States of America,KY,Kentucky,21153,Magoffin County,US,USA,2,,,,,,,12519,6255,6264,1517,1560,1461,1404,1699,1902,1624,928,424,1846552,37.7,-83.06,801,72.766667,33.08,50.23,4.395062,2.006173,8.882716,0.0,,-1.981481,63.430412
US_KY_21153,2020-01-02,ChIJn8D4MtDsRIgRLTbBS4DVl9I,Q503554,geoId/21153,US,United States of America,KY,Kentucky,21153,Magoffin County,US,USA,2,,,,,,,12519,6255,6264,1517,1560,1461,1404,1699,1902,1624,928,424,1846552,37.7,-83.06,801,72.766667,47.63,54.44,5.283951,1.018519,10.641975,0.0635,,-1.469136,62.27765
US_KY_21153,2020-01-03,ChIJn8D4MtDsRIgRLTbBS4DVl9I,Q503554,geoId/21153,US,United States of America,KY,Kentucky,21153,Magoffin County,US,USA,2,,,,,,,12519,6255,6264,1517,1560,1461,1404,1699,1902,1624,928,424,1846552,37.7,-83.06,801,72.766667,32.4,53.63,10.567901,6.67284,12.228395,8.4455,,10.37037,98.714642
US_KY_21153,2020-01-04,ChIJn8D4MtDsRIgRLTbBS4DVl9I,Q503554,geoId/21153,US,United States of America,KY,Kentucky,21153,Magoffin County,US,USA,2,,,,,,,12519,6255,6264,1517,1560,1461,1404,1699,1902,1624,928,424,1846552,37.7,-83.06,801,72.766667,51.11,58.24,8.302469,1.493827,12.475309,7.3025,,7.487654,94.663834
US_KY_21153,2020-01-05,ChIJn8D4MtDsRIgRLTbBS4DVl9I,Q503554,geoId/21153,US,United States of America,KY,Kentucky,21153,Magoffin County,US,USA,2,,,,,,,12519,6255,6264,1517,1560,1461,1404,1699,1902,1624,928,424,1846552,37.7,-83.06,801,72.766667,28.73,53.72,2.08642,-0.012346,9.302469,1.378857,,-2.407407,72.22068
US_KY_21153,2020-01-06,ChIJn8D4MtDsRIgRLTbBS4DVl9I,Q503554,geoId/21153,US,United States of America,KY,Kentucky,21153,Magoffin County,US,USA,2,,,,,,,12519,6255,6264,1517,1560,1461,1404,1699,1902,1624,928,424,1846552,37.7,-83.06,801,72.766667,36.34,27.69,3.839506,-0.506173,8.561728,0.0,,-2.530864,63.471998
US_KY_21153,2020-01-07,ChIJn8D4MtDsRIgRLTbBS4DVl9I,Q503554,geoId/21153,US,United States of America,KY,Kentucky,21153,Magoffin County,US,USA,2,,,,,,,12519,6255,6264,1517,1560,1461,1404,1699,1902,1624,928,424,1846552,37.7,-83.06,801,72.766667,31.47,57.52,2.364198,-1.5,8.333333,0.8255,,-2.820988,68.875392
US_KY_21153,2020-01-08,ChIJn8D4MtDsRIgRLTbBS4DVl9I,Q503554,geoId/21153,US,United States of America,KY,Kentucky,21153,Magoffin County,US,USA,2,,,,,,,12519,6255,6264,1517,1560,1461,1404,1699,1902,1624,928,424,1846552,37.7,-83.06,801,72.766667,27.23,33.45,3.864198,-1.006173,8.32716,0.254,,-5.518519,50.516005
US_KY_21153,2020-01-09,ChIJn8D4MtDsRIgRLTbBS4DVl9I,Q503554,geoId/21153,US,United States of America,KY,Kentucky,21153,Magoffin County,US,USA,2,,,,,,,12519,6255,6264,1517,1560,1461,1404,1699,1902,1624,928,424,1846552,37.7,-83.06,801,72.766667,21.27,29.46,4.574074,-1.944444,14.895062,0.0,,-6.08642,46.447053
US_KY_21153,2020-01-10,ChIJn8D4MtDsRIgRLTbBS4DVl9I,Q503554,geoId/21153,US,United States of America,KY,Kentucky,21153,Magoffin County,US,USA,2,,,,,,,12519,6255,6264,1517,1560,1461,1404,1699,1902,1624,928,424,1846552,37.7,-83.06,801,72.766667,18.61,32.56,12.969136,8.123457,17.820988,0.0,,2.888889,50.607468
