location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WV_54043,2020-01-01,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,14.59,45.4,4.154321,1.555556,8.475309,0.0,,-1.987654,64.45678
US_WV_54043,2020-01-02,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,21.52,38.42,4.061728,-1.32716,11.641975,0.0635,,-1.648148,67.383816
US_WV_54043,2020-01-03,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,28.74,36.3,10.574074,7.339506,12.530864,7.8232,,9.969136,96.126301
US_WV_54043,2020-01-04,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,25.01,39.54,8.987654,1.87037,12.623457,7.1628,,7.944444,93.290502
US_WV_54043,2020-01-05,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,28.41,53.37,1.938272,0.216049,9.271605,3.81,,-2.376543,73.178208
US_WV_54043,2020-01-06,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,22.78,40.06,3.716049,-0.777778,8.222222,0.084667,30.48,-2.561728,64.049419
US_WV_54043,2020-01-07,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,22.5,39.16,0.975309,-3.191358,7.901235,0.338667,78.74,-3.012346,74.969592
US_WV_54043,2020-01-08,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,31.65,45.81,3.246914,-2.888889,7.833333,1.55575,50.8,-5.592593,52.895433
US_WV_54043,2020-01-09,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,12.63,33.67,36.2,2.481481,-4.246914,13.839506,0.0,64.77,-6.364198,53.423146
US_WV_54043,2020-01-10,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,13.88,24.49,42.44,11.487654,4.061728,18.364198,0.036286,78.74,2.141975,53.458426
US_WV_54043,2020-01-11,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,20.93,46.63,17.950617,11.679012,24.833333,2.3876,,10.185185,60.706995
US_WV_54043,2020-01-12,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,15.42,28.12,44.45,10.888889,6.494444,20.0,9.216571,,6.266667,73.335953
US_WV_54043,2020-01-13,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,14.08,36.07,42.23,5.962963,1.771605,14.166667,0.0,,3.08642,82.761915
US_WV_54043,2020-01-14,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,41.76,44.22,9.148148,2.302469,14.283951,3.429,,7.783951,91.253658
US_WV_54043,2020-01-15,ChIJ-TRwThFPT4gRPgz5EEXz3Ns,Q495151,geoId/54043,US,United States of America,WV,West Virginia,54043,Lincoln County,US,USA,2,,,,,,,20872,10353,10519,2511,2572,2171,2319,2776,3022,2918,1733,850,2535267,38.18,-82.07,1136,72.58,,,17.66,35.33,7.808642,3.222222,15.962963,0.762,,6.858025,93.879549
