location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48053,2020-01-01,ChIJu3CdUe3nWoYRn2lOf9s_7bk,Q108784,geoId/48053,US,United States of America,TX,Texas,48053,Burnet County,US,USA,2,,,,,,,46600,22805,23795,5373,5732,5018,5011,5168,6581,6922,4498,2297,1836962,30.78,-98.18,2644,78.5875,,,,,,,6.94,10.19,7.59,19.52,6.29,6.29,,4.12,6.07,4.55,4.12,,21.47,4.77,15.83,4.34,6.51,7.37,4.12,3.25,8.89,8.68,,5.64,8.68,,7.16,31.01,9.76,,8.24,,,6.29,4.77,49.23,,7.81,3.04,5.42,,4.34,4.34,5.21,3.9,,10.160494,7.438272,12.833333,0.0,,-0.111111,48.713643
US_TX_48053,2020-01-02,ChIJu3CdUe3nWoYRn2lOf9s_7bk,Q108784,geoId/48053,US,United States of America,TX,Texas,48053,Burnet County,US,USA,2,,,,,,,46600,22805,23795,5373,5732,5018,5011,5168,6581,6922,4498,2297,1836962,30.78,-98.18,2644,78.5875,,,,,,,5.81,9.34,6.22,19.3,8.51,7.47,6.02,2.9,8.51,,6.43,3.11,19.3,,17.22,,4.57,11.83,4.36,3.53,4.98,6.85,6.85,5.19,5.39,4.36,8.51,29.67,9.75,3.94,6.43,5.19,4.77,4.36,9.54,46.69,5.81,8.09,,6.02,4.77,5.6,3.32,4.98,,,11.987654,9.506173,16.123457,0.028222,,9.381944,83.702436
US_TX_48053,2020-01-03,ChIJu3CdUe3nWoYRn2lOf9s_7bk,Q108784,geoId/48053,US,United States of America,TX,Texas,48053,Burnet County,US,USA,2,,,,,,,46600,22805,23795,5373,5732,5018,5011,5168,6581,6922,4498,2297,1836962,30.78,-98.18,2644,78.5875,,,,,,,5.05,9.68,5.89,24.62,7.79,6.31,,,7.16,3.79,3.58,,16.62,,14.1,,4.0,6.31,4.63,2.95,5.05,4.84,6.73,6.31,5.68,4.84,12.42,26.52,9.26,,7.37,4.21,3.58,4.63,5.68,40.62,3.16,5.68,4.0,6.95,3.37,4.84,,4.0,,3.58,11.407407,6.858025,16.259259,0.0,,5.409722,66.730298
US_TX_48053,2020-01-04,ChIJu3CdUe3nWoYRn2lOf9s_7bk,Q108784,geoId/48053,US,United States of America,TX,Texas,48053,Burnet County,US,USA,2,,,,,,,46600,22805,23795,5373,5732,5018,5011,5168,6581,6922,4498,2297,1836962,30.78,-98.18,2644,78.5875,,,,,,,6.92,9.16,4.69,25.68,5.58,5.36,3.57,,6.48,3.57,3.13,4.24,12.73,3.35,10.94,4.47,4.91,8.93,7.82,4.24,6.25,10.05,6.25,3.57,5.36,,7.59,23.45,6.7,4.24,10.94,4.02,,,4.69,49.14,5.81,10.27,,4.47,3.57,5.36,,3.35,3.13,4.69,10.598765,2.351852,20.839506,0.0,,-1.25,44.025133
US_TX_48053,2020-01-05,ChIJu3CdUe3nWoYRn2lOf9s_7bk,Q108784,geoId/48053,US,United States of America,TX,Texas,48053,Burnet County,US,USA,2,,,,,,,46600,22805,23795,5373,5732,5018,5011,5168,6581,6922,4498,2297,1836962,30.78,-98.18,2644,78.5875,,,,,,4.62,5.29,8.81,4.18,41.19,8.37,9.03,,3.74,8.81,5.07,5.29,3.52,19.38,,9.25,,3.3,8.81,5.07,,6.61,7.71,4.62,4.41,6.39,4.62,6.61,24.89,4.41,3.52,11.45,3.3,3.74,6.17,3.96,38.77,4.62,7.71,3.74,5.95,3.96,,4.85,,4.85,,13.796296,5.475309,24.814815,0.0,,-0.256944,38.62987
US_TX_48053,2020-01-06,ChIJu3CdUe3nWoYRn2lOf9s_7bk,Q108784,geoId/48053,US,United States of America,TX,Texas,48053,Burnet County,US,USA,2,,,,,,,46600,22805,23795,5373,5732,5018,5011,5168,6581,6922,4498,2297,1836962,30.78,-98.18,2644,78.5875,,,,,,,7.9,7.48,6.45,47.61,11.23,9.36,5.61,3.95,9.15,4.16,4.78,,20.58,3.53,9.56,,4.57,10.39,6.65,,5.82,11.64,5.41,4.99,3.33,4.57,7.48,28.27,8.94,4.99,7.07,4.16,,5.2,6.24,41.16,,7.69,,,4.37,4.99,3.53,3.53,3.53,,12.444444,3.91358,22.5,0.0,,2.0625,50.250337
US_TX_48053,2020-01-07,ChIJu3CdUe3nWoYRn2lOf9s_7bk,Q108784,geoId/48053,US,United States of America,TX,Texas,48053,Burnet County,US,USA,2,,,,,,,46600,22805,23795,5373,5732,5018,5011,5168,6581,6922,4498,2297,1836962,30.78,-98.18,2644,78.5875,,,,,,,4.6,6.8,4.6,35.38,9.59,7.59,5.8,4.2,3.8,4.0,3.4,5.8,17.59,3.4,8.79,,5.4,9.19,4.4,,4.6,11.59,5.0,3.6,5.0,,7.59,25.59,5.8,3.0,8.39,,6.8,5.4,4.8,41.17,3.0,5.6,3.8,4.6,4.0,3.6,3.6,4.0,4.4,3.0,11.382716,2.574074,19.074074,0.0,,-3.729167,34.886039
US_TX_48053,2020-01-08,ChIJu3CdUe3nWoYRn2lOf9s_7bk,Q108784,geoId/48053,US,United States of America,TX,Texas,48053,Burnet County,US,USA,2,,,,,,,46600,22805,23795,5373,5732,5018,5011,5168,6581,6922,4498,2297,1836962,30.78,-98.18,2644,78.5875,,,,,,,4.88,7.02,5.07,38.04,10.34,7.22,,5.07,5.27,2.93,3.9,,18.73,,8.58,4.49,5.07,12.48,6.63,,4.88,7.41,4.88,5.07,5.07,4.88,10.53,36.87,6.83,3.9,7.41,4.68,5.46,4.1,6.63,42.72,5.66,13.65,3.51,4.68,3.32,4.29,4.68,,,3.32,9.641975,1.271605,19.203704,0.0,,-3.423611,40.461494
US_TX_48053,2020-01-09,ChIJu3CdUe3nWoYRn2lOf9s_7bk,Q108784,geoId/48053,US,United States of America,TX,Texas,48053,Burnet County,US,USA,2,,,,,,,46600,22805,23795,5373,5732,5018,5011,5168,6581,6922,4498,2297,1836962,30.78,-98.18,2644,78.5875,,,,,,3.91,6.45,6.45,6.84,28.35,6.65,7.04,6.06,5.08,3.13,4.89,4.89,3.91,11.73,5.67,9.58,3.13,4.11,11.34,5.47,,7.63,7.04,3.91,3.71,3.13,3.32,9.39,33.44,5.47,4.11,5.67,2.74,3.71,5.67,6.84,44.98,4.89,12.71,,4.89,9.58,3.52,,2.93,4.5,3.32,17.981481,15.216049,23.191358,0.0,,13.208333,73.304335
US_TX_48053,2020-01-10,ChIJu3CdUe3nWoYRn2lOf9s_7bk,Q108784,geoId/48053,US,United States of America,TX,Texas,48053,Burnet County,US,USA,2,,,,,,,46600,22805,23795,5373,5732,5018,5011,5168,6581,6922,4498,2297,1836962,30.78,-98.18,2644,78.5875,,,,,,3.62,3.62,7.97,4.53,19.37,7.97,6.16,3.62,,6.52,2.9,4.34,2.9,14.85,2.72,9.41,2.54,3.26,9.96,3.8,3.98,4.16,5.79,5.97,4.16,4.53,4.53,7.97,25.71,6.7,,7.79,3.98,2.72,4.89,6.7,36.39,2.9,7.06,3.08,5.25,5.25,3.8,3.44,5.61,,,20.376543,17.882716,23.32716,0.0,,16.479167,77.93186
