location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48383,2020-01-01,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,,7.366667,1.838889,13.033333,0.0,,-1.791667,51.543729
US_TX_48383,2020-01-02,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,,10.633333,3.983333,17.244444,0.0,,0.208333,48.830985
US_TX_48383,2020-01-03,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,,9.233333,5.294444,14.611111,0.290286,,1.034722,57.02048
US_TX_48383,2020-01-04,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,,6.85,-1.883333,18.788889,0.3302,,-2.923611,49.460804
US_TX_48383,2020-01-05,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,,9.966667,0.15,19.805556,0.0,,-4.465278,35.634241
US_TX_48383,2020-01-06,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,36.91,8.394444,-0.872222,19.438889,0.0,,-4.4375,39.968789
US_TX_48383,2020-01-07,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,30.89,6.038889,-4.35,17.716667,0.0,,-8.534722,34.282132
US_TX_48383,2020-01-08,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,33.78,7.805556,-1.033333,18.461111,0.0,,-6.888889,34.824078
US_TX_48383,2020-01-09,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,27.94,15.094444,9.544444,23.177778,0.0,,5.8125,54.754907
US_TX_48383,2020-01-10,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,27.21,14.216667,8.15,21.527778,0.0,,6.222222,58.285891
US_TX_48383,2020-01-11,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,,7.183333,0.233333,16.294444,0.254,,-1.625,53.84343
US_TX_48383,2020-01-12,ChIJizLrz_HP-YYRk_ay2n-_TbI,Q111851,geoId/48383,US,United States of America,TX,Texas,48383,Reagan County,US,USA,2,,,,,,,3712,1977,1735,637,568,482,529,453,441,336,166,100,1814798,31.36,-101.52,3044,77.5,,,,,9.155556,2.683333,18.627778,0.0254,,-4.138889,39.173776
