location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_transit_stations,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IL_17035,2020-01-13,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,25.22,36.61,2.538889,0.211111,4.85,0.0254,0.194444,85.008129
US_IL_17035,2020-01-14,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,26.55,28.16,3.255556,-0.783333,8.527778,0.0,1.588889,89.150174
US_IL_17035,2020-01-15,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,21.17,32.15,5.438889,0.983333,10.911111,0.072571,4.355556,93.210717
US_IL_17035,2020-01-16,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,12.43,33.15,-0.061111,-4.827778,8.477778,0.0,-3.972222,75.747448
US_IL_17035,2020-01-17,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,19.75,18.96,-3.266667,-5.477778,0.438889,0.0,-8.0,70.65642
US_IL_17035,2020-01-18,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,20.74,44.59,2.866667,-2.288889,8.855556,18.44675,0.105556,82.714115
US_IL_17035,2020-01-19,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,,37.88,-8.722222,-12.172222,-1.922222,5.55625,-14.1,66.302595
US_IL_17035,2020-01-20,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,21.25,41.49,-8.455556,-10.777778,-4.066667,0.0,-12.333333,74.618758
US_IL_17035,2020-01-21,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,21.65,39.14,-4.305556,-8.327778,-0.1,0.0,-7.744444,77.710265
US_IL_17035,2020-01-22,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,15.44,23.57,-3.044444,-5.755556,1.466667,0.0,-7.238889,73.800784
US_IL_17035,2020-01-23,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,24.69,38.22,1.322222,-0.933333,4.677778,0.254,-3.794444,69.737598
US_IL_17035,2020-01-24,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,26.82,36.79,3.011111,1.572222,4.25,3.20675,1.822222,92.331294
US_IL_17035,2020-01-25,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,30.69,34.78,1.016667,0.344444,2.472222,0.653143,-0.722222,88.89552
US_IL_17035,2020-01-26,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,33.58,24.25,0.622222,-3.122222,5.255556,0.0254,-2.933333,78.04957
US_IL_17035,2020-01-27,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,25.68,33.71,-0.905556,-2.583333,1.833333,0.0,-2.588889,88.921821
US_IL_17035,2020-01-28,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,36.65,35.85,-0.716667,-1.527778,0.177778,0.0,-2.833333,86.296015
US_IL_17035,2020-01-29,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,35.19,28.8,0.183333,-0.888889,2.055556,0.0635,-2.35,84.095702
US_IL_17035,2020-01-30,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,38.28,30.3,0.827778,-1.25,3.861111,0.1905,-2.233333,80.634113
US_IL_17035,2020-01-31,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,32.85,25.81,2.277778,0.238889,5.072222,0.326571,-0.222222,84.35565
US_IL_17035,2020-02-01,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,32.97,30.91,3.494444,1.8,5.288889,0.141111,0.883333,83.943683
