location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NY_36107,2020-01-01,ChIJBzj53KOE2okRjzPEnB155Zc,Q56154,geoId/36107,US,United States of America,NY,New York,36107,Tioga County,US,USA,2,,,,,,,48609,24092,24517,5200,6108,5142,5384,5632,7902,6538,4146,2557,1838024,42.17,-76.3,1354,80.55,,,,,5.59,8.87,5.59,9.84,9.26,6.75,,5.01,3.28,3.09,,17.17,,11.57,3.47,4.63,7.72,5.21,3.09,4.82,8.1,4.82,4.05,8.49,3.09,6.17,24.88,6.94,4.24,7.33,3.28,4.63,7.52,7.33,39.74,4.05,7.72,5.59,2.7,3.09,2.89,3.47,-0.288889,-1.755556,4.661111,0.6858,,-5.487654,67.701151
US_NY_36107,2020-01-02,ChIJBzj53KOE2okRjzPEnB155Zc,Q56154,geoId/36107,US,United States of America,NY,New York,36107,Tioga County,US,USA,2,,,,,,,48609,24092,24517,5200,6108,5142,5384,5632,7902,6538,4146,2557,1838024,42.17,-76.3,1354,80.55,,,,,3.84,8.25,4.99,9.79,4.61,5.18,,5.37,3.26,3.07,3.07,15.54,2.69,8.25,4.41,4.22,12.28,4.99,3.45,6.52,4.61,4.8,,5.76,3.07,6.52,28.97,6.52,,7.1,,4.41,6.91,7.48,40.48,5.76,8.63,,6.33,2.69,4.61,4.8,0.9,-5.227778,8.338889,0.0762,,-5.444444,61.935549
US_NY_36107,2020-01-03,ChIJBzj53KOE2okRjzPEnB155Zc,Q56154,geoId/36107,US,United States of America,NY,New York,36107,Tioga County,US,USA,2,,,,,,,48609,24092,24517,5200,6108,5142,5384,5632,7902,6538,4146,2557,1838024,42.17,-76.3,1354,80.55,,,,,4.81,7.59,5.18,9.62,8.88,5.92,3.15,5.55,3.52,3.33,3.33,17.21,2.96,8.14,3.52,6.29,11.1,4.07,3.33,6.48,6.29,6.11,4.07,4.81,4.63,5.37,29.05,5.74,2.59,7.03,,3.52,4.81,7.59,42.19,,5.55,5.55,5.0,3.52,,4.44,5.7,-0.438889,8.25,0.1016,,1.123457,71.873338
US_NY_36107,2020-01-04,ChIJBzj53KOE2okRjzPEnB155Zc,Q56154,geoId/36107,US,United States of America,NY,New York,36107,Tioga County,US,USA,2,,,,,,,48609,24092,24517,5200,6108,5142,5384,5632,7902,6538,4146,2557,1838024,42.17,-76.3,1354,80.55,,,,,6.3,6.49,4.13,9.64,7.48,6.69,2.75,4.33,4.53,2.95,2.95,14.37,3.74,8.66,2.75,5.71,9.05,6.1,5.12,3.94,6.49,4.33,4.13,3.15,3.74,5.31,25.38,6.1,4.53,7.67,3.54,5.12,3.35,6.1,44.87,6.3,7.87,5.71,6.3,3.94,2.95,4.92,4.033333,0.855556,7.988889,4.0386,,2.765432,90.890953
US_NY_36107,2020-01-05,ChIJBzj53KOE2okRjzPEnB155Zc,Q56154,geoId/36107,US,United States of America,NY,New York,36107,Tioga County,US,USA,2,,,,,,,48609,24092,24517,5200,6108,5142,5384,5632,7902,6538,4146,2557,1838024,42.17,-76.3,1354,80.55,,,,,4.06,9.47,4.25,11.21,7.35,5.41,,5.41,4.25,7.93,,13.72,5.03,9.47,4.83,4.83,10.82,5.22,,3.87,5.22,5.03,4.45,4.45,3.48,5.03,27.06,6.77,,6.19,2.9,3.29,3.48,5.8,40.01,4.06,6.77,6.19,4.06,4.83,2.71,3.09,-0.033333,-1.194444,5.611111,4.9022,30.48,-4.462963,71.794925
US_NY_36107,2020-01-06,ChIJBzj53KOE2okRjzPEnB155Zc,Q56154,geoId/36107,US,United States of America,NY,New York,36107,Tioga County,US,USA,2,,,,,,,48609,24092,24517,5200,6108,5142,5384,5632,7902,6538,4146,2557,1838024,42.17,-76.3,1354,80.55,,,,,5.35,6.83,,6.65,6.83,3.69,3.14,4.06,3.32,3.69,2.95,13.66,4.06,7.2,,4.99,10.52,6.83,,7.75,4.8,4.62,4.62,4.62,2.95,7.94,24.19,6.09,,5.17,,2.58,4.43,6.46,37.11,5.35,6.28,7.02,3.69,3.88,2.58,4.8,0.577778,-2.116667,3.922222,1.1684,40.64,-4.030864,70.609407
US_NY_36107,2020-01-07,ChIJBzj53KOE2okRjzPEnB155Zc,Q56154,geoId/36107,US,United States of America,NY,New York,36107,Tioga County,US,USA,2,,,,,,,48609,24092,24517,5200,6108,5142,5384,5632,7902,6538,4146,2557,1838024,42.17,-76.3,1354,80.55,,,,,,8.35,4.93,11.38,12.33,7.59,4.93,7.59,,,3.23,16.51,3.04,9.68,,6.64,8.54,3.42,,5.88,4.93,4.36,2.85,2.85,4.36,4.74,29.22,7.02,3.6,5.5,2.85,6.64,3.98,3.79,40.79,4.17,6.45,5.5,4.93,6.26,3.23,3.6,-0.166667,-4.588889,3.972222,1.3462,37.253333,-5.660494,65.143008
US_NY_36107,2020-01-08,ChIJBzj53KOE2okRjzPEnB155Zc,Q56154,geoId/36107,US,United States of America,NY,New York,36107,Tioga County,US,USA,2,,,,,,,48609,24092,24517,5200,6108,5142,5384,5632,7902,6538,4146,2557,1838024,42.17,-76.3,1354,80.55,,,,,5.2,5.57,6.87,9.1,7.24,6.87,5.57,4.09,3.34,3.71,,14.86,4.46,6.5,,6.5,7.8,3.16,,3.71,3.9,5.94,4.83,4.09,2.79,6.13,24.52,7.24,3.9,6.13,,5.39,4.09,4.64,38.08,5.2,10.03,7.43,5.2,5.39,2.6,2.97,-1.938889,-5.944444,1.494444,1.0668,60.113333,-6.012346,73.174936
US_NY_36107,2020-01-09,ChIJBzj53KOE2okRjzPEnB155Zc,Q56154,geoId/36107,US,United States of America,NY,New York,36107,Tioga County,US,USA,2,,,,,,,48609,24092,24517,5200,6108,5142,5384,5632,7902,6538,4146,2557,1838024,42.17,-76.3,1354,80.55,,,,,3.56,5.25,5.06,9.0,6.56,5.06,3.75,5.06,4.87,3.38,3.94,16.5,,8.25,,5.44,8.62,3.75,3.38,6.19,4.87,3.56,,4.5,,6.94,25.87,6.75,3.56,5.25,,5.44,,6.56,36.75,4.87,8.25,5.06,3.38,3.94,2.81,4.31,-6.811111,-11.511111,-0.005556,0.8128,76.2,-13.117284,60.066178
US_NY_36107,2020-01-10,ChIJBzj53KOE2okRjzPEnB155Zc,Q56154,geoId/36107,US,United States of America,NY,New York,36107,Tioga County,US,USA,2,,,,,,,48609,24092,24517,5200,6108,5142,5384,5632,7902,6538,4146,2557,1838024,42.17,-76.3,1354,80.55,,,,,5.97,4.67,4.48,11.57,10.82,5.41,4.11,5.23,4.48,3.73,,15.12,3.17,8.4,3.36,4.11,8.59,2.8,4.11,6.91,5.41,5.04,3.36,5.97,3.55,8.03,18.66,7.65,,7.46,4.11,,5.41,3.17,35.46,2.99,5.79,4.11,5.04,3.36,,2.61,1.044444,-7.744444,6.083333,0.3048,44.026667,-5.018519,63.157479
