location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_transit_stations,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48267,2020-01-01,ChIJs_K20LsJWYYR0kT2lX9D47o,Q26526,geoId/48267,US,United States of America,TX,Texas,48267,Kimble County,US,USA,2,,,,,,,4385,2157,2228,417,475,389,429,444,587,759,594,291,1827085,30.49,-99.75,3240,81.7,,,9.822222,7.533333,12.605556,0.0,,-0.05,50.344306
US_TX_48267,2020-01-02,ChIJs_K20LsJWYYR0kT2lX9D47o,Q26526,geoId/48267,US,United States of America,TX,Texas,48267,Kimble County,US,USA,2,,,,,,,4385,2157,2228,417,475,389,429,444,587,759,594,291,1827085,30.49,-99.75,3240,81.7,,,11.922222,8.077778,19.022222,0.0,,7.1,73.087353
US_TX_48267,2020-01-03,ChIJs_K20LsJWYYR0kT2lX9D47o,Q26526,geoId/48267,US,United States of America,TX,Texas,48267,Kimble County,US,USA,2,,,,,,,4385,2157,2228,417,475,389,429,444,587,759,594,291,1827085,30.49,-99.75,3240,81.7,,,10.622222,5.127778,16.772222,0.0,,2.566667,57.676116
US_TX_48267,2020-01-04,ChIJs_K20LsJWYYR0kT2lX9D47o,Q26526,geoId/48267,US,United States of America,TX,Texas,48267,Kimble County,US,USA,2,,,,,,,4385,2157,2228,417,475,389,429,444,587,759,594,291,1827085,30.49,-99.75,3240,81.7,,,8.016667,-1.55,20.805556,0.0,,-2.316667,48.160378
US_TX_48267,2020-01-05,ChIJs_K20LsJWYYR0kT2lX9D47o,Q26526,geoId/48267,US,United States of America,TX,Texas,48267,Kimble County,US,USA,2,,,,,,,4385,2157,2228,417,475,389,429,444,587,759,594,291,1827085,30.49,-99.75,3240,81.7,,,11.211111,0.761111,23.577778,0.0,,-2.616667,38.332842
US_TX_48267,2020-01-06,ChIJs_K20LsJWYYR0kT2lX9D47o,Q26526,geoId/48267,US,United States of America,TX,Texas,48267,Kimble County,US,USA,2,,,,,,,4385,2157,2228,417,475,389,429,444,587,759,594,291,1827085,30.49,-99.75,3240,81.7,,,10.261111,0.338889,23.883333,0.0,,-1.011111,45.753747
US_TX_48267,2020-01-07,ChIJs_K20LsJWYYR0kT2lX9D47o,Q26526,geoId/48267,US,United States of America,TX,Texas,48267,Kimble County,US,USA,2,,,,,,,4385,2157,2228,417,475,389,429,444,587,759,594,291,1827085,30.49,-99.75,3240,81.7,,,9.361111,-2.783333,19.45,0.0,,-6.011111,33.710606
US_TX_48267,2020-01-08,ChIJs_K20LsJWYYR0kT2lX9D47o,Q26526,geoId/48267,US,United States of America,TX,Texas,48267,Kimble County,US,USA,2,,,,,,,4385,2157,2228,417,475,389,429,444,587,759,594,291,1827085,30.49,-99.75,3240,81.7,,,7.716667,-1.2,18.816667,0.0,,-4.594444,41.688952
US_TX_48267,2020-01-09,ChIJs_K20LsJWYYR0kT2lX9D47o,Q26526,geoId/48267,US,United States of America,TX,Texas,48267,Kimble County,US,USA,2,,,,,,,4385,2157,2228,417,475,389,429,444,587,759,594,291,1827085,30.49,-99.75,3240,81.7,,,17.472222,14.433333,22.383333,0.0,,11.7,69.093495
US_TX_48267,2020-01-10,ChIJs_K20LsJWYYR0kT2lX9D47o,Q26526,geoId/48267,US,United States of America,TX,Texas,48267,Kimble County,US,USA,2,,,,,,,4385,2157,2228,417,475,389,429,444,587,759,594,291,1827085,30.49,-99.75,3240,81.7,,,18.9,13.727778,24.777778,0.0,,13.911111,72.978193
