location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48055,2020-01-01,ChIJ-zyRzgNRQ4YRh6l-eDM-Wkw,Q26591,geoId/48055,US,United States of America,TX,Texas,48055,Caldwell County,US,USA,2,,,,,,,42328,21278,21050,5248,6290,6284,5479,5186,5382,4579,2488,1392,92017,29.84,-97.61,1418,77.9,,,,,,,5.96,8.69,7.94,15.39,6.95,7.45,4.22,4.72,19.36,4.47,15.39,6.21,4.96,6.95,4.22,3.48,,3.72,4.72,3.97,6.95,18.37,5.96,8.19,,5.46,,44.69,,4.47,3.97,5.21,,11.55,8.944444,13.944444,0.0,,1.161111,49.049792
US_TX_48055,2020-01-02,ChIJ-zyRzgNRQ4YRh6l-eDM-Wkw,Q26591,geoId/48055,US,United States of America,TX,Texas,48055,Caldwell County,US,USA,2,,,,,,,42328,21278,21050,5248,6290,6284,5479,5186,5382,4579,2488,1392,92017,29.84,-97.61,1418,77.9,,,,,,,5.92,8.05,4.5,16.09,6.86,4.5,5.68,4.5,20.12,,14.44,,4.26,9.7,5.68,8.76,,5.44,4.73,6.15,9.23,25.8,6.63,5.68,,4.26,4.73,41.89,4.26,5.44,,5.92,4.02,12.288889,10.177778,15.727778,0.1778,,10.066667,86.388185
US_TX_48055,2020-01-03,ChIJ-zyRzgNRQ4YRh6l-eDM-Wkw,Q26591,geoId/48055,US,United States of America,TX,Texas,48055,Caldwell County,US,USA,2,,,,,,,42328,21278,21050,5248,6290,6284,5479,5186,5382,4579,2488,1392,92017,29.84,-97.61,1418,77.9,,,,,,,4.36,11.62,5.33,18.64,4.84,4.36,,4.6,22.03,,16.22,4.84,,7.5,5.33,3.39,6.54,5.33,6.05,3.39,6.78,27.84,6.05,8.23,3.87,,5.57,38.97,4.36,5.33,8.47,4.12,5.57,11.872222,6.527778,18.155556,0.3556,,7.461111,74.720221
US_TX_48055,2020-01-04,ChIJ-zyRzgNRQ4YRh6l-eDM-Wkw,Q26591,geoId/48055,US,United States of America,TX,Texas,48055,Caldwell County,US,USA,2,,,,,,,42328,21278,21050,5248,6290,6284,5479,5186,5382,4579,2488,1392,92017,29.84,-97.61,1418,77.9,,,,,,,7.81,8.57,5.8,22.18,5.29,4.54,4.03,3.78,19.91,4.54,11.09,,4.28,7.81,4.28,4.28,7.56,5.29,,,4.28,21.67,4.28,6.55,,,3.78,38.05,7.31,6.05,8.82,4.79,,11.866667,2.516667,21.788889,0.0254,,0.055556,44.385564
US_TX_48055,2020-01-05,ChIJ-zyRzgNRQ4YRh6l-eDM-Wkw,Q26591,geoId/48055,US,United States of America,TX,Texas,48055,Caldwell County,US,USA,2,,,,,,,42328,21278,21050,5248,6290,6284,5479,5186,5382,4579,2488,1392,92017,29.84,-97.61,1418,77.9,,,,,,,6.21,7.88,5.49,23.64,6.92,5.01,4.06,4.06,19.58,,10.51,,5.73,8.36,5.73,4.06,7.88,,6.21,,5.97,21.96,6.21,8.36,3.58,3.82,4.78,38.2,4.54,7.88,4.78,5.97,5.49,13.677778,5.344444,23.872222,0.0,,1.072222,42.479764
US_TX_48055,2020-01-06,ChIJ-zyRzgNRQ4YRh6l-eDM-Wkw,Q26591,geoId/48055,US,United States of America,TX,Texas,48055,Caldwell County,US,USA,2,,,,,,,42328,21278,21050,5248,6290,6284,5479,5186,5382,4579,2488,1392,92017,29.84,-97.61,1418,77.9,,,,,,,5.91,6.85,,22.92,6.38,4.49,4.49,4.25,18.2,3.78,9.69,3.31,5.43,12.05,4.49,3.78,10.16,,,3.54,6.62,23.16,5.43,5.43,5.2,4.02,4.25,38.99,4.96,5.2,4.73,7.56,6.85,14.205556,4.794444,23.827778,0.0,,6.066667,58.326671
US_TX_48055,2020-01-07,ChIJ-zyRzgNRQ4YRh6l-eDM-Wkw,Q26591,geoId/48055,US,United States of America,TX,Texas,48055,Caldwell County,US,USA,2,,,,,,,42328,21278,21050,5248,6290,6284,5479,5186,5382,4579,2488,1392,92017,29.84,-97.61,1418,77.9,,,,,,,4.07,7.36,,20.93,7.36,3.88,6.39,3.68,11.82,,10.08,,3.49,7.75,,3.1,7.56,,3.49,3.1,7.17,25.77,6.59,7.17,3.68,4.84,3.49,30.61,3.29,6.2,4.07,4.07,4.26,13.566667,4.316667,20.355556,0.0,,-1.3,36.155398
US_TX_48055,2020-01-08,ChIJ-zyRzgNRQ4YRh6l-eDM-Wkw,Q26591,geoId/48055,US,United States of America,TX,Texas,48055,Caldwell County,US,USA,2,,,,,,,42328,21278,21050,5248,6290,6284,5479,5186,5382,4579,2488,1392,92017,29.84,-97.61,1418,77.9,,,,,,,4.24,6.64,2.95,18.99,7.01,3.5,3.32,4.61,12.91,,7.56,,5.53,8.48,3.5,2.77,4.98,2.77,5.9,,6.64,28.58,6.45,6.82,5.35,3.13,4.79,33.19,5.9,17.15,4.79,2.95,3.87,9.322222,-0.205556,21.383333,0.0,,-1.027778,49.044947
US_TX_48055,2020-01-09,ChIJ-zyRzgNRQ4YRh6l-eDM-Wkw,Q26591,geoId/48055,US,United States of America,TX,Texas,48055,Caldwell County,US,USA,2,,,,,,,42328,21278,21050,5248,6290,6284,5479,5186,5382,4579,2488,1392,92017,29.84,-97.61,1418,77.9,,,,,,,4.23,5.15,4.23,14.72,7.18,5.71,6.26,4.23,12.7,2.94,9.39,3.68,4.79,9.2,,4.6,7.55,2.58,6.07,3.5,5.15,27.24,6.81,4.23,,,5.34,36.07,4.6,9.39,4.42,5.52,3.87,19.077778,16.366667,25.144444,0.0,,14.666667,75.677968
US_TX_48055,2020-01-10,ChIJ-zyRzgNRQ4YRh6l-eDM-Wkw,Q26591,geoId/48055,US,United States of America,TX,Texas,48055,Caldwell County,US,USA,2,,,,,,,42328,21278,21050,5248,6290,6284,5479,5186,5382,4579,2488,1392,92017,29.84,-97.61,1418,77.9,,,,,,,4.43,7.66,3.75,11.23,9.87,3.75,4.77,3.06,9.87,3.4,9.19,,4.09,7.66,3.23,4.26,4.94,3.75,3.06,,4.43,24.0,3.4,3.75,3.75,2.72,3.92,29.45,3.92,7.83,3.92,4.43,3.4,21.611111,19.833333,24.544444,0.1016,,17.977778,79.945681
