location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48015,2020-01-01,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,,10.41,10.01,,,27.62,12.81,12.01,6.4,,6.0,7.2,26.41,6.0,6.8,,38.02,,,11.788889,9.188889,14.883333,0.03175,3.355556,56.44281
US_TX_48015,2020-01-02,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,5.12,6.96,8.42,5.86,6.96,,17.2,11.71,8.05,7.32,5.12,8.05,10.98,22.33,9.15,7.32,6.22,43.93,6.96,8.05,14.305556,12.233333,16.383333,2.596444,13.127778,92.704006
US_TX_48015,2020-01-03,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,5.61,8.97,11.58,12.33,7.47,5.98,17.19,13.82,8.97,,8.22,8.59,7.47,22.79,5.23,7.47,5.61,44.84,8.59,,13.522222,9.138889,18.411111,3.160889,10.827778,83.846021
US_TX_48015,2020-01-04,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,11.05,12.68,,,10.64,15.96,15.14,9.0,,,,,25.37,9.82,8.59,6.55,36.41,6.14,7.37,11.727778,3.066667,20.933333,0.0508,2.738889,54.314336
US_TX_48015,2020-01-05,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,5.96,12.71,14.7,8.74,,5.56,22.65,12.71,9.14,8.34,7.95,6.36,9.54,26.62,9.14,,,44.5,,,12.877778,5.038889,23.355556,0.0,4.238889,56.160585
US_TX_48015,2020-01-06,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,4.98,8.54,16.73,9.26,4.98,7.48,20.29,12.11,,5.34,8.54,,10.68,22.79,7.48,7.48,7.83,47.35,,5.34,14.738889,6.316667,23.772222,0.0,8.955556,68.491341
US_TX_48015,2020-01-07,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,4.93,10.2,19.0,8.09,10.91,5.28,18.3,7.39,7.74,5.63,,,9.5,25.69,9.5,4.93,7.04,32.72,,4.93,13.616667,5.311111,19.316667,0.0,2.4,46.84516
US_TX_48015,2020-01-08,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,8.83,15.96,8.15,,6.11,12.57,12.91,12.23,5.77,,5.09,5.77,31.93,9.17,7.13,,43.81,15.28,,9.305556,0.372222,21.261111,0.0,2.077778,61.006307
US_TX_48015,2020-01-09,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,6.53,5.6,12.75,5.91,,9.64,10.88,7.77,7.77,,,,9.64,26.43,9.33,,7.77,42.28,10.88,6.22,18.561111,14.327778,24.188889,0.0,15.227778,81.036163
US_TX_48015,2020-01-10,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,7.92,5.78,10.65,10.65,,7.0,10.04,5.17,6.39,,5.48,6.39,7.31,22.22,4.26,5.78,7.61,36.53,9.74,5.48,21.905556,20.744444,23.583333,0.3175,19.366667,85.611909
US_TX_48015,2020-01-11,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,8.81,10.41,,6.01,9.61,14.81,7.21,12.81,,6.41,5.61,7.21,24.82,7.61,,,38.04,8.41,,14.161111,8.105556,23.077778,14.111111,10.244444,77.374721
US_TX_48015,2020-01-12,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,9.72,12.44,5.44,8.94,10.5,14.38,9.72,8.55,7.78,,6.22,8.94,23.33,6.22,6.22,6.61,48.98,7.39,,6.922222,0.716667,16.3,2.8448,3.555556,79.25079
US_TX_48015,2020-01-13,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,,12.44,5.91,5.6,4.98,13.99,6.84,8.71,6.84,,,10.26,27.37,6.22,8.71,,41.36,,7.15,12.616667,9.55,17.183333,0.22225,11.044444,90.249146
US_TX_48015,2020-01-14,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,8.74,7.18,6.87,5.0,6.87,9.68,6.25,6.56,,,,8.43,23.11,5.0,6.25,8.12,31.23,7.5,,18.377778,15.344444,23.727778,2.229556,17.975309,95.851189
US_TX_48015,2020-01-15,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,8.15,8.46,10.66,,9.09,14.74,8.15,10.35,,,,8.78,24.77,7.21,7.21,6.58,33.23,9.09,,21.938889,19.772222,26.488889,1.5494,20.016667,88.907275
US_TX_48015,2020-01-16,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,5.86,6.17,9.25,6.79,5.55,6.48,13.26,8.02,6.79,4.93,,5.86,8.33,24.06,10.18,7.09,4.32,37.01,5.86,4.63,20.488889,18.216667,23.716667,0.0508,19.17284,91.359965
US_TX_48015,2020-01-17,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,4.97,8.7,11.49,7.14,5.9,12.74,5.9,7.14,,,,,18.02,7.77,9.63,4.97,36.66,6.83,4.97,18.488889,15.777778,22.888889,2.652889,17.018519,90.686877
US_TX_48015,2020-01-18,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,5.93,7.52,12.27,8.7,6.33,,10.29,8.31,7.91,5.54,7.12,7.12,11.47,22.16,6.73,10.29,,37.59,5.93,,19.405556,17.144444,22.105556,1.241778,17.277778,87.752368
US_TX_48015,2020-01-19,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,7.48,9.85,,,,15.76,6.7,11.82,5.51,,7.88,6.7,21.66,,10.63,,33.09,7.48,,11.066667,4.705556,17.155556,5.1054,0.466667,48.195331
US_TX_48015,2020-01-20,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,10.51,7.51,11.26,6.76,9.01,5.63,13.89,9.01,9.39,,5.26,,6.38,25.91,,7.51,,44.3,8.63,6.38,8.605556,2.411111,16.072222,0.0,-1.755556,48.363119
US_TX_48015,2020-01-21,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,5.87,12.07,8.81,,9.46,,10.44,6.2,8.16,5.55,,9.46,8.16,24.8,9.79,12.07,5.87,41.76,7.18,7.18,8.95,2.377778,16.594444,0.0,0.611111,56.093296
US_TX_48015,2020-01-22,ChIJUSh5paNEQYYR2cVjWHsuiVs,Q108386,geoId/48015,US,United States of America,TX,Texas,48015,Austin County,US,USA,2,,,,,,,29722,14719,15003,3877,4033,3347,3218,3432,4081,4018,2511,1205,1837755,29.88,-96.28,1700,78.866667,,,,,,6.68,12.15,5.77,,8.81,13.97,6.38,11.24,,,6.68,12.15,24.3,8.2,,5.47,38.57,6.07,,10.533333,7.75,14.444444,2.229556,6.572222,76.556624
