location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_OH_39065,2020-01-01,ChIJR2bcShJJOYgRmHK1GN1OfB4,Q490184,geoId/39065,US,United States of America,OH,Ohio,39065,Hardin County,US,USA,2,,,,,,,31329,15576,15753,3888,4729,5070,3310,3564,3932,3491,2159,1186,911267,40.66,-83.66,1219,77.6,,,,,,5.25,5.87,5.25,5.87,,6.79,4.32,17.6,9.88,,8.96,4.32,,6.18,,,5.56,24.09,4.63,5.87,,,6.79,35.82,6.49,,5.25,6.18,,0.661111,-1.605556,5.466667,0.2286,-3.133333,76.041847
US_OH_39065,2020-01-02,ChIJR2bcShJJOYgRmHK1GN1OfB4,Q490184,geoId/39065,US,United States of America,OH,Ohio,39065,Hardin County,US,USA,2,,,,,,,31329,15576,15753,3888,4729,5070,3310,3564,3932,3491,2159,1186,911267,40.66,-83.66,1219,77.6,,,,,,11.38,,10.77,7.69,4.31,4.31,,20.31,7.08,,8.0,5.23,,,4.31,6.15,4.62,28.31,,5.54,,5.54,5.85,36.31,,7.38,4.92,4.62,,4.216667,-0.1,9.35,0.0,-1.522222,66.46841
US_OH_39065,2020-01-03,ChIJR2bcShJJOYgRmHK1GN1OfB4,Q490184,geoId/39065,US,United States of America,OH,Ohio,39065,Hardin County,US,USA,2,,,,,,,31329,15576,15753,3888,4729,5070,3310,3564,3932,3491,2159,1186,911267,40.66,-83.66,1219,77.6,,,,,6.23,8.9,,5.63,6.82,4.75,4.45,,15.42,10.68,,8.6,5.04,,,,,,20.17,5.63,6.23,,5.34,5.04,29.95,,6.23,5.63,,,7.566667,4.383333,9.061111,5.68325,6.746914,94.206248
US_OH_39065,2020-01-04,ChIJR2bcShJJOYgRmHK1GN1OfB4,Q490184,geoId/39065,US,United States of America,OH,Ohio,39065,Hardin County,US,USA,2,,,,,,,31329,15576,15753,3888,4729,5070,3310,3564,3932,3491,2159,1186,911267,40.66,-83.66,1219,77.6,,,,,8.94,7.71,,8.33,9.87,,5.24,,15.11,9.87,,13.26,,5.24,8.02,,9.87,4.93,20.35,7.09,7.71,,4.93,5.24,38.24,,6.79,,,,3.288889,-0.027778,7.738889,3.556,2.098765,91.163261
US_OH_39065,2020-01-05,ChIJR2bcShJJOYgRmHK1GN1OfB4,Q490184,geoId/39065,US,United States of America,OH,Ohio,39065,Hardin County,US,USA,2,,,,,,,31329,15576,15753,3888,4729,5070,3310,3564,3932,3491,2159,1186,911267,40.66,-83.66,1219,77.6,,,,,6.1,9.15,,8.24,,7.02,,5.8,17.69,10.07,,8.24,,,6.1,,4.88,5.49,25.93,6.41,7.32,,,7.32,35.38,,5.49,5.8,7.63,5.8,0.344444,-1.516667,4.916667,0.112889,-3.320988,76.000525
US_OH_39065,2020-01-06,ChIJR2bcShJJOYgRmHK1GN1OfB4,Q490184,geoId/39065,US,United States of America,OH,Ohio,39065,Hardin County,US,USA,2,,,,,,,31329,15576,15753,3888,4729,5070,3310,3564,3932,3491,2159,1186,911267,40.66,-83.66,1219,77.6,,,,,5.83,9.16,,8.6,3.88,4.72,6.11,,14.15,9.44,,4.44,5.27,5.83,,4.16,4.72,5.27,23.03,4.44,6.94,4.16,4.44,4.44,32.74,5.55,4.16,4.72,4.44,5.27,2.433333,-1.477778,5.166667,0.0,-2.227778,71.706409
US_OH_39065,2020-01-07,ChIJR2bcShJJOYgRmHK1GN1OfB4,Q490184,geoId/39065,US,United States of America,OH,Ohio,39065,Hardin County,US,USA,2,,,,,,,31329,15576,15753,3888,4729,5070,3310,3564,3932,3491,2159,1186,911267,40.66,-83.66,1219,77.6,,,,,3.82,7.63,4.36,9.54,6.54,4.91,,3.82,13.09,7.36,4.91,7.09,,4.09,,5.18,4.91,6.27,21.26,6.0,6.54,4.36,,,37.07,3.82,7.36,6.0,5.45,6.0,0.761111,-3.683333,6.3,0.0,-4.655556,67.335035
US_OH_39065,2020-01-08,ChIJR2bcShJJOYgRmHK1GN1OfB4,Q490184,geoId/39065,US,United States of America,OH,Ohio,39065,Hardin County,US,USA,2,,,,,,,31329,15576,15753,3888,4729,5070,3310,3564,3932,3491,2159,1186,911267,40.66,-83.66,1219,77.6,,,,,,5.68,,9.46,6.49,4.32,5.95,,12.43,8.38,,8.11,4.59,5.68,,5.41,,7.3,23.78,4.87,7.03,4.59,4.59,4.59,31.62,,6.49,,3.78,5.13,-0.905556,-5.211111,4.311111,0.0,-6.894444,64.037415
US_OH_39065,2020-01-09,ChIJR2bcShJJOYgRmHK1GN1OfB4,Q490184,geoId/39065,US,United States of America,OH,Ohio,39065,Hardin County,US,USA,2,,,,,,,31329,15576,15753,3888,4729,5070,3310,3564,3932,3491,2159,1186,911267,40.66,-83.66,1219,77.6,,,,,5.01,7.11,,6.59,4.74,,4.74,,10.54,6.06,,6.06,6.59,,3.95,5.27,3.69,7.64,25.29,5.53,3.95,3.69,4.74,3.69,27.67,,8.17,6.32,,,-1.288889,-7.05,8.9,0.2032,-7.75,61.710699
US_OH_39065,2020-01-10,ChIJR2bcShJJOYgRmHK1GN1OfB4,Q490184,geoId/39065,US,United States of America,OH,Ohio,39065,Hardin County,US,USA,2,,,,,,,31329,15576,15753,3888,4729,5070,3310,3564,3932,3491,2159,1186,911267,40.66,-83.66,1219,77.6,,,,,,7.93,,5.63,9.21,,5.12,4.86,12.28,6.14,4.35,5.37,6.39,5.37,,,4.6,5.63,16.62,5.63,6.91,4.6,4.6,4.6,27.37,3.84,,,,3.84,8.833333,6.166667,11.461111,6.69925,4.255556,73.488254
