location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_ND_38025,2020-01-01,ChIJj9mZtMhlJlMRq8QOp_oub_Y,Q28503,geoId/38025,US,United States of America,ND,North Dakota,38025,Dunn County,US,USA,2,,,,,,,4274,2283,1991,607,461,557,570,450,649,563,225,192,1271255,47.36,-102.62,5393,84.8,,,,,,0.716667,-3.55,3.194444,0.34925,-2.475309,80.420195
US_ND_38025,2020-01-02,ChIJj9mZtMhlJlMRq8QOp_oub_Y,Q28503,geoId/38025,US,United States of America,ND,North Dakota,38025,Dunn County,US,USA,2,,,,,,,4274,2283,1991,607,461,557,570,450,649,563,225,192,1271255,47.36,-102.62,5393,84.8,,,,,,-0.427778,-2.522222,1.55,2.370667,-2.04321,89.308266
US_ND_38025,2020-01-03,ChIJj9mZtMhlJlMRq8QOp_oub_Y,Q28503,geoId/38025,US,United States of America,ND,North Dakota,38025,Dunn County,US,USA,2,,,,,,,4274,2283,1991,607,461,557,570,450,649,563,225,192,1271255,47.36,-102.62,5393,84.8,,,,,,-4.194444,-10.45,0.322222,1.197429,-6.592593,84.052602
US_ND_38025,2020-01-04,ChIJj9mZtMhlJlMRq8QOp_oub_Y,Q28503,geoId/38025,US,United States of America,ND,North Dakota,38025,Dunn County,US,USA,2,,,,,,,4274,2283,1991,607,461,557,570,450,649,563,225,192,1271255,47.36,-102.62,5393,84.8,,,,,,-4.938889,-14.133333,4.2,0.0508,-7.691358,83.2158
US_ND_38025,2020-01-05,ChIJj9mZtMhlJlMRq8QOp_oub_Y,Q28503,geoId/38025,US,United States of America,ND,North Dakota,38025,Dunn County,US,USA,2,,,,,,,4274,2283,1991,607,461,557,570,450,649,563,225,192,1271255,47.36,-102.62,5393,84.8,,,,,79.1,0.45,-3.994444,5.233333,0.1524,-4.185185,71.786448
US_ND_38025,2020-01-06,ChIJj9mZtMhlJlMRq8QOp_oub_Y,Q28503,geoId/38025,US,United States of America,ND,North Dakota,38025,Dunn County,US,USA,2,,,,,,,4274,2283,1991,607,461,557,570,450,649,563,225,192,1271255,47.36,-102.62,5393,84.8,,,,,49.54,-4.85,-9.933333,0.972222,0.028222,-8.697531,75.867003
US_ND_38025,2020-01-07,ChIJj9mZtMhlJlMRq8QOp_oub_Y,Q28503,geoId/38025,US,United States of America,ND,North Dakota,38025,Dunn County,US,USA,2,,,,,,,4274,2283,1991,607,461,557,570,450,649,563,225,192,1271255,47.36,-102.62,5393,84.8,,,,,49.1,-8.661111,-14.188889,-2.977778,0.0,-13.290123,72.215745
US_ND_38025,2020-01-08,ChIJj9mZtMhlJlMRq8QOp_oub_Y,Q28503,geoId/38025,US,United States of America,ND,North Dakota,38025,Dunn County,US,USA,2,,,,,,,4274,2283,1991,607,461,557,570,450,649,563,225,192,1271255,47.36,-102.62,5393,84.8,,,,,,-12.296296,-17.024691,-7.882716,0.0,-16.465278,74.778987
US_ND_38025,2020-01-09,ChIJj9mZtMhlJlMRq8QOp_oub_Y,Q28503,geoId/38025,US,United States of America,ND,North Dakota,38025,Dunn County,US,USA,2,,,,,,,4274,2283,1991,607,461,557,570,450,649,563,225,192,1271255,47.36,-102.62,5393,84.8,,,,,,-9.444444,-13.358025,-4.648148,0.254,-12.430556,80.897576
US_ND_38025,2020-01-10,ChIJj9mZtMhlJlMRq8QOp_oub_Y,Q28503,geoId/38025,US,United States of America,ND,North Dakota,38025,Dunn County,US,USA,2,,,,,,,4274,2283,1991,607,461,557,570,450,649,563,225,192,1271255,47.36,-102.62,5393,84.8,,,,,,-17.872222,-22.083333,-12.833333,0.0,-22.561728,68.674732
