location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55123,2020-01-11,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,,5.82,7.28,6.19,,6.19,22.93,8.37,,9.46,,,6.55,6.92,22.57,,5.09,6.92,36.4,8.73,,-5.777778,-8.266667,-2.722222,0.4572,,-11.290123,65.23968
US_WI_55123,2020-01-12,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,,9.68,10.76,9.68,,6.09,17.57,10.04,5.38,10.04,6.45,,7.89,10.4,28.32,6.45,9.32,6.81,36.92,11.47,,-8.933333,-14.661111,-3.688889,0.0,,-13.024691,71.916793
US_WI_55123,2020-01-13,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,9.23,6.46,7.69,7.08,8.62,6.77,13.23,7.08,8.31,6.77,,8.92,4.62,6.46,33.85,5.85,5.23,,36.62,10.77,,-4.083333,-7.383333,-1.466667,1.3716,30.48,-5.851852,86.97989
US_WI_55123,2020-01-14,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,6.83,5.59,10.56,8.7,4.35,5.9,14.6,5.9,6.52,12.11,4.97,6.21,5.59,,27.02,9.01,4.66,5.28,39.13,8.38,4.35,-0.655556,-3.655556,1.527778,1.7526,50.8,-2.265432,88.606171
US_WI_55123,2020-01-15,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,,5.08,5.98,7.77,4.48,6.28,15.54,8.07,9.27,10.46,5.38,,,4.78,38.26,7.17,6.58,4.48,36.76,5.08,4.48,-6.233333,-11.988889,-1.783333,0.616857,90.17,-7.901235,88.587682
US_WI_55123,2020-01-16,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,4.3,7.98,7.67,7.37,,,15.04,8.29,5.22,8.6,5.22,4.3,,5.83,34.38,6.75,7.98,5.53,29.17,10.13,4.3,-13.433333,-19.5,-3.672222,0.072571,74.93,-18.191358,68.379574
US_WI_55123,2020-01-17,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,4.43,6.33,9.18,,,5.06,14.87,7.91,6.01,5.38,5.38,4.43,,6.01,24.68,6.65,6.96,4.43,24.68,,4.43,-13.788889,-20.294444,-4.455556,0.544286,74.93,-16.765432,77.186061
US_WI_55123,2020-01-18,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,,7.3,8.84,,,,13.83,6.15,,9.22,,,9.22,6.15,25.74,8.07,6.53,6.15,37.65,,5.38,-4.583333,-13.9,-1.244444,3.120571,114.3,-6.228395,88.856647
US_WI_55123,2020-01-19,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,8.62,6.11,9.7,8.98,,5.39,12.94,6.47,,7.91,,7.19,6.47,5.39,23.72,5.75,,,37.73,,,-14.405556,-17.938889,-9.261111,1.016,139.7,-18.234568,73.705463
US_WI_55123,2020-01-20,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,6.43,4.83,9.97,8.69,7.4,4.5,15.44,9.33,7.72,18.34,6.43,,,9.97,27.35,5.47,5.15,14.48,42.79,7.72,9.33,-9.472222,-13.144444,-4.783333,0.141111,149.86,-12.580247,78.584376
