location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_CA_06005,2020-01-01,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,6.99,9.78,7.55,5.87,9.5,6.71,5.87,,23.2,12.58,,8.11,8.38,5.03,6.99,5.87,6.15,,11.46,19.57,6.15,7.83,,,6.99,37.45,,7.55,7.83,,,7.845679,2.41358,14.074074,0.0,3.736111,76.812604
US_CA_06005,2020-01-02,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,4.7,9.69,9.41,11.07,4.98,6.92,7.19,,19.09,11.9,5.81,10.79,,5.53,4.43,8.3,3.87,7.75,8.86,26.01,7.47,5.26,4.98,6.92,6.09,40.68,4.43,4.7,6.09,6.09,4.15,7.419753,2.018519,15.055556,0.0,3.475309,76.646845
US_CA_06005,2020-01-03,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,8.57,7.46,6.08,11.05,7.74,7.18,7.18,4.42,22.11,8.01,5.53,7.18,6.36,,4.42,5.53,,6.63,6.63,24.59,10.78,7.18,,,5.53,43.39,4.97,7.46,4.42,,5.53,8.080247,2.617284,15.62963,0.0,3.759259,74.689663
US_CA_06005,2020-01-04,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,4.55,7.68,6.26,11.1,8.26,9.39,7.68,,18.22,10.25,4.55,9.68,5.69,5.12,5.41,,,4.84,5.69,28.46,10.25,7.68,,5.41,5.98,45.26,,5.98,,,,9.246914,3.574074,14.783951,0.0,4.432099,73.748362
US_CA_06005,2020-01-05,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,,6.51,4.81,13.02,9.9,,,,16.13,13.58,5.94,5.66,5.38,3.96,3.96,3.96,6.79,4.24,5.66,22.64,7.64,5.09,,6.51,6.51,41.03,4.53,7.07,8.21,6.79,4.24,7.123457,3.0,13.635802,0.3175,4.432099,83.771812
US_CA_06005,2020-01-06,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,7.4,5.75,5.21,9.87,6.58,7.95,4.93,,11.51,7.67,4.93,6.85,5.48,,4.11,,4.38,,11.78,26.58,6.03,7.4,,4.66,6.03,37.82,,5.21,6.3,,4.38,5.703704,0.185185,12.555556,0.0,1.030864,72.748739
US_CA_06005,2020-01-07,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,5.95,6.49,7.3,9.2,8.93,7.84,7.3,,15.69,12.17,8.12,6.76,,,4.87,,,,8.93,19.48,5.95,10.28,3.79,,,39.77,,7.03,5.41,5.41,4.33,5.419753,0.549383,13.5,0.0,2.006173,80.158308
US_CA_06005,2020-01-08,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,4.31,,8.09,11.86,5.93,4.04,4.85,5.93,15.63,8.62,4.04,8.89,3.77,4.85,5.93,5.12,5.66,4.31,6.2,30.72,8.62,6.2,,,7.55,31.8,,17.25,6.47,4.58,6.47,6.135802,1.993827,11.308642,0.0,4.148148,87.878727
US_CA_06005,2020-01-09,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,,7.88,9.01,9.01,6.47,6.19,4.5,6.47,14.07,10.13,5.63,8.44,7.32,,,5.63,4.22,4.5,6.75,26.74,10.7,9.01,3.94,,6.19,35.75,,10.7,5.35,4.22,7.04,6.333333,4.148148,9.141975,0.0,4.450617,88.014379
US_CA_06005,2020-01-10,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,5.72,6.63,,9.64,7.53,8.44,5.42,,13.86,10.85,7.23,11.15,,5.72,8.44,6.03,5.42,6.03,9.94,25.31,5.72,7.23,4.22,,,38.87,,10.55,5.42,6.93,6.03,4.240741,-0.320988,11.432099,2.088444,0.845679,79.327557
US_CA_06005,2020-01-11,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,,10.12,,9.83,7.52,,6.07,4.92,15.91,10.12,4.92,10.41,,6.65,5.78,4.05,6.07,4.05,4.34,27.18,4.92,8.1,,7.23,4.92,32.1,5.21,9.54,,5.78,,7.45679,3.234568,11.555556,0.0,4.166667,80.131239
US_CA_06005,2020-01-12,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,5.8,11.6,,11.89,6.09,6.96,,4.06,17.4,8.7,4.93,12.47,4.06,4.35,5.8,6.09,5.8,,7.25,25.81,5.51,10.15,,,6.67,42.05,,11.02,6.67,4.93,8.12,4.858025,0.450617,10.765432,0.056444,1.271605,78.16352
US_CA_06005,2020-01-13,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,4.77,7.15,5.03,7.95,6.36,6.36,5.3,,18.54,12.18,6.36,12.71,4.5,4.24,5.03,4.5,5.56,,6.36,25.42,9.53,7.15,,3.97,3.71,37.87,3.97,7.68,5.83,,4.77,6.376543,1.67284,11.111111,0.0,2.666667,77.702607
US_CA_06005,2020-01-14,ChIJo-0fEllAmoAReviEN7sDX08,Q156177,geoId/06005,US,United States of America,CA,California,06005,Amador County,US,USA,2,,,,,,,38529,20744,17785,3147,3333,3696,4281,4620,5952,6784,4549,2167,396490,38.44,-120.66,1566,79.2,,,,,,7.92,5.66,5.09,11.04,10.47,9.62,8.49,4.53,13.02,6.79,7.36,9.9,4.53,6.51,,5.38,,3.96,9.34,31.69,7.07,6.51,5.66,8.77,7.36,43.58,5.94,8.49,5.94,5.94,6.79,7.271605,3.666667,10.777778,0.326571,3.740741,78.748251
