location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,cumulative_confirmed,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,mobility_parks,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PR_72109,2020-01-01,ChIJAdx1ZiVTA4wRLioM2l-zy-w,Q2485638,geoId/72109,US,United States of America,PR,Puerto Rico,72109,Patillas Municipio,US,USA,2,,,,,19277,4467952,18.006389,-66.015833,39,59,,,26.351852,23.691358,29.12963,3.7465,23.488889,84.267147
US_PR_72109,2020-01-02,ChIJAdx1ZiVTA4wRLioM2l-zy-w,Q2485638,geoId/72109,US,United States of America,PR,Puerto Rico,72109,Patillas Municipio,US,USA,2,,,,,19277,4467952,18.006389,-66.015833,39,59,,,26.345679,24.32716,28.888889,0.677333,22.8,81.265592
US_PR_72109,2020-01-03,ChIJAdx1ZiVTA4wRLioM2l-zy-w,Q2485638,geoId/72109,US,United States of America,PR,Puerto Rico,72109,Patillas Municipio,US,USA,2,,,,,19277,4467952,18.006389,-66.015833,39,59,,,25.87037,23.753086,28.444444,1.052286,22.655556,83.630201
US_PR_72109,2020-01-04,ChIJAdx1ZiVTA4wRLioM2l-zy-w,Q2485638,geoId/72109,US,United States of America,PR,Puerto Rico,72109,Patillas Municipio,US,USA,2,,,,,19277,4467952,18.006389,-66.015833,39,59,,,26.246914,23.648148,28.691358,2.286,20.277778,69.371412
US_PR_72109,2020-01-05,ChIJAdx1ZiVTA4wRLioM2l-zy-w,Q2485638,geoId/72109,US,United States of America,PR,Puerto Rico,72109,Patillas Municipio,US,USA,2,,,,,19277,4467952,18.006389,-66.015833,39,59,,,25.290123,22.54321,28.419753,0.036286,21.111111,78.210654
US_PR_72109,2020-01-06,ChIJAdx1ZiVTA4wRLioM2l-zy-w,Q2485638,geoId/72109,US,United States of America,PR,Puerto Rico,72109,Patillas Municipio,US,USA,2,,,,,19277,4467952,18.006389,-66.015833,39,59,,,25.290123,23.135802,28.104938,1.524,22.088889,84.536285
US_PR_72109,2020-01-07,ChIJAdx1ZiVTA4wRLioM2l-zy-w,Q2485638,geoId/72109,US,United States of America,PR,Puerto Rico,72109,Patillas Municipio,US,USA,2,,,,,19277,4467952,18.006389,-66.015833,39,59,,,26.160494,23.308642,28.895062,0.423333,20.977778,73.255992
US_PR_72109,2020-01-08,ChIJAdx1ZiVTA4wRLioM2l-zy-w,Q2485638,geoId/72109,US,United States of America,PR,Puerto Rico,72109,Patillas Municipio,US,USA,2,,,,,19277,4467952,18.006389,-66.015833,39,59,,,26.364198,23.987654,29.111111,0.127,21.966667,77.806287
US_PR_72109,2020-01-09,ChIJAdx1ZiVTA4wRLioM2l-zy-w,Q2485638,geoId/72109,US,United States of America,PR,Puerto Rico,72109,Patillas Municipio,US,USA,2,,,,,19277,4467952,18.006389,-66.015833,39,59,,,26.746914,24.117284,29.41358,0.8255,21.877778,74.645793
US_PR_72109,2020-01-10,ChIJAdx1ZiVTA4wRLioM2l-zy-w,Q2485638,geoId/72109,US,United States of America,PR,Puerto Rico,72109,Patillas Municipio,US,USA,2,,,,,19277,4467952,18.006389,-66.015833,39,59,,,26.882716,23.95679,29.419753,2.4765,21.122222,71.690005
