location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ID_16051,2020-01-01,ChIJXTISHMsZVFMRxLC5as8Z8GE,Q494526,geoId/16051,US,United States of America,ID,Idaho,16051,Jefferson County,US,USA,2,,,,,,,28439,14442,13997,5225,5244,3191,3836,3157,3138,2576,1407,665,1742093,43.82,-112.31,2863,80.725,,,,,,11.62,,6.41,,7.21,22.04,8.02,,20.84,6.81,6.81,42.89,9.22,,-4.044444,-8.166667,-0.383333,2.991556,180.34,-6.063492,84.744412
US_ID_16051,2020-01-02,ChIJXTISHMsZVFMRxLC5as8Z8GE,Q494526,geoId/16051,US,United States of America,ID,Idaho,16051,Jefferson County,US,USA,2,,,,,,,28439,14442,13997,5225,5244,3191,3836,3157,3138,2576,1407,665,1742093,43.82,-112.31,2863,80.725,,,,,,11.34,11.73,7.43,,7.04,24.62,9.38,8.6,34.4,6.64,6.25,45.73,8.21,7.04,-3.15,-7.077778,-0.383333,5.334,149.86,-5.68254,82.541811
US_ID_16051,2020-01-03,ChIJXTISHMsZVFMRxLC5as8Z8GE,Q494526,geoId/16051,US,United States of America,ID,Idaho,16051,Jefferson County,US,USA,2,,,,,,,28439,14442,13997,5225,5244,3191,3836,3157,3138,2576,1407,665,1742093,43.82,-112.31,2863,80.725,,,,,,6.37,5.97,,,,17.91,10.35,,32.64,5.57,5.97,44.19,7.96,,-3.477778,-8.033333,0.222222,0.0,129.54,-6.468254,79.557098
US_ID_16051,2020-01-04,ChIJXTISHMsZVFMRxLC5as8Z8GE,Q494526,geoId/16051,US,United States of America,ID,Idaho,16051,Jefferson County,US,USA,2,,,,,,,28439,14442,13997,5225,5244,3191,3836,3157,3138,2576,1407,665,1742093,43.82,-112.31,2863,80.725,,,,,,7.57,9.97,5.58,,5.58,18.74,6.38,,16.74,,7.97,43.05,5.58,,-5.427778,-12.6,1.894444,0.141111,99.06,-7.880952,80.393585
US_ID_16051,2020-01-05,ChIJXTISHMsZVFMRxLC5as8Z8GE,Q494526,geoId/16051,US,United States of America,ID,Idaho,16051,Jefferson County,US,USA,2,,,,,,,28439,14442,13997,5225,5244,3191,3836,3157,3138,2576,1407,665,1742093,43.82,-112.31,2863,80.725,,,,,,7.49,10.65,8.68,6.31,5.92,21.3,9.46,,31.94,,7.89,37.47,10.25,,-7.088889,-13.222222,0.866667,0.366889,78.74,-10.007937,79.42966
US_ID_16051,2020-01-06,ChIJXTISHMsZVFMRxLC5as8Z8GE,Q494526,geoId/16051,US,United States of America,ID,Idaho,16051,Jefferson County,US,USA,2,,,,,,,28439,14442,13997,5225,5244,3191,3836,3157,3138,2576,1407,665,1742093,43.82,-112.31,2863,80.725,,,,,,6.77,8.91,8.91,4.99,7.48,15.32,12.12,,24.23,8.55,7.84,40.98,5.34,,-5.072222,-9.483333,-2.183333,1.016,78.74,-8.111111,78.165869
US_ID_16051,2020-01-07,ChIJXTISHMsZVFMRxLC5as8Z8GE,Q494526,geoId/16051,US,United States of America,ID,Idaho,16051,Jefferson County,US,USA,2,,,,,,,28439,14442,13997,5225,5244,3191,3836,3157,3138,2576,1407,665,1742093,43.82,-112.31,2863,80.725,,,,,,9.52,12.34,8.81,6.34,10.22,8.11,8.81,7.75,20.8,5.99,5.29,38.77,5.29,7.75,-1.338889,-6.661111,2.461111,0.366889,54.61,-5.015873,76.444742
US_ID_16051,2020-01-08,ChIJXTISHMsZVFMRxLC5as8Z8GE,Q494526,geoId/16051,US,United States of America,ID,Idaho,16051,Jefferson County,US,USA,2,,,,,,,28439,14442,13997,5225,5244,3191,3836,3157,3138,2576,1407,665,1742093,43.82,-112.31,2863,80.725,,,,,,7.4,11.28,9.17,6.35,6.35,18.68,10.93,6.35,38.78,,,37.72,13.04,6.7,-2.405556,-6.411111,2.166667,0.366889,78.74,-5.190476,79.566634
US_ID_16051,2020-01-09,ChIJXTISHMsZVFMRxLC5as8Z8GE,Q494526,geoId/16051,US,United States of America,ID,Idaho,16051,Jefferson County,US,USA,2,,,,,,,28439,14442,13997,5225,5244,3191,3836,3157,3138,2576,1407,665,1742093,43.82,-112.31,2863,80.725,,,,,,9.87,10.22,12.33,,5.29,14.8,9.87,6.34,29.95,8.81,,40.16,5.29,4.93,-4.127778,-7.494444,-0.772222,1.298222,78.74,-6.087302,82.804352
US_ID_16051,2020-01-10,ChIJXTISHMsZVFMRxLC5as8Z8GE,Q494526,geoId/16051,US,United States of America,ID,Idaho,16051,Jefferson County,US,USA,2,,,,,,,28439,14442,13997,5225,5244,3191,3836,3157,3138,2576,1407,665,1742093,43.82,-112.31,2863,80.725,,,,,,14.12,,7.06,,,13.41,10.94,5.65,25.06,,6.35,39.17,6.71,,-10.8,-20.161111,-2.944444,1.326444,54.61,-14.357143,73.719344
