location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MD_24023,2020-01-01,ChIJn4u1fhBYtYkR-DfT3USMc8s,Q501236,geoId/24023,US,United States of America,MD,Maryland,24023,Garrett County,US,USA,2,,,,,,,29242,14420,14822,2827,3282,3333,3103,3556,4491,4269,2869,1512,936979,39.283333,-79.366667,1699,78.014286,,,,,,4.76,6.87,12.42,8.46,4.49,3.96,23.52,14.8,4.76,6.87,6.61,5.55,5.55,5.55,5.82,25.9,4.23,7.93,3.96,6.34,38.59,4.49,5.29,,4.76,1.820988,-0.814815,5.123457,0.036286,,-4.868056,59.335261
US_MD_24023,2020-01-02,ChIJn4u1fhBYtYkR-DfT3USMc8s,Q501236,geoId/24023,US,United States of America,MD,Maryland,24023,Garrett County,US,USA,2,,,,,,,29242,14420,14822,2827,3282,3333,3103,3556,4491,4269,2869,1512,936979,39.283333,-79.366667,1699,78.014286,,,,,,7.89,9.74,9.47,6.32,5.79,,17.37,11.84,4.21,18.95,,4.47,,5.26,6.58,25.27,8.95,6.84,4.74,7.11,43.16,3.68,6.05,6.05,5.53,2.820988,-3.061728,11.382716,0.0,,-4.486111,58.335686
US_MD_24023,2020-01-03,ChIJn4u1fhBYtYkR-DfT3USMc8s,Q501236,geoId/24023,US,United States of America,MD,Maryland,24023,Garrett County,US,USA,2,,,,,,,29242,14420,14822,2827,3282,3333,3103,3556,4491,4269,2869,1512,936979,39.283333,-79.366667,1699,78.014286,,,,,,,6.05,10.08,5.79,4.79,5.04,19.4,11.08,,9.57,4.53,5.04,3.78,,7.81,23.68,6.05,5.54,,,35.52,,6.55,4.79,5.04,10.08642,7.179012,11.623457,3.513667,,8.118056,86.340889
US_MD_24023,2020-01-04,ChIJn4u1fhBYtYkR-DfT3USMc8s,Q501236,geoId/24023,US,United States of America,MD,Maryland,24023,Garrett County,US,USA,2,,,,,,,29242,14420,14822,2827,3282,3333,3103,3556,4491,4269,2869,1512,936979,39.283333,-79.366667,1699,78.014286,,,,,,8.21,6.74,10.55,6.45,4.98,7.33,19.93,9.09,,9.96,4.69,6.74,,4.98,8.21,28.72,4.98,6.74,,8.21,31.65,,8.79,7.03,,9.425926,4.222222,13.950617,8.170333,,7.9375,88.822141
US_MD_24023,2020-01-05,ChIJn4u1fhBYtYkR-DfT3USMc8s,Q501236,geoId/24023,US,United States of America,MD,Maryland,24023,Garrett County,US,USA,2,,,,,,,29242,14420,14822,2827,3282,3333,3103,3556,4491,4269,2869,1512,936979,39.283333,-79.366667,1699,78.014286,,,,,,7.7,5.13,11.23,6.42,5.78,6.1,15.72,10.27,4.81,8.98,,,,6.1,6.74,24.39,5.78,,,5.78,37.22,5.78,7.7,,5.13,1.833333,-0.259259,5.808642,7.027333,,-1.201389,76.658577
US_MD_24023,2020-01-06,ChIJn4u1fhBYtYkR-DfT3USMc8s,Q501236,geoId/24023,US,United States of America,MD,Maryland,24023,Garrett County,US,USA,2,,,,,,,29242,14420,14822,2827,3282,3333,3103,3556,4491,4269,2869,1512,936979,39.283333,-79.366667,1699,78.014286,,,,,,4.06,6.09,10.16,,4.93,5.8,19.45,9.87,4.35,8.42,,5.22,,7.55,8.42,25.54,,7.84,6.67,4.35,41.79,,5.51,5.8,4.06,3.753086,-2.191358,7.246914,0.705556,,-2.8125,60.059697
US_MD_24023,2020-01-07,ChIJn4u1fhBYtYkR-DfT3USMc8s,Q501236,geoId/24023,US,United States of America,MD,Maryland,24023,Garrett County,US,USA,2,,,,,,,29242,14420,14822,2827,3282,3333,3103,3556,4491,4269,2869,1512,936979,39.283333,-79.366667,1699,78.014286,,,,,,,5.21,11.29,8.11,4.63,,17.67,7.53,,15.93,,5.79,,6.08,6.08,22.88,5.79,7.24,6.66,7.53,38.81,5.21,6.08,,,-1.592593,-5.024691,3.703704,0.677333,,-4.520833,78.972701
US_MD_24023,2020-01-08,ChIJn4u1fhBYtYkR-DfT3USMc8s,Q501236,geoId/24023,US,United States of America,MD,Maryland,24023,Garrett County,US,USA,2,,,,,,,29242,14420,14822,2827,3282,3333,3103,3556,4491,4269,2869,1512,936979,39.283333,-79.366667,1699,78.014286,,,,,,,7.18,10.78,6.29,5.99,6.88,16.16,11.07,,11.37,,8.38,,4.49,4.79,29.33,11.97,6.58,,,37.42,4.49,10.48,7.18,6.88,0.080247,-5.62963,2.290123,2.902857,,-6.451389,60.08727
US_MD_24023,2020-01-09,ChIJn4u1fhBYtYkR-DfT3USMc8s,Q501236,geoId/24023,US,United States of America,MD,Maryland,24023,Garrett County,US,USA,2,,,,,,,29242,14420,14822,2827,3282,3333,3103,3556,4491,4269,2869,1512,936979,39.283333,-79.366667,1699,78.014286,,,,,,4.73,7.25,8.82,9.45,6.3,6.62,14.5,6.93,4.41,8.51,,5.67,6.93,5.36,9.14,32.14,5.67,4.73,4.41,6.93,33.09,,8.51,5.04,7.25,-2.080247,-8.858025,7.746914,0.056444,99.06,-9.576389,56.292636
US_MD_24023,2020-01-10,ChIJn4u1fhBYtYkR-DfT3USMc8s,Q501236,geoId/24023,US,United States of America,MD,Maryland,24023,Garrett County,US,USA,2,,,,,,,29242,14420,14822,2827,3282,3333,3103,3556,4491,4269,2869,1512,936979,39.283333,-79.366667,1699,78.014286,,,,,,,6.89,10.19,7.49,7.79,,18.58,10.49,6.89,8.99,5.39,6.29,4.79,9.89,7.79,26.67,6.89,,,,37.46,,4.5,,,7.617284,1.32716,15.419753,0.0,78.74,-0.784722,55.737995
