location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39091,2020-01-11,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,3.9,6.11,3.73,8.32,7.3,6.62,2.38,,5.6,3.23,,2.88,13.75,,7.81,,,,5.94,3.39,2.88,2.72,3.9,2.88,4.07,3.73,4.75,3.06,4.41,17.31,3.39,,6.96,2.38,2.38,3.56,2.38,3.56,35.81,3.39,5.94,,,9.16,,3.06,,2.38,2.72,2.72,14.277778,9.305556,18.35,11.811,,11.641975,83.542622
US_OH_39091,2020-01-12,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,3.3,8.52,3.13,8.34,7.47,,,,4.17,2.43,2.78,,9.91,2.61,6.26,6.95,4.69,,6.78,3.48,,2.43,4.69,4.34,3.13,5.56,5.04,2.96,5.91,21.2,4.34,3.48,7.47,,,4.34,,5.56,33.54,3.48,6.95,,,5.21,2.96,4.34,2.78,,,,4.977778,1.244444,15.111111,7.77875,,2.938272,85.887415
US_OH_39091,2020-01-13,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,2.57,4.24,6.35,2.12,8.17,6.05,4.08,2.12,3.63,3.48,2.27,3.93,,11.65,3.33,4.99,2.72,3.48,,9.23,3.18,,4.08,5.45,2.12,2.12,2.57,4.08,,6.5,19.52,5.9,2.42,5.45,3.48,4.08,4.54,2.57,3.03,33.58,2.87,4.54,,4.84,5.45,4.24,3.63,2.87,3.18,2.12,,4.216667,1.8,7.288889,0.3048,,1.466667,82.584786
US_OH_39091,2020-01-14,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,2.1,3.15,5.1,2.7,9.45,5.4,5.55,,3.15,6.45,5.1,2.25,,10.05,2.55,7.2,,3.3,,8.7,3.15,2.7,4.95,4.8,,2.85,3.0,4.05,3.0,6.15,21.45,4.5,3.6,5.1,3.3,3.3,3.6,2.1,4.65,36.9,5.55,7.05,3.3,4.2,5.25,4.65,3.3,3.9,2.1,2.4,,3.027778,-0.161111,7.405556,1.3716,,1.358025,88.564213
US_OH_39091,2020-01-15,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,2.73,4.69,5.3,,8.18,5.75,3.94,,,5.15,4.09,,,10.29,3.63,5.45,2.73,3.79,3.03,7.12,3.33,2.57,4.24,3.48,,3.63,2.42,3.03,,7.72,19.23,4.84,2.57,6.96,2.73,4.84,4.39,,4.39,34.06,5.6,5.6,,3.79,4.09,3.03,4.39,,3.03,2.57,,3.027778,-0.622222,9.244444,0.0,,2.444444,95.531584
US_OH_39091,2020-01-16,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,5.13,4.38,2.72,7.09,7.85,5.58,,3.17,5.13,3.02,3.32,,12.53,3.47,4.38,,4.98,2.87,10.11,3.62,3.32,5.28,3.92,2.72,3.62,,4.23,2.11,7.85,27.47,6.49,3.32,6.19,2.26,4.23,3.47,,4.53,38.34,4.68,5.89,2.26,2.26,4.68,4.53,3.77,2.42,2.11,,,2.794444,-2.411111,9.283333,1.016,,-0.9,76.806509
US_OH_39091,2020-01-17,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,2.67,2.51,3.77,3.3,8.01,5.5,5.34,2.83,3.3,4.4,3.14,2.2,2.67,11.47,4.4,4.4,,5.81,,7.23,4.24,,5.81,2.99,3.14,3.46,5.66,5.34,,7.39,23.57,5.5,2.83,7.23,,2.36,4.71,2.51,4.4,30.17,3.77,7.23,,2.2,4.71,4.24,3.93,2.51,2.99,2.99,2.67,-3.811111,-6.694444,2.811111,0.423333,,-8.805556,68.738453
US_OH_39091,2020-01-18,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,4.05,7.09,,9.12,5.91,4.56,,,4.9,2.87,3.04,,11.99,3.71,7.43,3.21,3.71,,7.26,3.88,,6.58,4.22,2.7,5.74,3.88,5.91,4.39,6.42,17.56,5.74,,6.42,,3.54,4.22,,3.21,32.75,4.56,5.74,,,3.71,3.21,3.38,4.22,3.88,3.54,,1.011111,-4.966667,7.766667,6.69925,,-2.177778,79.566878
US_OH_39091,2020-01-19,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,5.53,6.22,3.45,6.91,7.08,3.45,2.42,3.45,4.32,3.11,,,13.64,2.94,5.35,3.11,2.76,2.76,8.81,4.66,,3.11,2.42,,,2.42,3.28,2.42,5.01,18.83,4.14,,5.7,,,4.14,,4.32,28.84,2.94,6.04,,,6.04,,3.11,,3.8,2.59,3.8,-7.072222,-11.122222,5.2,10.541,,-10.783333,75.045506
US_OH_39091,2020-01-20,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,2.35,3.86,4.36,3.02,10.4,6.88,4.7,,2.35,4.87,3.52,3.69,,14.1,3.86,8.22,3.52,4.87,3.69,6.21,3.52,4.7,6.88,5.04,2.85,4.87,4.36,5.37,3.52,5.71,25.51,6.04,2.35,7.05,2.52,4.7,4.7,4.53,7.38,38.27,5.2,7.89,3.86,3.36,5.04,4.03,3.19,,3.19,,,-8.461111,-12.211111,-3.161111,0.0,,-11.759259,76.152217
