location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51790,2020-01-01,ChIJlxZiuI6gtIkRbrYJCnHk1uU,Q502250,geoId/51790,US,United States of America,VA,Virginia,51790,Staunton,US,USA,2,,,,,,,24325,11142,13183,2642,2486,3194,3188,2844,3198,3242,2164,1367,3864617,38.1581,-79.0764,432,51,76.0,,,,,7.04,4.87,5.41,10.01,6.49,5.95,4.87,,9.2,6.49,,4.06,6.22,5.41,5.14,,5.68,5.41,,23.27,,7.85,,5.41,7.04,32.74,4.06,6.49,4.6,,,3.983333,-0.333333,8.716667,0.0254,,-3.875,55.269858
US_VA_51790,2020-01-02,ChIJlxZiuI6gtIkRbrYJCnHk1uU,Q502250,geoId/51790,US,United States of America,VA,Virginia,51790,Staunton,US,USA,2,,,,,,,24325,11142,13183,2642,2486,3194,3188,2844,3198,3242,2164,1367,3864617,38.1581,-79.0764,432,51,76.0,,,,,5.58,10.91,4.61,14.79,10.18,3.88,3.88,4.61,17.21,11.39,5.09,7.03,7.27,4.85,3.88,5.82,4.36,,8.48,25.7,4.36,7.03,,5.82,8.24,38.3,3.88,6.3,6.54,5.09,6.79,3.966667,-2.533333,12.272222,0.0,,-3.166667,60.357843
US_VA_51790,2020-01-03,ChIJlxZiuI6gtIkRbrYJCnHk1uU,Q502250,geoId/51790,US,United States of America,VA,Virginia,51790,Staunton,US,USA,2,,,,,,,24325,11142,13183,2642,2486,3194,3188,2844,3198,3242,2164,1367,3864617,38.1581,-79.0764,432,51,76.0,,,,,4.17,13.24,,10.29,6.62,6.62,5.88,,13.48,8.33,4.9,9.31,4.17,5.15,4.9,3.43,5.64,4.66,6.62,24.51,7.11,7.11,4.66,5.15,6.13,35.05,3.43,6.13,5.15,,,9.455556,5.705556,11.883333,2.140857,,6.777778,81.667008
US_VA_51790,2020-01-04,ChIJlxZiuI6gtIkRbrYJCnHk1uU,Q502250,geoId/51790,US,United States of America,VA,Virginia,51790,Staunton,US,USA,2,,,,,,,24325,11142,13183,2642,2486,3194,3188,2844,3198,3242,2164,1367,3864617,38.1581,-79.0764,432,51,76.0,,,,,4.7,8.62,5.75,8.62,8.36,7.57,6.01,4.7,16.98,9.66,,6.01,3.92,4.96,5.22,4.96,,4.96,7.57,24.81,7.31,6.79,,4.96,4.7,41.53,,4.96,9.93,5.22,5.75,11.261111,6.783333,15.166667,3.556,,10.0,89.748719
US_VA_51790,2020-01-05,ChIJlxZiuI6gtIkRbrYJCnHk1uU,Q502250,geoId/51790,US,United States of America,VA,Virginia,51790,Staunton,US,USA,2,,,,,,,24325,11142,13183,2642,2486,3194,3188,2844,3198,3242,2164,1367,3864617,38.1581,-79.0764,432,51,76.0,,,,,4.35,5.11,7.93,9.72,6.65,4.35,6.39,,13.55,8.18,3.83,8.18,6.39,,5.62,5.62,5.88,,6.14,26.08,6.14,10.99,,3.58,7.16,35.54,7.42,8.69,6.14,4.86,3.83,3.2,-0.805556,8.622222,7.438571,,-3.083333,61.651692
US_VA_51790,2020-01-06,ChIJlxZiuI6gtIkRbrYJCnHk1uU,Q502250,geoId/51790,US,United States of America,VA,Virginia,51790,Staunton,US,USA,2,,,,,,,24325,11142,13183,2642,2486,3194,3188,2844,3198,3242,2164,1367,3864617,38.1581,-79.0764,432,51,76.0,,,,,3.32,7.09,3.77,7.75,8.86,3.1,6.64,5.54,15.5,11.07,4.43,7.31,4.43,5.76,5.32,4.87,5.09,3.77,5.09,23.03,5.32,6.2,4.65,3.1,4.65,35.66,4.65,5.98,5.32,3.1,4.65,3.855556,-2.144444,9.722222,0.508,,-4.375,54.849466
US_VA_51790,2020-01-07,ChIJlxZiuI6gtIkRbrYJCnHk1uU,Q502250,geoId/51790,US,United States of America,VA,Virginia,51790,Staunton,US,USA,2,,,,,,,24325,11142,13183,2642,2486,3194,3188,2844,3198,3242,2164,1367,3864617,38.1581,-79.0764,432,51,76.0,,,,,4.56,7.38,5.21,8.46,6.72,4.34,4.77,6.29,17.57,8.24,3.69,8.24,7.16,4.56,3.47,3.47,6.29,3.9,6.94,28.2,4.77,5.42,3.47,,6.07,37.75,3.04,6.51,4.77,3.47,,-0.755556,-4.477778,5.316667,1.886857,,-5.145833,73.01869
US_VA_51790,2020-01-08,ChIJlxZiuI6gtIkRbrYJCnHk1uU,Q502250,geoId/51790,US,United States of America,VA,Virginia,51790,Staunton,US,USA,2,,,,,,,24325,11142,13183,2642,2486,3194,3188,2844,3198,3242,2164,1367,3864617,38.1581,-79.0764,432,51,76.0,,,,,,8.43,5.33,9.32,8.43,5.33,5.1,,13.09,7.54,4.44,8.43,,5.55,3.99,3.77,4.22,4.88,8.43,25.74,6.66,6.21,3.77,4.66,6.21,37.5,6.21,7.99,6.43,4.44,3.55,1.172222,-4.777778,5.844444,4.699,,-5.416667,61.516533
US_VA_51790,2020-01-09,ChIJlxZiuI6gtIkRbrYJCnHk1uU,Q502250,geoId/51790,US,United States of America,VA,Virginia,51790,Staunton,US,USA,2,,,,,,,24325,11142,13183,2642,2486,3194,3188,2844,3198,3242,2164,1367,3864617,38.1581,-79.0764,432,51,76.0,,,,,3.21,7.06,5.78,9.42,6.42,6.85,4.71,5.99,16.48,6.85,5.57,10.06,6.21,5.35,3.64,5.14,4.71,4.71,8.78,28.68,6.42,6.21,3.21,3.21,5.14,35.96,4.71,8.35,3.85,4.28,4.28,-1.261111,-6.727778,5.672222,0.0508,,-8.8125,56.887697
US_VA_51790,2020-01-10,ChIJlxZiuI6gtIkRbrYJCnHk1uU,Q502250,geoId/51790,US,United States of America,VA,Virginia,51790,Staunton,US,USA,2,,,,,,,24325,11142,13183,2642,2486,3194,3188,2844,3198,3242,2164,1367,3864617,38.1581,-79.0764,432,51,76.0,,,,,3.21,10.69,3.64,12.83,8.55,4.92,5.13,,13.26,9.84,5.99,8.13,3.85,7.7,,4.92,,4.71,4.06,25.02,5.35,8.13,5.13,5.99,4.71,37.43,5.78,6.2,3.85,,4.71,4.916667,-2.488889,13.405556,0.0,,-0.395833,69.50355
