location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18047,2020-01-01,ChIJA72-c9WaaogRK0d79gpNEVw,Q506779,geoId/18047,US,United States of America,IN,Indiana,18047,Franklin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694,11335,11359,2627,3162,2411,2510,2874,3423,3008,1721,958,1802281,39.42,-85.06,1014,78.76,,,,,8.49,,10.19,14.01,8.07,19.53,,30.57,8.91,3.183333,0.833333,8.161111,0.0,,-2.905556,64.473341
US_IN_18047,2020-01-02,ChIJA72-c9WaaogRK0d79gpNEVw,Q506779,geoId/18047,US,United States of America,IN,Indiana,18047,Franklin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694,11335,11359,2627,3162,2411,2510,2874,3423,3008,1721,958,1802281,39.42,-85.06,1014,78.76,,,,,10.61,12.38,8.4,15.47,10.17,22.99,8.4,36.7,,5.772222,0.872222,10.466667,0.0,,-1.227778,60.84405
US_IN_18047,2020-01-03,ChIJA72-c9WaaogRK0d79gpNEVw,Q506779,geoId/18047,US,United States of America,IN,Indiana,18047,Franklin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694,11335,11359,2627,3162,2411,2510,2874,3423,3008,1721,958,1802281,39.42,-85.06,1014,78.76,,,,,,,,20.73,6.62,20.73,7.06,33.08,,9.416667,5.6,10.972222,15.893143,,8.677778,95.178482
US_IN_18047,2020-01-04,ChIJA72-c9WaaogRK0d79gpNEVw,Q506779,geoId/18047,US,United States of America,IN,Indiana,18047,Franklin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694,11335,11359,2627,3162,2411,2510,2874,3423,3008,1721,958,1802281,39.42,-85.06,1014,78.76,,,,,7.8,7.8,,14.31,7.8,23.42,,35.12,,4.877778,1.133333,9.305556,7.837714,,3.261111,89.363683
US_IN_18047,2020-01-05,ChIJA72-c9WaaogRK0d79gpNEVw,Q506779,geoId/18047,US,United States of America,IN,Indiana,18047,Franklin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694,11335,11359,2627,3162,2411,2510,2874,3423,3008,1721,958,1802281,39.42,-85.06,1014,78.76,,,,,6.96,9.14,,10.44,,22.19,,26.1,7.4,1.927778,-2.044444,7.894444,1.016,,-2.977778,70.074431
US_IN_18047,2020-01-06,ChIJA72-c9WaaogRK0d79gpNEVw,Q506779,geoId/18047,US,United States of America,IN,Indiana,18047,Franklin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694,11335,11359,2627,3162,2411,2510,2874,3423,3008,1721,958,1802281,39.42,-85.06,1014,78.76,,,,,,7.32,7.32,14.64,,26.36,5.49,28.19,,3.316667,-2.522222,7.772222,0.0,,-3.2,62.449307
US_IN_18047,2020-01-07,ChIJA72-c9WaaogRK0d79gpNEVw,Q506779,geoId/18047,US,United States of America,IN,Indiana,18047,Franklin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694,11335,11359,2627,3162,2411,2510,2874,3423,3008,1721,958,1802281,39.42,-85.06,1014,78.76,,,,,8.32,,9.04,15.55,,24.23,,35.08,6.15,2.111111,-3.072222,8.672222,0.0,,-4.827778,60.331056
US_IN_18047,2020-01-08,ChIJA72-c9WaaogRK0d79gpNEVw,Q506779,geoId/18047,US,United States of America,IN,Indiana,18047,Franklin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694,11335,11359,2627,3162,2411,2510,2874,3423,3008,1721,958,1802281,39.42,-85.06,1014,78.76,,,,,,5.76,8.64,11.16,,28.79,,30.23,8.28,1.472222,-2.6,7.011111,0.0,,-7.1,53.190194
US_IN_18047,2020-01-09,ChIJA72-c9WaaogRK0d79gpNEVw,Q506779,geoId/18047,US,United States of America,IN,Indiana,18047,Franklin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694,11335,11359,2627,3162,2411,2510,2874,3423,3008,1721,958,1802281,39.42,-85.06,1014,78.76,,,,,7.05,,5.29,7.75,,29.26,10.22,33.84,10.22,2.322222,-4.466667,13.655556,0.0,,-6.311111,53.103117
US_IN_18047,2020-01-10,ChIJA72-c9WaaogRK0d79gpNEVw,Q506779,geoId/18047,US,United States of America,IN,Indiana,18047,Franklin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22694,11335,11359,2627,3162,2411,2510,2874,3423,3008,1721,958,1802281,39.42,-85.06,1014,78.76,,,,,,5.1,9.19,9.53,6.46,25.86,6.12,26.54,7.83,11.7,8.55,14.661111,8.4455,,6.005556,68.416596
