location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26047,2020-01-01,ChIJr4sBRWSDSk0R23iTvfSNjzo,Q491129,geoId/26047,US,United States of America,MI,Michigan,26047,Emmet County,US,USA,2,,,,,,,33081,16342,16739,3324,3908,3718,3627,3800,4831,5251,2970,1652,1907313,45.58,-84.98,2285,80.071429,,,,,,5.92,8.98,6.33,11.02,7.96,3.67,3.47,7.55,4.49,4.08,,18.58,,8.57,4.29,5.31,5.92,5.72,3.67,3.27,3.67,3.88,3.27,4.29,3.06,3.06,25.52,7.76,3.88,5.1,3.06,4.29,3.47,3.47,37.36,5.1,5.72,4.9,,3.47,4.29,3.67,-2.494444,-5.155556,0.455556,0.290286,-5.430556,80.764578
US_MI_26047,2020-01-02,ChIJr4sBRWSDSk0R23iTvfSNjzo,Q491129,geoId/26047,US,United States of America,MI,Michigan,26047,Emmet County,US,USA,2,,,,,,,33081,16342,16739,3324,3908,3718,3627,3800,4831,5251,2970,1652,1907313,45.58,-84.98,2285,80.071429,,,,,,5.14,9.9,7.43,10.29,8.0,6.09,2.67,6.48,4.76,5.71,3.43,20.76,5.52,9.71,2.86,6.29,8.57,5.14,,4.57,4.57,3.43,4.0,3.62,3.05,7.81,22.48,6.48,,4.0,3.05,6.09,3.05,7.81,40.95,4.38,7.05,5.9,5.33,4.19,,,2.15,-1.9,4.816667,0.03175,-1.180556,79.933388
US_MI_26047,2020-01-03,ChIJr4sBRWSDSk0R23iTvfSNjzo,Q491129,geoId/26047,US,United States of America,MI,Michigan,26047,Emmet County,US,USA,2,,,,,,,33081,16342,16739,3324,3908,3718,3627,3800,4831,5251,2970,1652,1907313,45.58,-84.98,2285,80.071429,,,,,,4.05,9.84,5.02,9.84,6.17,4.82,4.05,5.79,4.25,,,16.98,,9.26,3.28,4.25,6.75,3.47,,4.05,3.47,3.09,,5.6,,5.98,22.19,5.02,,6.17,2.7,3.67,4.05,5.02,39.95,3.67,4.44,5.02,3.09,3.86,4.05,4.25,1.488889,-1.577778,4.316667,0.0,-1.430556,81.264663
US_MI_26047,2020-01-04,ChIJr4sBRWSDSk0R23iTvfSNjzo,Q491129,geoId/26047,US,United States of America,MI,Michigan,26047,Emmet County,US,USA,2,,,,,,,33081,16342,16739,3324,3908,3718,3627,3800,4831,5251,2970,1652,1907313,45.58,-84.98,2285,80.071429,,,,,,7.09,8.81,9.02,11.17,6.23,4.51,,5.37,4.3,4.51,,15.69,3.01,9.67,4.3,,8.38,6.45,,4.73,4.08,3.87,,4.08,4.08,5.59,19.34,6.45,,5.59,3.65,4.08,3.87,4.3,41.68,3.87,7.74,5.59,4.3,3.22,3.65,3.01,-1.472222,-2.266667,1.544444,0.0,-4.041667,83.616405
US_MI_26047,2020-01-05,ChIJr4sBRWSDSk0R23iTvfSNjzo,Q491129,geoId/26047,US,United States of America,MI,Michigan,26047,Emmet County,US,USA,2,,,,,,,33081,16342,16739,3324,3908,3718,3627,3800,4831,5251,2970,1652,1907313,45.58,-84.98,2285,80.071429,,,,,,,8.96,5.89,6.37,8.49,4.71,,5.89,4.01,4.71,6.13,19.8,3.54,11.31,,8.25,4.95,7.54,,,6.84,,4.01,5.66,3.3,6.6,26.16,7.78,5.42,5.42,4.01,3.77,6.6,5.42,41.72,,5.42,4.48,4.24,5.42,3.54,4.48,-0.966667,-2.294444,-0.038889,0.508,-3.381944,84.415228
US_MI_26047,2020-01-06,ChIJr4sBRWSDSk0R23iTvfSNjzo,Q491129,geoId/26047,US,United States of America,MI,Michigan,26047,Emmet County,US,USA,2,,,,,,,33081,16342,16739,3324,3908,3718,3627,3800,4831,5251,2970,1652,1907313,45.58,-84.98,2285,80.071429,,,,,,5.08,6.05,5.27,9.57,6.45,6.05,3.12,7.03,,5.08,,16.01,4.1,8.59,,3.71,5.66,4.1,,5.08,4.3,4.3,3.91,3.91,3.91,8.98,22.85,5.47,3.52,6.05,,5.66,4.88,5.27,38.28,3.71,4.69,3.12,5.27,3.91,3.91,2.73,-1.2,-2.605556,0.022222,1.8288,-5.659722,72.499058
US_MI_26047,2020-01-07,ChIJr4sBRWSDSk0R23iTvfSNjzo,Q491129,geoId/26047,US,United States of America,MI,Michigan,26047,Emmet County,US,USA,2,,,,,,,33081,16342,16739,3324,3908,3718,3627,3800,4831,5251,2970,1652,1907313,45.58,-84.98,2285,80.071429,,,,,,5.13,7.69,4.14,8.28,5.72,6.9,4.34,6.31,4.73,3.75,,16.56,,7.69,2.76,4.73,7.69,4.34,3.94,3.94,6.51,5.32,3.75,5.32,,4.93,27.4,6.31,,5.52,4.54,5.13,6.9,9.07,39.63,4.14,5.13,6.51,,5.13,5.13,3.35,-0.177778,-4.138889,2.027778,0.2032,-4.756944,72.042704
US_MI_26047,2020-01-08,ChIJr4sBRWSDSk0R23iTvfSNjzo,Q491129,geoId/26047,US,United States of America,MI,Michigan,26047,Emmet County,US,USA,2,,,,,,,33081,16342,16739,3324,3908,3718,3627,3800,4831,5251,2970,1652,1907313,45.58,-84.98,2285,80.071429,,,,,,5.33,7.1,4.14,10.26,6.71,5.53,6.91,4.54,,3.16,4.34,14.6,3.55,6.91,2.96,5.33,6.32,5.53,3.55,4.34,4.93,5.72,4.54,5.33,4.74,10.06,29.01,6.32,5.13,7.5,5.92,4.14,4.34,8.09,42.23,6.71,8.88,6.51,3.55,2.76,2.76,5.33,-7.3,-9.988889,-0.338889,0.254,-12.840278,65.034043
US_MI_26047,2020-01-09,ChIJr4sBRWSDSk0R23iTvfSNjzo,Q491129,geoId/26047,US,United States of America,MI,Michigan,26047,Emmet County,US,USA,2,,,,,,,33081,16342,16739,3324,3908,3718,3627,3800,4831,5251,2970,1652,1907313,45.58,-84.98,2285,80.071429,,,,,,3.12,6.05,7.02,9.56,6.24,7.61,5.27,4.49,3.12,4.1,2.93,15.8,2.93,7.8,,4.29,8.97,3.71,,6.63,4.1,,2.93,2.93,,5.85,28.09,4.88,4.1,6.63,,4.88,6.24,5.85,42.53,6.24,9.75,5.85,4.49,4.29,4.68,4.29,-6.088889,-9.627778,0.05,0.2032,-11.090278,68.916146
US_MI_26047,2020-01-10,ChIJr4sBRWSDSk0R23iTvfSNjzo,Q491129,geoId/26047,US,United States of America,MI,Michigan,26047,Emmet County,US,USA,2,,,,,,,33081,16342,16739,3324,3908,3718,3627,3800,4831,5251,2970,1652,1907313,45.58,-84.98,2285,80.071429,,,,,,3.13,6.66,4.11,9.59,7.44,3.92,3.33,6.46,3.13,2.74,,13.71,,7.44,,2.94,7.83,,3.33,2.94,4.11,4.89,3.33,3.13,3.52,8.42,25.26,7.64,3.92,5.68,2.94,5.09,3.92,5.87,39.75,5.68,7.83,3.52,2.94,,,,2.933333,-0.3,6.283333,0.508,0.736111,85.682077
