location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48481,2020-01-01,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,,4.06,,9.57,,5.51,5.51,6.09,18.57,8.7,4.35,8.12,4.35,5.8,7.25,,,7.25,6.09,20.31,,8.41,,,,38.01,4.93,8.12,5.51,5.51,4.64,13.444444,11.344444,16.944444,0.282222,5.932099,60.809778
US_TX_48481,2020-01-02,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,3.91,12.0,6.26,9.39,5.74,5.22,6.26,4.7,19.82,12.52,,7.83,5.74,3.91,5.22,4.17,3.65,4.96,11.22,29.48,6.52,8.09,,5.48,8.61,39.91,7.56,8.61,6.0,7.56,6.26,16.277778,14.316667,18.405556,3.838222,15.475309,94.870446
US_TX_48481,2020-01-03,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,6.64,6.9,,9.82,7.96,6.11,,3.72,18.05,8.49,3.98,8.76,6.9,4.25,5.31,4.78,,,10.09,23.63,5.84,5.31,,,5.04,38.76,3.72,8.23,4.78,,7.43,15.816667,11.95,20.7,1.326444,12.246914,79.582084
US_TX_48481,2020-01-04,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,,7.33,4.11,6.74,7.33,4.4,,6.16,17.89,9.09,,6.16,,,,,4.11,4.11,8.8,24.92,,4.99,,5.57,,38.7,,4.99,6.16,4.4,5.28,12.35,4.233333,20.783333,0.0254,4.030864,57.008609
US_TX_48481,2020-01-05,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,3.92,10.09,3.92,13.17,6.17,,3.92,7.85,23.26,10.93,4.2,7.01,5.04,5.88,4.2,,5.33,6.45,6.73,23.54,4.76,8.41,,,7.29,32.51,4.2,4.76,,4.76,4.76,13.227778,5.072222,22.866667,0.0,6.938272,66.584245
US_TX_48481,2020-01-06,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,3.84,7.17,,12.29,6.4,7.43,5.38,3.59,15.62,8.96,,11.01,7.68,3.59,4.1,,4.87,4.87,9.99,25.61,5.89,8.71,4.35,4.35,5.63,35.86,,9.73,4.61,4.87,,15.211111,8.433333,23.994444,0.0,10.814815,75.814801
US_TX_48481,2020-01-07,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,4.18,9.59,,12.54,9.34,3.69,4.67,4.67,12.54,11.55,4.67,8.6,,3.44,5.41,,4.67,6.15,4.67,25.07,4.67,5.9,6.88,4.18,,36.63,6.15,7.38,5.65,4.67,4.92,14.544444,7.4,20.333333,0.0,4.487654,51.266793
US_TX_48481,2020-01-08,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,6.97,9.62,,11.06,5.77,5.05,,5.29,14.19,9.14,,11.3,3.61,5.77,4.33,4.33,,4.33,5.77,37.76,3.37,8.9,3.61,,3.37,31.51,6.49,18.04,5.29,5.29,5.77,10.722222,2.305556,21.344444,0.0,4.555556,67.696412
US_TX_48481,2020-01-09,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,6.19,8.72,,11.24,3.67,7.34,5.28,5.05,15.37,5.96,5.5,10.32,3.21,6.88,5.96,3.67,4.13,4.59,8.26,27.3,6.42,8.72,3.67,7.11,4.36,40.83,3.44,12.39,4.82,5.96,3.67,19.744444,15.788889,24.338889,0.056444,16.358025,80.470736
US_TX_48481,2020-01-10,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,3.92,7.83,3.69,11.75,6.22,4.61,,3.23,13.6,8.06,4.38,8.99,5.53,3.46,3.46,,,5.07,4.61,26.5,5.3,4.15,,4.15,4.38,33.87,4.38,10.14,4.84,5.07,3.92,21.994444,20.472222,23.783333,0.03175,19.962963,87.403405
US_TX_48481,2020-01-11,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,6.58,6.29,,10.59,6.58,6.29,5.44,6.01,10.87,7.73,,8.01,6.01,,,4.29,,9.73,9.16,20.32,5.15,5.44,,6.01,5.72,38.34,,6.58,6.01,,8.01,16.177778,10.988889,23.294444,10.047111,11.753086,75.74683
US_TX_48481,2020-01-12,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,,8.59,,10.59,,4.58,6.3,6.58,10.02,6.58,5.44,8.59,4.01,,,4.29,5.44,4.29,9.16,21.18,4.58,6.58,,,6.87,29.48,,7.16,,6.58,,8.972222,2.972222,17.566667,3.5306,5.574074,80.943658
US_TX_48481,2020-01-13,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,4.08,7.48,,12.7,7.94,4.31,5.21,3.4,15.65,8.39,,9.75,4.31,7.03,7.26,,,4.54,6.58,25.62,5.67,6.35,,6.12,4.54,37.19,3.63,8.84,5.44,4.99,4.54,14.911111,12.511111,18.844444,0.366889,13.537037,91.713997
US_TX_48481,2020-01-14,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,5.13,6.29,4.2,10.95,4.89,5.83,6.06,,16.55,9.32,4.66,8.16,3.5,4.66,6.29,6.76,,4.66,8.62,24.01,5.36,8.62,3.26,6.06,,37.52,7.92,8.39,5.36,5.13,5.83,21.155556,17.177778,24.866667,1.778,20.5,95.190876
US_TX_48481,2020-01-15,ChIJTzMUbKR1QYYRDR3dzLq5FyQ,Q483916,geoId/48481,US,United States of America,TX,Texas,48481,Wharton County,US,USA,2,,,,,,,41837,20513,21324,5847,6146,5250,5133,4527,5350,4941,2802,1841,1837773,29.28,-96.22,2835,77.6,,,,,,4.74,8.3,,8.54,6.88,7.59,4.03,,15.65,8.3,7.82,7.35,3.32,6.88,5.69,,5.93,,6.88,25.61,7.11,9.96,3.56,4.5,6.4,37.93,4.74,9.72,9.25,4.27,4.5,22.527778,20.855556,26.305556,1.143,21.049383,90.387358
