location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48463,2020-01-01,ChIJ9yBHsvPnXoYREQVXD4uXaHE,Q26697,geoId/48463,US,United States of America,TX,Texas,48463,Uvalde County,US,USA,2,,,,,,,27043,13229,13814,4109,4232,3868,3156,3003,2826,2703,1916,1230,1827044,29.35,-99.76,4037,78.68,,,,,,6.71,,16.19,,,,24.88,14.22,7.5,,,,9.48,25.28,6.32,9.48,,39.89,7.11,9.09,10.444444,7.975309,12.777778,0.0,,0.95679,52.019225
US_TX_48463,2020-01-02,ChIJ9yBHsvPnXoYREQVXD4uXaHE,Q26697,geoId/48463,US,United States of America,TX,Texas,48463,Uvalde County,US,USA,2,,,,,,,27043,13229,13814,4109,4232,3868,3156,3003,2826,2703,1916,1230,1827044,29.35,-99.76,4037,78.68,,,,,,6.52,9.41,13.03,5.07,8.33,,21.36,11.59,11.95,,9.41,5.79,13.03,30.05,6.52,9.78,,45.62,7.24,10.14,12.494444,8.638889,19.65,0.0,,8.688889,78.093959
US_TX_48463,2020-01-03,ChIJ9yBHsvPnXoYREQVXD4uXaHE,Q26697,geoId/48463,US,United States of America,TX,Texas,48463,Uvalde County,US,USA,2,,,,,,,27043,13229,13814,4109,4232,3868,3156,3003,2826,2703,1916,1230,1827044,29.35,-99.76,4037,78.68,,,,,,6.62,7.35,16.91,7.35,5.51,5.14,24.62,14.7,8.82,,7.35,6.25,8.82,21.32,,5.51,9.56,31.24,5.88,6.62,13.005556,7.261111,19.016667,0.0254,,4.383333,56.316714
US_TX_48463,2020-01-04,ChIJ9yBHsvPnXoYREQVXD4uXaHE,Q26697,geoId/48463,US,United States of America,TX,Texas,48463,Uvalde County,US,USA,2,,,,,,,27043,13229,13814,4109,4232,3868,3156,3003,2826,2703,1916,1230,1827044,29.35,-99.76,4037,78.68,,,,,,,10.6,12.17,,,5.89,22.77,13.35,7.85,6.67,,6.28,,24.34,5.89,11.38,,38.47,8.24,,10.644444,0.444444,21.755556,0.0,,0.161111,48.391861
US_TX_48463,2020-01-05,ChIJ9yBHsvPnXoYREQVXD4uXaHE,Q26697,geoId/48463,US,United States of America,TX,Texas,48463,Uvalde County,US,USA,2,,,,,,,27043,13229,13814,4109,4232,3868,3156,3003,2826,2703,1916,1230,1827044,29.35,-99.76,4037,78.68,,,,,,5.88,7.06,18.82,10.59,5.88,,19.61,12.94,9.02,7.06,9.41,,,24.31,,8.23,9.02,38.04,,8.63,12.294444,1.577778,24.233333,0.0,,-0.633333,41.217445
US_TX_48463,2020-01-06,ChIJ9yBHsvPnXoYREQVXD4uXaHE,Q26697,geoId/48463,US,United States of America,TX,Texas,48463,Uvalde County,US,USA,2,,,,,,,27043,13229,13814,4109,4232,3868,3156,3003,2826,2703,1916,1230,1827044,29.35,-99.76,4037,78.68,,,,,,,9.54,19.76,7.5,,6.13,17.04,14.65,4.77,5.45,,7.16,6.13,24.88,5.45,9.54,,36.46,8.18,9.54,12.822222,3.233333,25.144444,0.0,,1.783333,47.82652
US_TX_48463,2020-01-07,ChIJ9yBHsvPnXoYREQVXD4uXaHE,Q26697,geoId/48463,US,United States of America,TX,Texas,48463,Uvalde County,US,USA,2,,,,,,,27043,13229,13814,4109,4232,3868,3156,3003,2826,2703,1916,1230,1827044,29.35,-99.76,4037,78.68,,,,,,4.38,10.95,18.14,6.57,,,15.64,11.26,9.38,,6.88,4.69,7.51,21.27,10.01,4.69,4.69,35.34,6.25,4.69,13.35,1.922222,22.033333,0.0,,-4.722222,28.333568
US_TX_48463,2020-01-08,ChIJ9yBHsvPnXoYREQVXD4uXaHE,Q26697,geoId/48463,US,United States of America,TX,Texas,48463,Uvalde County,US,USA,2,,,,,,,27043,13229,13814,4109,4232,3868,3156,3003,2826,2703,1916,1230,1827044,29.35,-99.76,4037,78.68,,,,,,5.91,4.43,20.1,6.8,5.91,4.43,18.03,10.35,8.57,,5.32,,9.46,32.52,7.98,6.5,5.91,36.06,19.81,,9.761111,1.494444,20.322222,0.0,,-2.377778,43.073979
US_TX_48463,2020-01-09,ChIJ9yBHsvPnXoYREQVXD4uXaHE,Q26697,geoId/48463,US,United States of America,TX,Texas,48463,Uvalde County,US,USA,2,,,,,,,27043,13229,13814,4109,4232,3868,3156,3003,2826,2703,1916,1230,1827044,29.35,-99.76,4037,78.68,,,,,,6.76,6.14,10.14,7.99,,,19.66,8.91,11.37,,6.76,,8.6,32.26,6.45,7.37,6.76,33.8,14.13,5.22,18.566667,15.75,23.75,0.0,,13.2,71.130965
US_TX_48463,2020-01-10,ChIJ9yBHsvPnXoYREQVXD4uXaHE,Q26697,geoId/48463,US,United States of America,TX,Texas,48463,Uvalde County,US,USA,2,,,,,,,27043,13229,13814,4109,4232,3868,3156,3003,2826,2703,1916,1230,1827044,29.35,-99.76,4037,78.68,,,,,,4.19,5.09,14.37,,,4.19,13.47,10.78,5.69,5.39,5.69,,7.48,21.85,,9.58,,35.32,7.78,4.79,19.994444,14.933333,27.061111,0.0,,15.033333,73.431686
