location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17135,2020-01-01,ChIJMacrbdGrdYgRJ1ia7Mbu1iY,Q488492,geoId/17135,US,United States of America,IL,Illinois,17135,Montgomery County,US,USA,2,,,,,,,28781,15103,13678,3132,3245,3490,3577,3463,4164,3745,2258,1707,1800579,39.23,-89.48,1838,76.0375,,,,,10.25,11.89,9.43,8.61,7.79,23.37,9.02,,8.2,22.96,,7.38,43.05,,,3.12963,-2.438272,10.944444,0.0,,-2.771605,66.173383
US_IL_17135,2020-01-02,ChIJMacrbdGrdYgRJ1ia7Mbu1iY,Q488492,geoId/17135,US,United States of America,IL,Illinois,17135,Montgomery County,US,USA,2,,,,,,,28781,15103,13678,3132,3245,3490,3577,3463,4164,3745,2258,1707,1800579,39.23,-89.48,1838,76.0375,,,,,10.31,11.5,7.14,,7.14,10.71,11.11,,10.31,24.59,,10.71,49.98,6.74,,6.839506,3.296296,11.407407,0.0,,0.314815,64.224838
US_IL_17135,2020-01-03,ChIJMacrbdGrdYgRJ1ia7Mbu1iY,Q488492,geoId/17135,US,United States of America,IL,Illinois,17135,Montgomery County,US,USA,2,,,,,,,28781,15103,13678,3132,3245,3490,3577,3463,4164,3745,2258,1707,1800579,39.23,-89.48,1838,76.0375,,,,,8.9,10.84,6.19,,6.19,15.09,8.9,,,32.12,,6.58,48.37,,6.19,5.746914,2.574074,8.537037,0.036286,,4.561728,92.356571
US_IL_17135,2020-01-04,ChIJMacrbdGrdYgRJ1ia7Mbu1iY,Q488492,geoId/17135,US,United States of America,IL,Illinois,17135,Montgomery County,US,USA,2,,,,,,,28781,15103,13678,3132,3245,3490,3577,3463,4164,3745,2258,1707,1800579,39.23,-89.48,1838,76.0375,,,,,8.13,7.72,6.91,,6.1,15.86,9.35,,8.54,26.02,6.5,8.54,41.88,5.69,6.1,1.703704,-0.123457,3.716049,0.0635,,-0.697531,84.452577
US_IL_17135,2020-01-05,ChIJMacrbdGrdYgRJ1ia7Mbu1iY,Q488492,geoId/17135,US,United States of America,IL,Illinois,17135,Montgomery County,US,USA,2,,,,,,,28781,15103,13678,3132,3245,3490,3577,3463,4164,3745,2258,1707,1800579,39.23,-89.48,1838,76.0375,,,,,8.46,15.31,7.25,7.65,,16.52,7.65,,6.45,24.98,6.04,6.45,43.91,11.68,6.45,1.808642,-3.493827,10.783951,0.084667,,-3.253086,69.641507
US_IL_17135,2020-01-06,ChIJMacrbdGrdYgRJ1ia7Mbu1iY,Q488492,geoId/17135,US,United States of America,IL,Illinois,17135,Montgomery County,US,USA,2,,,,,,,28781,15103,13678,3132,3245,3490,3577,3463,4164,3745,2258,1707,1800579,39.23,-89.48,1838,76.0375,,,,,11.26,9.8,7.63,,8.72,14.53,10.53,,9.08,28.32,7.26,7.26,42.12,8.72,7.63,2.635802,-3.746914,8.382716,0.0,,-4.574074,59.700371
US_IL_17135,2020-01-07,ChIJMacrbdGrdYgRJ1ia7Mbu1iY,Q488492,geoId/17135,US,United States of America,IL,Illinois,17135,Montgomery County,US,USA,2,,,,,,,28781,15103,13678,3132,3245,3490,3577,3463,4164,3745,2258,1707,1800579,39.23,-89.48,1838,76.0375,,,,,7.47,12.22,7.47,6.45,5.77,11.88,8.83,,9.85,26.82,6.45,4.75,38.7,7.81,4.75,1.753086,-3.506173,7.283951,0.0,,-3.938272,66.432436
US_IL_17135,2020-01-08,ChIJMacrbdGrdYgRJ1ia7Mbu1iY,Q488492,geoId/17135,US,United States of America,IL,Illinois,17135,Montgomery County,US,USA,2,,,,,,,28781,15103,13678,3132,3245,3490,3577,3463,4164,3745,2258,1707,1800579,39.23,-89.48,1838,76.0375,,,,,7.07,9.09,6.06,9.09,7.41,15.16,8.08,,12.46,26.61,6.06,7.75,42.1,11.45,7.41,0.950617,-2.87037,4.833333,0.0,,-7.462963,53.964028
US_IL_17135,2020-01-09,ChIJMacrbdGrdYgRJ1ia7Mbu1iY,Q488492,geoId/17135,US,United States of America,IL,Illinois,17135,Montgomery County,US,USA,2,,,,,,,28781,15103,13678,3132,3245,3490,3577,3463,4164,3745,2258,1707,1800579,39.23,-89.48,1838,76.0375,,,,,8.94,9.27,8.27,7.61,,12.57,10.92,,7.61,22.5,,,40.37,8.6,,6.339506,0.191358,12.407407,0.1905,,-1.932099,56.497708
US_IL_17135,2020-01-10,ChIJMacrbdGrdYgRJ1ia7Mbu1iY,Q488492,geoId/17135,US,United States of America,IL,Illinois,17135,Montgomery County,US,USA,2,,,,,,,28781,15103,13678,3132,3245,3490,3577,3463,4164,3745,2258,1707,1800579,39.23,-89.48,1838,76.0375,,,,,7.09,7.09,6.12,8.38,,10.95,10.31,,6.44,22.87,9.02,6.76,38.33,4.83,4.83,11.833333,9.617284,14.487654,20.066,,10.524691,92.014967
