location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MS_28151,2020-01-01,ChIJo_jQcb-9K4YRiLgoHJtcQ7w,Q484643,geoId/28151,US,United States of America,MS,Mississippi,28151,Washington County,US,USA,2,,,,,,,46197,21461,24736,6802,6345,6159,5366,5155,6132,5865,2843,1530,1828966,33.29,-90.95,1972,72.268421,,,,,3.68,7.6,3.91,7.37,5.76,4.61,,4.61,15.66,5.07,11.74,3.45,5.76,,4.83,5.07,,3.45,4.61,7.37,24.64,4.61,8.06,,3.68,5.07,32.23,3.22,7.83,5.3,3.45,5.07,6.034722,1.527778,12.1875,0.0,0.52381,66.561532
US_MS_28151,2020-01-02,ChIJo_jQcb-9K4YRiLgoHJtcQ7w,Q484643,geoId/28151,US,United States of America,MS,Mississippi,28151,Washington County,US,USA,2,,,,,,,46197,21461,24736,6802,6345,6159,5366,5155,6132,5865,2843,1530,1828966,33.29,-90.95,1972,72.268421,,,,,4.09,9.42,4.3,10.03,7.17,5.53,5.12,4.09,19.65,3.48,9.42,4.09,9.83,4.3,4.5,3.69,,3.89,3.27,9.21,26.0,3.89,5.32,3.07,3.69,5.53,29.89,3.89,3.07,6.35,4.91,7.57,11.598765,8.975309,15.358025,6.059714,9.222222,84.671015
US_MS_28151,2020-01-03,ChIJo_jQcb-9K4YRiLgoHJtcQ7w,Q484643,geoId/28151,US,United States of America,MS,Mississippi,28151,Washington County,US,USA,2,,,,,,,46197,21461,24736,6802,6345,6159,5366,5155,6132,5865,2843,1530,1828966,33.29,-90.95,1972,72.268421,,,,,,7.92,,8.77,5.13,4.07,4.28,3.64,14.98,4.07,12.41,4.07,8.35,,6.21,,3.42,5.13,3.64,10.7,20.97,4.28,9.41,3.21,,4.28,26.96,5.99,6.21,4.07,4.07,4.71,14.888889,13.0,17.006173,31.496,14.048611,94.921729
US_MS_28151,2020-01-04,ChIJo_jQcb-9K4YRiLgoHJtcQ7w,Q484643,geoId/28151,US,United States of America,MS,Mississippi,28151,Washington County,US,USA,2,,,,,,,46197,21461,24736,6802,6345,6159,5366,5155,6132,5865,2843,1530,1828966,33.29,-90.95,1972,72.268421,,,,,5.28,6.2,3.44,7.12,5.28,3.9,5.97,4.82,13.09,3.67,8.72,,5.97,3.21,4.36,,5.05,5.28,5.74,6.89,23.65,4.13,6.43,,,,26.86,4.82,5.51,4.82,4.59,5.05,10.697531,5.111111,15.12963,1.608667,5.326389,69.209251
US_MS_28151,2020-01-05,ChIJo_jQcb-9K4YRiLgoHJtcQ7w,Q484643,geoId/28151,US,United States of America,MS,Mississippi,28151,Washington County,US,USA,2,,,,,,,46197,21461,24736,6802,6345,6159,5366,5155,6132,5865,2843,1530,1828966,33.29,-90.95,1972,72.268421,,,,,4.08,6.8,,11.1,7.02,5.21,3.62,4.08,14.27,3.62,9.06,,6.8,,4.53,,3.4,3.85,,6.8,19.71,,6.57,,,4.53,30.59,3.4,4.08,4.98,,4.3,8.777778,2.265432,18.740741,0.0,2.611111,65.457054
US_MS_28151,2020-01-06,ChIJo_jQcb-9K4YRiLgoHJtcQ7w,Q484643,geoId/28151,US,United States of America,MS,Mississippi,28151,Washington County,US,USA,2,,,,,,,46197,21461,24736,6802,6345,6159,5366,5155,6132,5865,2843,1530,1828966,33.29,-90.95,1972,72.268421,,,,,3.69,8.17,,8.75,4.67,7.39,3.69,5.83,11.08,,9.92,2.92,10.7,2.92,3.89,3.11,6.03,4.28,4.67,6.81,27.81,6.22,7.0,,4.47,3.69,35.58,4.67,6.22,4.86,4.28,6.42,11.641975,4.851852,19.932099,0.0,7.9375,78.05588
US_MS_28151,2020-01-07,ChIJo_jQcb-9K4YRiLgoHJtcQ7w,Q484643,geoId/28151,US,United States of America,MS,Mississippi,28151,Washington County,US,USA,2,,,,,,,46197,21461,24736,6802,6345,6159,5366,5155,6132,5865,2843,1530,1828966,33.29,-90.95,1972,72.268421,,,,,4.86,7.11,,7.29,5.05,6.17,2.81,7.48,11.97,4.49,6.54,4.86,9.35,4.3,5.8,,2.62,,3.93,8.41,25.99,7.48,7.85,3.55,,,29.54,5.8,5.24,4.11,5.8,5.24,10.345679,4.37037,16.234568,0.0,2.958333,60.147328
US_MS_28151,2020-01-08,ChIJo_jQcb-9K4YRiLgoHJtcQ7w,Q484643,geoId/28151,US,United States of America,MS,Mississippi,28151,Washington County,US,USA,2,,,,,,,46197,21461,24736,6802,6345,6159,5366,5155,6132,5865,2843,1530,1828966,33.29,-90.95,1972,72.268421,,,,,4.55,6.19,,11.28,5.28,,4.37,2.55,12.19,3.82,8.92,4.37,6.55,,2.73,,4.73,3.82,3.82,8.73,31.12,4.0,9.28,2.55,5.28,4.91,31.3,2.73,13.47,4.18,2.91,5.46,7.358025,0.246914,17.753086,0.0,-0.159722,58.135934
US_MS_28151,2020-01-09,ChIJo_jQcb-9K4YRiLgoHJtcQ7w,Q484643,geoId/28151,US,United States of America,MS,Mississippi,28151,Washington County,US,USA,2,,,,,,,46197,21461,24736,6802,6345,6159,5366,5155,6132,5865,2843,1530,1828966,33.29,-90.95,1972,72.268421,,,,,4.47,4.65,,7.16,6.26,5.37,4.29,3.4,9.84,2.86,6.62,3.04,6.8,3.22,5.37,3.94,4.29,4.83,3.22,5.55,29.52,3.58,6.98,3.58,4.12,11.09,29.7,4.47,10.02,3.76,5.01,5.19,11.567901,4.858025,20.04321,0.0,4.5,61.758005
US_MS_28151,2020-01-10,ChIJo_jQcb-9K4YRiLgoHJtcQ7w,Q484643,geoId/28151,US,United States of America,MS,Mississippi,28151,Washington County,US,USA,2,,,,,,,46197,21461,24736,6802,6345,6159,5366,5155,6132,5865,2843,1530,1828966,33.29,-90.95,1972,72.268421,,,,,,5.86,5.49,7.14,6.22,3.11,2.93,4.58,10.62,3.66,5.49,,8.61,,5.31,3.11,3.11,5.68,4.76,7.14,23.62,2.75,7.87,,3.11,6.22,30.39,4.03,5.31,5.68,3.66,4.76,18.425926,16.277778,21.432099,0.211667,15.583333,84.360039
