location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ND_38009,2020-01-01,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,,-1.444444,-7.012346,2.419753,0.296333,99.06,-3.234568,87.805454
US_ND_38009,2020-01-02,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,,-2.006173,-4.222222,0.049383,0.181429,64.77,-3.382716,90.411076
US_ND_38009,2020-01-03,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,34.23,-4.5,-8.302469,-1.962963,0.211667,74.93,-6.950617,83.089613
US_ND_38009,2020-01-04,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,,-6.154321,-12.271605,0.839506,0.0,119.38,-8.185185,85.76315
US_ND_38009,2020-01-05,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,,-0.617284,-5.104938,4.549383,0.0,99.06,-5.308642,70.731674
US_ND_38009,2020-01-06,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,,-5.111111,-9.049383,-0.080247,0.0,99.06,-8.62963,76.677066
US_ND_38009,2020-01-07,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,42.42,-11.592593,-18.030864,-3.32716,0.0,99.06,-16.111111,69.31014
US_ND_38009,2020-01-08,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,41.67,-16.965278,-21.770833,-12.25,0.0,99.06,-20.180556,76.172227
US_ND_38009,2020-01-09,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,51.01,-12.263889,-14.958333,-8.875,0.338667,99.06,-15.145833,79.167989
US_ND_38009,2020-01-10,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,,-20.067901,-24.308642,-14.024691,0.0,109.22,-24.203704,69.624906
US_ND_38009,2020-01-11,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,59.39,-19.049383,-23.58642,-13.697531,0.0,109.22,-22.617284,73.474243
US_ND_38009,2020-01-12,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,,-13.104938,-14.623457,-10.240741,0.0,109.22,-16.703704,74.45083
US_ND_38009,2020-01-13,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,47.41,-13.527778,-16.8125,-10.673611,0.0,109.22,-15.833333,82.780782
US_ND_38009,2020-01-14,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,,-21.944444,-26.666667,-15.125,0.169333,139.7,-25.902778,70.306515
US_ND_38009,2020-01-15,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,40.42,-24.425926,-28.290123,-21.641975,0.169333,139.7,-28.703704,67.66442
US_ND_38009,2020-01-16,ChIJe9HAxjyF3lIRUw_nN7Puf-w,Q29124,geoId/38009,US,United States of America,ND,North Dakota,38009,Bottineau County,US,USA,2,,,,,,,6522,3365,3157,767,827,698,662,623,900,1032,612,401,1740273,48.79,-100.84,4397,81.333333,,,,-27.932099,-32.283951,-21.759259,0.0,119.38,-32.654321,64.006612
