location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_VA_51047,2020-01-01,ChIJH_FS1XiCtokRmgRQDbYVQhw,Q495154,geoId/51047,US,United States of America,VA,Virginia,51047,Culpeper County,US,USA,2,,,,,,,51235,25616,25619,6905,7085,5770,6467,6695,7364,5809,3495,1645,2534173,38.49,-77.96,990,78.2,,,,,2.76,5.8,8.99,6.24,9.28,7.11,4.5,,3.05,6.38,4.64,2.61,2.61,,16.39,2.76,10.44,3.92,4.5,2.76,7.69,5.37,2.32,2.76,3.19,4.64,3.77,4.35,4.79,6.67,3.77,5.22,21.32,4.93,3.63,5.22,2.76,3.63,6.67,,5.22,37.71,2.76,2.76,4.35,2.32,2.03,5.51,4.21,3.63,2.18,4.5,3.48,2.03,4.677778,-2.094444,11.705556,0.0,-2.705556,59.649242
US_VA_51047,2020-01-02,ChIJH_FS1XiCtokRmgRQDbYVQhw,Q495154,geoId/51047,US,United States of America,VA,Virginia,51047,Culpeper County,US,USA,2,,,,,,,51235,25616,25619,6905,7085,5770,6467,6695,7364,5809,3495,1645,2534173,38.49,-77.96,990,78.2,,,,,,5.69,7.21,4.44,11.79,7.63,6.1,2.08,,6.38,3.88,2.91,,,18.86,3.88,11.65,5.13,4.58,3.33,8.04,5.27,3.74,2.22,4.71,4.3,,4.02,5.96,4.85,4.16,8.74,21.63,5.13,3.33,6.38,4.71,4.58,4.16,,6.79,39.52,2.36,2.91,4.99,2.22,1.94,6.38,3.47,4.85,4.58,4.3,4.02,,2.8,-3.983333,12.872222,0.0,-2.820988,67.063965
US_VA_51047,2020-01-03,ChIJH_FS1XiCtokRmgRQDbYVQhw,Q495154,geoId/51047,US,United States of America,VA,Virginia,51047,Culpeper County,US,USA,2,,,,,,,51235,25616,25619,6905,7085,5770,6467,6695,7364,5809,3495,1645,2534173,38.49,-77.96,990,78.2,,,,,,4.1,9.15,3.82,10.1,8.74,4.5,1.91,2.59,4.1,4.37,2.32,1.91,,16.25,3.28,9.15,,4.64,,8.46,3.28,2.46,,4.5,4.37,3.0,3.41,4.78,5.46,2.87,6.69,24.44,7.37,3.96,6.01,,4.5,6.14,,5.19,39.32,,4.92,6.83,3.41,1.91,3.69,3.82,4.64,3.14,,3.0,,10.072222,8.0,11.972222,2.54,6.422222,78.267752
US_VA_51047,2020-01-04,ChIJH_FS1XiCtokRmgRQDbYVQhw,Q495154,geoId/51047,US,United States of America,VA,Virginia,51047,Culpeper County,US,USA,2,,,,,,,51235,25616,25619,6905,7085,5770,6467,6695,7364,5809,3495,1645,2534173,38.49,-77.96,990,78.2,,,,,2.97,4.95,7.21,4.24,6.08,6.78,5.23,2.4,2.69,6.36,3.39,3.53,,2.54,16.67,2.97,11.59,3.53,2.83,3.25,8.34,4.95,2.4,3.25,3.81,4.38,,3.53,4.66,5.51,,6.92,22.75,6.5,,8.34,,3.81,5.93,2.12,3.96,35.61,3.81,2.83,7.63,,2.26,4.1,3.81,3.81,,3.11,3.25,2.12,12.272222,8.977778,16.188889,3.955143,11.194444,93.285602
US_VA_51047,2020-01-05,ChIJH_FS1XiCtokRmgRQDbYVQhw,Q495154,geoId/51047,US,United States of America,VA,Virginia,51047,Culpeper County,US,USA,2,,,,,,,51235,25616,25619,6905,7085,5770,6467,6695,7364,5809,3495,1645,2534173,38.49,-77.96,990,78.2,,,,,3.58,5.73,7.45,4.73,9.17,7.02,5.3,,2.29,7.17,4.16,3.01,,3.15,15.05,,10.03,2.58,6.16,2.15,6.45,4.87,,2.44,4.44,6.45,2.44,3.73,5.59,4.01,3.3,7.17,19.49,3.87,4.01,7.31,2.72,5.16,5.16,2.44,6.02,33.82,2.72,4.44,5.3,3.44,,4.3,4.73,2.87,2.44,2.44,2.87,2.87,6.227778,0.877778,12.0,8.636,-1.7,57.130974
US_VA_51047,2020-01-06,ChIJH_FS1XiCtokRmgRQDbYVQhw,Q495154,geoId/51047,US,United States of America,VA,Virginia,51047,Culpeper County,US,USA,2,,,,,,,51235,25616,25619,6905,7085,5770,6467,6695,7364,5809,3495,1645,2534173,38.49,-77.96,990,78.2,,,,,,3.13,6.01,3.66,10.06,7.31,4.7,2.09,2.09,6.92,3.53,2.74,,3.53,15.8,,9.14,3.0,3.53,2.22,7.57,2.87,2.74,2.48,4.31,3.27,3.53,3.92,4.7,3.79,3.53,5.49,22.85,4.7,3.66,5.75,3.53,5.09,3.92,2.35,4.44,33.04,,3.66,4.18,3.0,2.87,4.44,2.35,3.79,3.0,3.79,4.44,2.74,3.733333,-2.6,12.822222,0.0254,-3.455556,60.1069
US_VA_51047,2020-01-07,ChIJH_FS1XiCtokRmgRQDbYVQhw,Q495154,geoId/51047,US,United States of America,VA,Virginia,51047,Culpeper County,US,USA,2,,,,,,,51235,25616,25619,6905,7085,5770,6467,6695,7364,5809,3495,1645,2534173,38.49,-77.96,990,78.2,,,,,2.73,3.97,5.83,,9.55,7.81,4.46,1.74,2.48,5.08,3.22,,1.86,,16.12,3.35,8.68,2.11,4.21,2.73,6.32,4.09,1.98,,3.97,2.85,2.85,2.85,3.6,3.72,,5.08,21.08,3.72,2.11,5.7,2.6,2.11,3.72,,3.84,27.15,3.35,2.23,4.34,,2.48,4.83,3.35,2.11,2.85,3.72,2.48,2.11,-0.394444,-4.105556,5.566667,5.672667,-3.816667,78.31486
US_VA_51047,2020-01-08,ChIJH_FS1XiCtokRmgRQDbYVQhw,Q495154,geoId/51047,US,United States of America,VA,Virginia,51047,Culpeper County,US,USA,2,,,,,,,51235,25616,25619,6905,7085,5770,6467,6695,7364,5809,3495,1645,2534173,38.49,-77.96,990,78.2,,,,,2.5,4.44,8.18,3.33,10.26,5.96,6.52,2.77,2.22,6.1,4.58,4.86,,4.44,15.67,3.47,9.15,3.61,4.99,3.05,8.18,3.75,2.91,2.63,4.02,4.72,3.33,4.72,6.1,5.13,3.47,7.91,25.24,5.96,2.91,4.16,3.47,3.75,3.61,2.36,6.52,33.57,3.33,3.88,10.26,3.19,2.5,4.86,5.27,4.44,3.47,2.36,3.75,,1.611111,-4.672222,8.4,2.3114,-4.288889,65.504433
US_VA_51047,2020-01-09,ChIJH_FS1XiCtokRmgRQDbYVQhw,Q495154,geoId/51047,US,United States of America,VA,Virginia,51047,Culpeper County,US,USA,2,,,,,,,51235,25616,25619,6905,7085,5770,6467,6695,7364,5809,3495,1645,2534173,38.49,-77.96,990,78.2,,,,,2.6,4.67,7.26,3.11,7.91,5.71,4.28,2.46,4.15,4.93,3.76,3.24,,,12.46,3.5,10.25,2.6,5.19,2.33,8.69,4.15,1.82,2.08,5.97,4.15,3.24,2.98,5.06,3.37,2.6,6.49,24.65,6.36,3.5,5.45,2.73,3.37,2.73,2.33,5.06,36.85,2.73,3.76,7.78,3.24,2.21,5.84,3.89,4.54,1.82,3.89,2.73,,-0.588889,-6.266667,6.422222,0.0,-7.733333,58.945989
US_VA_51047,2020-01-10,ChIJH_FS1XiCtokRmgRQDbYVQhw,Q495154,geoId/51047,US,United States of America,VA,Virginia,51047,Culpeper County,US,USA,2,,,,,,,51235,25616,25619,6905,7085,5770,6467,6695,7364,5809,3495,1645,2534173,38.49,-77.96,990,78.2,,,,,,2.39,6.04,3.15,7.3,4.66,5.16,,2.01,3.52,3.9,2.64,1.89,,11.83,3.9,5.54,3.9,3.78,2.27,11.2,5.16,,2.77,6.04,4.78,2.64,2.77,3.65,2.9,2.01,6.67,20.9,5.92,1.76,6.67,,3.52,2.39,1.76,5.04,33.11,,2.9,4.28,2.9,2.27,5.54,3.65,3.9,1.89,2.39,,2.9,5.15,-2.705556,14.394444,0.0,-0.238889,68.409163
