location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13085,2020-01-01,ChIJCdyaM46B9YgRRGn6aS0YOzE,Q492032,geoId/13085,US,United States of America,GA,Georgia,13085,Dawson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24406,12137,12269,2626,2930,2812,2769,3119,3661,3337,2358,794,1026131,34.44,-84.17,554,77.033333,,,,,,7.31,8.93,12.18,6.22,10.01,,22.19,12.72,4.33,,,,8.39,,,6.5,23.28,7.04,8.39,,3.79,40.06,5.14,7.04,,,3.79,6.111111,0.838889,12.561111,0.0,-3.872222,48.898596
US_GA_13085,2020-01-02,ChIJCdyaM46B9YgRRGn6aS0YOzE,Q492032,geoId/13085,US,United States of America,GA,Georgia,13085,Dawson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24406,12137,12269,2626,2930,2812,2769,3119,3661,3337,2358,794,1026131,34.44,-84.17,554,77.033333,,,,,,4.05,10.54,13.51,5.94,6.49,4.32,22.16,12.43,3.78,5.94,4.05,5.67,7.03,5.94,6.21,9.46,20.53,4.05,8.11,6.49,5.67,41.07,5.13,7.29,5.67,,4.86,6.288889,2.433333,10.75,8.309429,2.161111,75.093296
US_GA_13085,2020-01-03,ChIJCdyaM46B9YgRRGn6aS0YOzE,Q492032,geoId/13085,US,United States of America,GA,Georgia,13085,Dawson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24406,12137,12269,2626,2930,2812,2769,3119,3661,3337,2358,794,1026131,34.44,-84.17,554,77.033333,,,,,,7.2,8.53,11.73,9.86,6.93,3.73,17.06,9.33,,5.86,6.4,5.33,,,3.73,5.6,25.05,6.13,6.13,4.8,4.8,34.92,4.26,5.33,5.06,5.06,,10.627778,6.894444,14.655556,29.173714,10.244444,97.54336
US_GA_13085,2020-01-04,ChIJCdyaM46B9YgRRGn6aS0YOzE,Q492032,geoId/13085,US,United States of America,GA,Georgia,13085,Dawson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24406,12137,12269,2626,2930,2812,2769,3119,3661,3337,2358,794,1026131,34.44,-84.17,554,77.033333,,,,,,5.6,6.4,9.6,7.2,4.8,7.46,10.66,7.73,3.73,6.13,,5.07,,,3.73,5.87,22.66,5.6,7.73,4.8,4.26,33.86,5.07,5.87,4.26,4.8,8.26,12.088889,5.75,14.183333,26.035,8.955556,81.267541
US_GA_13085,2020-01-05,ChIJCdyaM46B9YgRRGn6aS0YOzE,Q492032,geoId/13085,US,United States of America,GA,Georgia,13085,Dawson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24406,12137,12269,2626,2930,2812,2769,3119,3661,3337,2358,794,1026131,34.44,-84.17,554,77.033333,,,,,,6.18,12.93,10.68,4.78,,7.31,16.3,9.84,,7.31,4.22,,8.15,,,8.43,17.99,5.06,10.12,5.34,4.5,38.78,,6.18,5.34,4.5,,4.433333,-0.138889,11.805556,0.66675,-2.788889,59.496487
US_GA_13085,2020-01-06,ChIJCdyaM46B9YgRRGn6aS0YOzE,Q492032,geoId/13085,US,United States of America,GA,Georgia,13085,Dawson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24406,12137,12269,2626,2930,2812,2769,3119,3661,3337,2358,794,1026131,34.44,-84.17,554,77.033333,,,,,,5.34,10.13,10.97,6.19,4.5,5.34,15.47,10.13,,7.88,,,4.78,5.91,,13.5,20.25,8.16,10.41,5.06,5.63,42.76,4.78,6.47,7.88,,,6.65,-0.361111,15.611111,0.0,-0.233333,61.690992
US_GA_13085,2020-01-07,ChIJCdyaM46B9YgRRGn6aS0YOzE,Q492032,geoId/13085,US,United States of America,GA,Georgia,13085,Dawson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24406,12137,12269,2626,2930,2812,2769,3119,3661,3337,2358,794,1026131,34.44,-84.17,554,77.033333,,,,,,,5.32,13.3,8.78,9.05,5.32,17.56,12.24,,7.98,,5.06,4.79,3.99,4.79,9.05,21.55,5.85,5.32,4.79,5.32,39.65,,6.12,4.26,3.99,4.52,9.644444,3.772222,14.094444,0.550333,2.244444,60.07359
US_GA_13085,2020-01-08,ChIJCdyaM46B9YgRRGn6aS0YOzE,Q492032,geoId/13085,US,United States of America,GA,Georgia,13085,Dawson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24406,12137,12269,2626,2930,2812,2769,3119,3661,3337,2358,794,1026131,34.44,-84.17,554,77.033333,,,,,,,8.9,5.94,6.21,6.48,5.94,22.39,9.17,7.83,8.36,4.05,5.13,,3.78,,10.25,32.92,7.83,8.36,4.32,6.21,45.06,4.05,13.49,6.48,,,7.055556,0.061111,15.172222,0.0508,-3.744444,46.424133
US_GA_13085,2020-01-09,ChIJCdyaM46B9YgRRGn6aS0YOzE,Q492032,geoId/13085,US,United States of America,GA,Georgia,13085,Dawson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24406,12137,12269,2626,2930,2812,2769,3119,3661,3337,2358,794,1026131,34.44,-84.17,554,77.033333,,,,,,3.65,7.29,7.55,8.86,7.81,3.65,14.59,7.81,,9.38,,10.16,6.51,4.43,3.65,9.38,25.26,4.69,5.99,,7.55,34.38,4.95,12.24,5.99,5.73,,7.35,-0.544444,16.255556,0.0,-1.027778,55.463528
US_GA_13085,2020-01-10,ChIJCdyaM46B9YgRRGn6aS0YOzE,Q492032,geoId/13085,US,United States of America,GA,Georgia,13085,Dawson County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24406,12137,12269,2626,2930,2812,2769,3119,3661,3337,2358,794,1026131,34.44,-84.17,554,77.033333,,,,,,8.77,9.03,10.09,8.23,5.84,6.91,17.53,8.5,3.98,9.83,4.25,,5.84,4.25,,10.36,24.17,7.17,,3.98,6.38,39.58,3.72,5.31,5.05,6.64,,13.055556,8.938889,17.55,0.0,5.4,59.958263
