location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13023,2020-01-01,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,,24.82,30.14,8.755556,2.694444,16.088889,0.0,-0.9,51.015756
US_GA_13023,2020-01-02,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,,24.7,34.92,10.322222,4.883333,17.183333,0.254,5.2,71.284742
US_GA_13023,2020-01-03,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,,31.77,30.93,20.011111,12.983333,26.911111,4.8768,15.927778,77.595606
US_GA_13023,2020-01-04,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,,20.82,31.68,17.261111,13.238889,22.933333,8.805333,13.844444,80.440434
US_GA_13023,2020-01-05,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,,22.59,52.14,7.888889,1.711111,15.677778,0.0254,-1.516667,51.634743
US_GA_13023,2020-01-06,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,11.7,27.04,25.58,8.888889,2.083333,19.083333,0.0,2.511111,64.575318
US_GA_13023,2020-01-07,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,,15.26,41.33,11.266667,4.988889,18.622222,0.0,5.261111,66.740173
US_GA_13023,2020-01-08,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,9.99,29.98,25.86,8.688889,0.227778,17.938889,0.0,-1.944444,47.676002
US_GA_13023,2020-01-09,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,12.16,24.92,34.65,8.377778,-0.138889,20.8,0.0,2.433333,66.373788
US_GA_13023,2020-01-10,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,,25.04,31.76,16.966667,12.366667,23.427778,0.0,11.577778,70.617118
US_GA_13023,2020-01-11,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,,24.24,40.15,20.011111,16.177778,24.266667,0.4445,17.444444,85.275363
US_GA_13023,2020-01-12,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,,14.66,38.12,18.838889,15.994444,23.316667,33.655,17.361111,91.228282
US_GA_13023,2020-01-13,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,11.82,23.08,43.92,19.544444,17.177778,23.022222,1.058333,18.766667,95.339753
US_GA_13023,2020-01-14,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,12.92,23.49,42.86,19.6,16.755556,24.377778,0.435429,17.977778,90.566868
US_GA_13023,2020-01-15,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,9.71,23.99,43.98,18.888889,16.194444,24.25,2.032,16.872222,88.202984
US_GA_13023,2020-01-16,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,12.85,24.47,31.82,19.544444,16.522222,24.538889,3.386667,15.727778,78.709864
US_GA_13023,2020-01-17,ChIJKVxd_W9r8YgRxt1vFh91Xow,Q486843,geoId/13023,US,United States of America,GA,Georgia,13023,Bleckley County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12764,6110,6654,1395,2040,1831,1396,1445,1760,1368,944,585,1027981,32.44,-83.33,568,75.533333,,,,,,14.36,40.59,12.894444,7.916667,19.655556,0.0,-0.972222,38.534487
