location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27083,2020-01-01,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,12.08,6.21,7.25,,5.18,22.79,10.7,,,4.83,8.63,6.91,10.01,29.0,,7.59,,7.94,39.01,,7.25,7.25,,-4.744444,-9.794444,1.022222,0.0762,-7.622222,80.477363
US_MN_27083,2020-01-02,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,9.1,9.98,7.34,5.28,7.04,19.08,9.39,6.16,5.28,6.46,5.58,5.28,4.7,24.07,6.75,8.81,,4.11,34.34,,7.04,4.99,,0.35,-1.433333,1.994444,0.0,-1.633333,86.619624
US_MN_27083,2020-01-03,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,7.5,5.48,9.81,5.48,6.64,19.62,12.12,5.48,9.81,5.77,8.08,,5.48,33.47,7.79,5.48,,4.62,30.3,,5.19,,,-0.711111,-4.205556,1.411111,0.254,-1.855556,92.032017
US_MN_27083,2020-01-04,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,6.24,8.8,5.14,,5.87,,19.81,11.74,,7.34,,11.74,,5.87,27.52,,9.54,,,33.75,,,,,-6.827778,-13.155556,-2.033333,0.072571,-8.922222,85.094137
US_MN_27083,2020-01-05,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,8.29,,9.33,,8.98,22.12,9.33,5.18,6.22,4.84,,5.18,,24.19,6.91,8.29,,10.71,39.4,4.84,,6.91,,0.761111,-3.933333,4.166667,0.0,-3.211111,74.87236
US_MN_27083,2020-01-06,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,9.06,6.95,9.67,4.53,8.16,18.13,9.67,,9.06,5.14,4.53,,7.55,26.28,5.74,4.23,,5.14,35.34,,6.34,5.14,,-2.7,-6.405556,2.177778,0.0,-6.227778,76.872251
US_MN_27083,2020-01-07,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,6.49,6.19,13.27,8.26,4.13,,24.19,9.44,5.6,6.78,5.01,,5.31,6.19,25.96,6.19,4.42,4.13,5.01,33.63,,,4.42,5.31,-4.35,-11.455556,0.344444,0.0,-7.388889,79.44441
US_MN_27083,2020-01-08,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,5.9,10.91,9.14,4.72,4.13,,22.12,14.15,4.72,10.91,5.31,4.13,,7.96,31.26,5.01,4.72,4.72,,29.49,4.42,11.21,4.42,,-15.066667,-19.127778,-10.883333,0.0,-18.566667,74.656287
US_MN_27083,2020-01-09,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,4.77,,7.16,8.95,,7.45,19.98,8.95,4.17,8.95,,6.26,,5.07,35.48,7.45,6.26,5.07,4.17,36.97,,10.14,,,-5.966667,-11.788889,-1.622222,0.0,-8.905556,79.730321
US_MN_27083,2020-01-10,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,8.14,6.1,5.52,5.52,5.23,16.85,8.14,4.07,7.26,4.65,5.52,4.07,,26.44,6.68,5.52,,5.52,27.6,,7.84,5.81,6.1,-10.072222,-16.144444,-4.983333,0.0,-13.294444,77.376274
