location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KS_20057,2020-01-01,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,8.05,9.8,5.25,10.15,11.55,4.9,,7.0,18.9,10.85,5.95,5.25,6.3,4.9,,,,6.65,24.5,7.7,7.35,,,6.3,39.19,6.3,8.05,5.95,,5.95,0.790123,-6.746914,12.58642,0.0,,-5.234568,64.299262
US_KS_20057,2020-01-02,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,12.12,8.61,6.7,6.7,5.42,,5.74,,20.1,12.12,6.06,10.53,,,7.66,,,5.1,28.07,8.61,8.61,,,5.1,38.28,6.38,7.66,4.47,,5.74,3.808642,-2.203704,10.296296,0.0,,-1.203704,69.966874
US_KS_20057,2020-01-03,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,6.63,12.0,,12.31,7.26,,5.05,5.05,19.57,12.31,,10.1,5.05,4.42,6.31,,,4.42,28.41,7.89,9.79,,,6.63,40.73,4.42,,7.89,,4.74,2.240741,-3.395062,9.567901,0.0,,-2.506173,70.968533
US_KS_20057,2020-01-04,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,6.89,11.02,,6.89,7.92,4.82,6.54,5.86,14.81,10.33,5.51,6.89,,6.54,6.2,5.86,5.86,5.51,24.11,6.89,8.95,,6.54,4.82,41.33,,4.82,,,7.23,2.296296,-5.907407,12.851852,0.0,,-3.62963,64.988547
US_KS_20057,2020-01-05,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,8.7,12.57,,7.41,5.16,5.8,6.12,,21.27,9.03,,,6.12,,4.83,8.38,,,27.4,7.74,6.12,,,7.09,39.32,,,6.12,7.09,6.12,5.320988,-2.111111,11.049383,0.0,,-3.845679,51.705856
US_KS_20057,2020-01-06,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,4.94,10.4,,7.8,6.5,6.76,5.98,,17.17,9.11,4.42,7.28,4.16,5.46,8.06,4.94,4.42,4.68,29.91,4.68,5.2,4.16,7.02,,28.35,4.42,4.94,7.02,,,0.709877,-7.012346,10.753086,0.0,,-6.864198,57.149846
US_KS_20057,2020-01-07,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,6.52,9.39,,8.09,6.26,3.91,4.96,4.17,16.7,9.91,5.48,5.48,5.22,4.17,,3.91,,6.26,21.65,6.26,6.52,,4.17,,40.69,,,7.04,,5.74,1.580247,-6.814815,14.277778,0.0,,-8.222222,48.422903
US_KS_20057,2020-01-08,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,4.56,7.09,4.05,8.87,7.86,6.84,5.07,4.31,14.7,8.62,5.58,7.35,4.31,3.8,,5.83,3.55,6.59,36.24,6.33,6.84,4.82,4.56,5.83,35.98,4.31,15.71,5.58,4.31,5.07,3.018519,-5.308642,15.018519,0.056444,,-6.37037,50.825208
US_KS_20057,2020-01-09,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,5.46,6.5,5.2,7.28,9.1,,5.98,,14.04,7.8,3.64,9.62,7.28,,,4.68,6.76,,30.68,5.72,3.9,7.02,6.24,,32.5,,14.04,5.98,3.9,,6.633333,-1.988889,13.483333,0.0,,-3.527778,48.414391
US_KS_20057,2020-01-10,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,7.07,7.07,,8.33,5.55,,5.05,,12.37,5.8,5.8,9.09,4.04,,4.04,,5.05,,29.28,4.54,5.3,,,4.29,29.28,,7.32,,,3.53,0.944444,-4.15,8.511111,0.22225,,-2.588889,77.413284
US_KS_20057,2020-01-11,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,5.43,7.35,,8.95,,4.48,6.71,5.12,15.03,9.27,,6.39,5.43,,,,,4.79,27.17,6.07,8.63,,,4.48,30.37,5.75,12.15,,,4.48,-6.644444,-12.283333,1.222222,0.1778,,-10.922222,71.77207
US_KS_20057,2020-01-12,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,7.07,10.28,,6.75,8.67,,,,16.38,8.67,6.42,6.75,4.82,6.1,,5.14,,8.35,27.95,6.1,6.42,,6.1,5.14,36.62,,6.1,6.42,4.5,,-2.783333,-9.622222,7.238889,0.0,,-7.355556,71.217236
US_KS_20057,2020-01-13,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,6.75,5.5,,7.75,6.25,3.75,5.5,5.5,14.0,7.75,6.0,9.0,5.0,4.25,3.5,,3.5,7.5,29.75,6.5,5.25,,,8.5,33.0,,8.25,5.75,,,0.755556,-6.6,13.116667,0.0,,-5.211111,65.675056
US_KS_20057,2020-01-14,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,6.53,13.06,,6.78,6.03,,4.77,,14.07,6.53,3.52,7.54,,4.02,5.28,,4.27,3.77,26.13,4.77,5.28,,,3.52,33.92,4.02,5.28,,,3.77,1.611111,-6.877778,12.932099,0.0,,-4.366667,66.904287
US_KS_20057,2020-01-15,ChIJURBxJT7-pocRgrMz2DjZ7EE,Q374422,geoId/20057,US,United States of America,KS,Kansas,20057,Ford County,US,USA,2,,,,,,,34218,17752,16466,6030,5375,5134,4362,3949,4002,2876,1371,1119,1070382,37.7,-99.9,2847,79.942857,,,,,,4.78,9.8,,6.53,8.29,,5.03,5.53,15.58,10.3,3.52,6.79,,5.03,5.28,,4.78,7.54,21.36,5.28,5.78,,5.03,4.52,33.17,,4.27,6.53,3.77,4.27,2.933333,-2.494444,8.433333,0.0,,-3.783333,64.278556
