location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ID_16017,2020-01-01,ChIJ3yj1n4LZY1MR2wl9Ma5gO9I,Q483932,geoId/16017,US,United States of America,ID,Idaho,16017,Bonner County,US,USA,2,,,,,,,43654,21756,21898,4539,4991,3856,4544,4839,6430,8008,4543,1904,1536525,48.29,-116.6,4972,78.9,,,,,,4.49,7.41,7.41,8.54,7.86,4.94,8.31,,13.48,3.15,7.19,,5.17,8.09,6.96,4.49,3.59,,4.27,5.62,3.15,6.51,24.71,9.66,4.94,7.64,,5.17,6.29,48.97,,6.51,7.19,,4.27,3.15,3.265432,-0.993827,5.765432,13.933714,30.48,1.277778,87.164616
US_ID_16017,2020-01-02,ChIJ3yj1n4LZY1MR2wl9Ma5gO9I,Q483932,geoId/16017,US,United States of America,ID,Idaho,16017,Bonner County,US,USA,2,,,,,,,43654,21756,21898,4539,4991,3856,4544,4839,6430,8008,4543,1904,1536525,48.29,-116.6,4972,78.9,,,,,,4.7,8.97,10.68,8.97,9.39,6.83,6.19,6.19,19.43,4.7,11.1,,3.84,9.82,5.34,5.55,3.42,4.06,4.06,4.7,4.48,9.39,26.9,8.11,3.84,6.62,3.63,4.27,6.41,42.91,6.19,6.62,6.62,4.27,2.99,,2.024691,-0.611111,5.617284,2.44475,10.16,-2.481481,72.4552
US_ID_16017,2020-01-03,ChIJ3yj1n4LZY1MR2wl9Ma5gO9I,Q483932,geoId/16017,US,United States of America,ID,Idaho,16017,Bonner County,US,USA,2,,,,,,,43654,21756,21898,4539,4991,3856,4544,4839,6430,8008,4543,1904,1536525,48.29,-116.6,4972,78.9,,,,,,,6.06,5.41,12.55,5.84,7.36,8.22,4.33,16.23,6.71,8.44,,4.76,9.52,5.84,5.2,4.11,6.06,4.11,5.41,3.25,8.44,22.29,6.93,4.11,8.22,3.03,3.25,9.52,43.5,6.71,6.71,5.63,3.03,3.68,,1.611111,-1.438272,6.432099,2.54,10.16,-1.203704,81.873492
US_ID_16017,2020-01-04,ChIJ3yj1n4LZY1MR2wl9Ma5gO9I,Q483932,geoId/16017,US,United States of America,ID,Idaho,16017,Bonner County,US,USA,2,,,,,,,43654,21756,21898,4539,4991,3856,4544,4839,6430,8008,4543,1904,1536525,48.29,-116.6,4972,78.9,,,,,,6.78,7.95,7.25,9.82,7.25,7.71,6.08,3.97,13.56,3.27,6.78,3.27,5.38,5.84,,,3.97,5.38,4.91,4.67,,5.61,27.82,7.01,4.44,5.38,3.74,3.27,5.84,36.93,5.84,5.14,6.08,5.61,4.67,4.44,3.598765,-0.746914,7.148148,0.653143,20.32,-2.506173,65.601167
US_ID_16017,2020-01-05,ChIJ3yj1n4LZY1MR2wl9Ma5gO9I,Q483932,geoId/16017,US,United States of America,ID,Idaho,16017,Bonner County,US,USA,2,,,,,,,43654,21756,21898,4539,4991,3856,4544,4839,6430,8008,4543,1904,1536525,48.29,-116.6,4972,78.9,,,,,,5.39,8.09,8.09,8.58,7.11,8.09,7.84,4.41,12.99,,7.84,,5.64,11.03,4.41,6.86,4.17,3.68,4.41,7.84,3.68,6.13,20.34,7.35,6.62,6.37,4.17,5.39,5.39,50.24,5.64,5.88,6.86,5.64,3.68,,0.635802,-1.685185,6.111111,1.197429,10.16,-3.746914,72.990626
US_ID_16017,2020-01-06,ChIJ3yj1n4LZY1MR2wl9Ma5gO9I,Q483932,geoId/16017,US,United States of America,ID,Idaho,16017,Bonner County,US,USA,2,,,,,,,43654,21756,21898,4539,4991,3856,4544,4839,6430,8008,4543,1904,1536525,48.29,-116.6,4972,78.9,,,,,,4.43,8.45,5.49,9.92,7.6,5.28,5.28,2.96,12.03,3.8,6.54,,4.64,6.97,3.59,4.01,4.01,3.59,5.28,5.07,,7.6,26.18,7.18,4.22,5.28,2.96,,4.64,40.11,4.01,5.49,5.7,4.01,6.33,5.49,0.209877,-1.740741,3.450617,1.669143,23.706667,-1.864198,86.149802
US_ID_16017,2020-01-07,ChIJ3yj1n4LZY1MR2wl9Ma5gO9I,Q483932,geoId/16017,US,United States of America,ID,Idaho,16017,Bonner County,US,USA,2,,,,,,,43654,21756,21898,4539,4991,3856,4544,4839,6430,8008,4543,1904,1536525,48.29,-116.6,4972,78.9,,,,,,4.44,9.69,5.25,13.12,7.07,6.05,8.28,4.84,10.7,3.63,6.86,,7.87,11.1,5.65,5.45,,5.05,3.03,,5.45,5.25,26.64,6.26,4.44,6.05,5.25,5.25,5.85,43.4,5.65,5.85,7.87,6.66,6.26,3.03,3.388889,-0.641975,4.87037,13.570857,129.54,1.518519,88.2361
US_ID_16017,2020-01-08,ChIJ3yj1n4LZY1MR2wl9Ma5gO9I,Q483932,geoId/16017,US,United States of America,ID,Idaho,16017,Bonner County,US,USA,2,,,,,,,43654,21756,21898,4539,4991,3856,4544,4839,6430,8008,4543,1904,1536525,48.29,-116.6,4972,78.9,,,,,,6.97,9.85,5.74,8.82,10.05,,2.87,4.1,9.23,,4.31,,4.1,8.61,4.31,4.1,4.92,3.08,4.92,3.08,4.31,8.2,32.82,5.13,,7.79,4.51,3.08,6.36,37.74,5.74,9.64,4.92,4.72,4.51,,2.716049,0.604938,5.209877,5.950857,78.74,-0.209877,81.611416
US_ID_16017,2020-01-09,ChIJ3yj1n4LZY1MR2wl9Ma5gO9I,Q483932,geoId/16017,US,United States of America,ID,Idaho,16017,Bonner County,US,USA,2,,,,,,,43654,21756,21898,4539,4991,3856,4544,4839,6430,8008,4543,1904,1536525,48.29,-116.6,4972,78.9,,,,,,4.59,6.06,3.13,11.28,8.56,7.73,5.01,3.13,10.03,4.18,5.43,,5.01,8.77,4.39,4.39,,4.39,3.34,3.13,,8.15,32.37,4.18,,5.64,5.01,3.97,5.43,39.48,5.01,19.42,6.89,5.43,3.13,3.34,-2.067901,-7.006173,3.574074,1.36525,40.64,-5.882716,75.461921
US_ID_16017,2020-01-10,ChIJ3yj1n4LZY1MR2wl9Ma5gO9I,Q483932,geoId/16017,US,United States of America,ID,Idaho,16017,Bonner County,US,USA,2,,,,,,,43654,21756,21898,4539,4991,3856,4544,4839,6430,8008,4543,1904,1536525,48.29,-116.6,4972,78.9,,,,,,4.99,11.01,4.99,11.85,9.35,6.24,4.78,3.53,11.01,3.74,4.16,,5.61,10.18,4.36,4.16,4.57,4.16,3.95,5.4,3.95,9.77,29.93,5.61,6.03,3.53,6.86,,5.2,35.54,,5.61,5.4,3.95,4.36,3.95,-5.395062,-8.296296,-0.864198,0.399143,89.746667,-7.796296,83.351923
