location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_LA_22053,2020-01-01,ChIJRy2Kd71mO4YRqJpMHyeEDgw,Q504355,geoId/22053,US,United States of America,LA,Louisiana,22053,Jefferson Davis Parish,US,USA,2,,,,,,,31480,15425,16055,4426,4344,3934,3868,3556,4342,3546,2136,1328,1838151,30.2425,-92.673333,23,1706,74.757143,,,,,,8.19,11.31,7.02,,,16.38,6.24,7.02,25.35,,13.65,35.09,7.41,,9.666667,4.765432,14.555556,0.0,3.111111,64.898895
US_LA_22053,2020-01-02,ChIJRy2Kd71mO4YRqJpMHyeEDgw,Q504355,geoId/22053,US,United States of America,LA,Louisiana,22053,Jefferson Davis Parish,US,USA,2,,,,,,,31480,15425,16055,4426,4344,3934,3868,3556,4342,3546,2136,1328,1838151,30.2425,-92.673333,23,1706,74.757143,,,,,,9.11,11.56,7.71,7.0,8.76,23.46,12.96,8.4,30.12,8.76,,45.53,8.4,5.25,15.771605,10.462963,21.617284,9.101667,13.396825,86.428662
US_LA_22053,2020-01-03,ChIJRy2Kd71mO4YRqJpMHyeEDgw,Q504355,geoId/22053,US,United States of America,LA,Louisiana,22053,Jefferson Davis Parish,US,USA,2,,,,,,,31480,15425,16055,4426,4344,3934,3868,3556,4342,3546,2136,1328,1838151,30.2425,-92.673333,23,1706,74.757143,,,,,,11.87,6.83,8.63,6.83,8.27,23.73,10.43,7.19,25.89,6.47,7.91,42.79,5.03,7.19,16.401235,14.135802,21.191358,28.629429,14.769841,90.305064
US_LA_22053,2020-01-04,ChIJRy2Kd71mO4YRqJpMHyeEDgw,Q504355,geoId/22053,US,United States of America,LA,Louisiana,22053,Jefferson Davis Parish,US,USA,2,,,,,,,31480,15425,16055,4426,4344,3934,3868,3556,4342,3546,2136,1328,1838151,30.2425,-92.673333,23,1706,74.757143,,,,,,11.1,13.78,6.51,,,15.31,7.27,10.33,24.11,6.51,7.27,37.13,6.51,8.04,13.024691,7.123457,17.91358,4.374444,6.912698,66.651208
US_LA_22053,2020-01-05,ChIJRy2Kd71mO4YRqJpMHyeEDgw,Q504355,geoId/22053,US,United States of America,LA,Louisiana,22053,Jefferson Davis Parish,US,USA,2,,,,,,,31480,15425,16055,4426,4344,3934,3868,3556,4342,3546,2136,1328,1838151,30.2425,-92.673333,23,1706,74.757143,,,,,,7.27,11.86,,5.35,6.12,16.06,12.62,6.12,18.36,7.65,9.94,40.54,,6.88,10.777778,4.006173,19.876543,0.0,5.722222,72.039207
US_LA_22053,2020-01-06,ChIJRy2Kd71mO4YRqJpMHyeEDgw,Q504355,geoId/22053,US,United States of America,LA,Louisiana,22053,Jefferson Davis Parish,US,USA,2,,,,,,,31480,15425,16055,4426,4344,3934,3868,3556,4342,3546,2136,1328,1838151,30.2425,-92.673333,23,1706,74.757143,,,,,,8.54,10.76,5.94,7.79,,15.96,10.02,11.88,26.73,5.94,14.48,38.97,7.79,7.79,14.45679,8.067901,21.95679,0.0,10.404762,77.999379
US_LA_22053,2020-01-07,ChIJRy2Kd71mO4YRqJpMHyeEDgw,Q504355,geoId/22053,US,United States of America,LA,Louisiana,22053,Jefferson Davis Parish,US,USA,2,,,,,,,31480,15425,16055,4426,4344,3934,3868,3556,4342,3546,2136,1328,1838151,30.2425,-92.673333,23,1706,74.757143,,,,,,7.06,9.18,10.94,,,12.71,8.82,8.47,37.06,7.41,11.29,41.3,,5.65,13.882716,7.888889,18.709877,0.0,4.531746,53.897039
US_LA_22053,2020-01-08,ChIJRy2Kd71mO4YRqJpMHyeEDgw,Q504355,geoId/22053,US,United States of America,LA,Louisiana,22053,Jefferson Davis Parish,US,USA,2,,,,,,,31480,15425,16055,4426,4344,3934,3868,3556,4342,3546,2136,1328,1838151,30.2425,-92.673333,23,1706,74.757143,,,,,,9.15,9.53,7.63,5.34,5.34,16.01,8.01,,33.17,,9.15,38.51,12.96,9.91,9.08642,1.524691,18.617284,0.0,1.095238,58.299372
US_LA_22053,2020-01-09,ChIJRy2Kd71mO4YRqJpMHyeEDgw,Q504355,geoId/22053,US,United States of America,LA,Louisiana,22053,Jefferson Davis Parish,US,USA,2,,,,,,,31480,15425,16055,4426,4344,3934,3868,3556,4342,3546,2136,1328,1838151,30.2425,-92.673333,23,1706,74.757143,,,,,,8.8,7.65,7.27,,6.12,13.38,7.65,7.27,30.21,5.35,9.94,40.15,11.86,9.56,15.660494,10.092593,22.697531,0.0,11.031746,74.009298
US_LA_22053,2020-01-10,ChIJRy2Kd71mO4YRqJpMHyeEDgw,Q504355,geoId/22053,US,United States of America,LA,Louisiana,22053,Jefferson Davis Parish,US,USA,2,,,,,,,31480,15425,16055,4426,4344,3934,3868,3556,4342,3546,2136,1328,1838151,30.2425,-92.673333,23,1706,74.757143,,,,,,9.16,9.9,5.87,8.43,,13.93,6.96,,32.26,9.9,8.8,39.95,8.8,5.87,20.623457,17.54321,24.45679,0.0,17.777778,83.644199
