location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IN_18055,2020-01-11,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,,7.45,5.76,5.76,,5.76,13.21,6.44,9.15,,7.45,7.45,25.07,7.11,8.13,5.08,34.89,8.81,6.1,12.65,4.861111,17.333333,33.104667,11.222222,91.986721
US_IN_18055,2020-01-12,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,,9.16,10.85,,,5.43,14.24,8.48,11.53,5.76,,8.82,22.72,,5.43,8.82,32.22,8.14,,1.966667,0.2,4.733333,27.206222,0.179012,88.445459
US_IN_18055,2020-01-13,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,,6.73,10.53,9.36,4.97,8.78,16.38,7.9,11.7,5.26,,9.65,20.48,7.02,7.61,9.36,40.08,6.44,5.56,3.866667,1.277778,6.327778,0.127,1.141975,82.639297
US_IN_18055,2020-01-14,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,7.74,7.14,10.72,8.63,7.14,6.55,13.1,4.76,11.31,,,7.44,28.87,6.25,4.76,6.25,36.91,8.34,5.36,4.344444,0.061111,9.727778,0.028222,2.759259,89.868564
US_IN_18055,2020-01-15,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,,4.45,8.61,,8.61,6.83,11.28,5.93,8.31,6.83,4.16,12.17,24.04,9.2,9.79,5.64,36.5,8.61,7.12,5.594444,0.127778,11.738889,0.09525,4.919753,95.307812
US_IN_18055,2020-01-16,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,4.62,10.47,9.24,4.62,5.54,,14.79,9.55,12.94,7.09,5.54,6.78,19.72,8.93,,,35.43,8.63,,2.211111,-2.311111,10.233333,0.0762,-1.549383,76.980734
US_IN_18055,2020-01-17,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,5.6,6.19,9.43,6.78,5.6,5.3,12.38,5.01,13.85,,,7.96,21.22,4.42,5.6,5.3,35.07,5.3,,-2.455556,-4.833333,2.327778,0.0,-7.092593,70.188712
US_IN_18055,2020-01-18,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,,8.69,7.64,5.21,7.99,9.73,14.94,8.69,6.6,5.21,5.91,7.64,23.62,8.34,5.91,,40.3,7.99,4.86,4.1,-1.633333,10.294444,14.097,1.296296,81.842533
US_IN_18055,2020-01-19,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,,6.47,10.89,10.21,5.79,5.45,9.53,9.19,13.27,6.13,5.11,7.83,24.85,7.49,7.83,6.81,38.12,7.83,10.21,-7.25,-10.794444,0.838889,9.680222,-11.876543,69.898847
US_IN_18055,2020-01-20,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,4.96,9.05,8.46,5.84,5.25,5.84,14.88,11.09,9.05,5.84,4.67,6.71,21.89,5.25,5.54,6.71,37.65,8.46,4.67,-7.805556,-10.277778,-3.694444,0.0,-11.197531,76.174802
US_IN_18055,2020-01-21,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,,12.23,11.33,7.16,,,18.19,8.35,7.75,5.67,5.96,5.67,27.44,4.17,7.46,5.07,36.68,9.54,6.26,-3.444444,-7.5,0.277778,0.036286,-7.012346,76.421985
US_IN_18055,2020-01-22,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,4.51,4.51,11.72,4.51,5.11,6.31,19.23,10.52,9.62,9.31,,9.01,31.55,7.51,4.81,6.31,43.57,7.81,,-3.266667,-7.211111,2.066667,0.0254,-7.080247,74.697377
US_IN_18055,2020-01-23,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,5.67,5.97,14.33,4.18,5.37,4.18,14.03,6.57,9.25,,,9.85,31.94,8.06,8.06,4.48,42.39,9.85,5.08,2.494444,-0.861111,6.727778,0.169333,-4.222222,61.90712
