location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18117,2020-01-01,ChIJ3cfwHtyEbogRmniKNbbQOsw,Q513092,geoId/18117,US,United States of America,IN,Indiana,18117,Orange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423,9695,9728,2327,2546,2169,2104,2300,2918,2582,1649,828,1482465,38.54,-86.5,1057,77.016667,,,,,,8.19,17.93,10.76,27.14,15.88,30.73,,3.916667,-0.483333,9.8,0.0,,-2.759259,61.426268
US_IN_18117,2020-01-02,ChIJ3cfwHtyEbogRmniKNbbQOsw,Q513092,geoId/18117,US,United States of America,IN,Indiana,18117,Orange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423,9695,9728,2327,2546,2169,2104,2300,2918,2582,1649,828,1482465,38.54,-86.5,1057,77.016667,,,,,,8.06,15.17,11.38,33.66,9.01,42.19,,7.316667,1.344444,10.733333,0.677333,,0.561728,62.538366
US_IN_18117,2020-01-03,ChIJ3cfwHtyEbogRmniKNbbQOsw,Q513092,geoId/18117,US,United States of America,IN,Indiana,18117,Orange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423,9695,9728,2327,2546,2169,2104,2300,2918,2582,1649,828,1482465,38.54,-86.5,1057,77.016667,,,,,,11.82,11.37,8.64,23.65,14.1,32.74,,9.861111,5.777778,10.955556,13.546667,,9.08642,94.410924
US_IN_18117,2020-01-04,ChIJ3cfwHtyEbogRmniKNbbQOsw,Q513092,geoId/18117,US,United States of America,IN,Indiana,18117,Orange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423,9695,9728,2327,2546,2169,2104,2300,2918,2582,1649,828,1482465,38.54,-86.5,1057,77.016667,,,,,,8.55,,,20.12,,45.28,,4.438889,1.933333,9.588889,6.632222,,2.024691,83.849832
US_IN_18117,2020-01-05,ChIJ3cfwHtyEbogRmniKNbbQOsw,Q513092,geoId/18117,US,United States of America,IN,Indiana,18117,Orange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423,9695,9728,2327,2546,2169,2104,2300,2918,2582,1649,828,1482465,38.54,-86.5,1057,77.016667,,,,,,16.23,15.18,7.85,25.13,10.99,38.22,7.85,2.666667,-3.155556,10.327778,0.4572,,-2.123457,70.237802
US_IN_18117,2020-01-06,ChIJ3cfwHtyEbogRmniKNbbQOsw,Q513092,geoId/18117,US,United States of America,IN,Indiana,18117,Orange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423,9695,9728,2327,2546,2169,2104,2300,2918,2582,1649,828,1482465,38.54,-86.5,1057,77.016667,,,,,,12.17,14.12,10.71,21.91,7.3,35.55,,3.972222,-2.883333,9.633333,0.0,,-3.41358,58.542777
US_IN_18117,2020-01-07,ChIJ3cfwHtyEbogRmniKNbbQOsw,Q513092,geoId/18117,US,United States of America,IN,Indiana,18117,Orange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423,9695,9728,2327,2546,2169,2104,2300,2918,2582,1649,828,1482465,38.54,-86.5,1057,77.016667,,,,,,11.81,9.18,7.43,27.11,10.06,40.23,9.62,3.022222,-2.838889,9.411111,0.0,,-4.259259,59.189057
US_IN_18117,2020-01-08,ChIJ3cfwHtyEbogRmniKNbbQOsw,Q513092,geoId/18117,US,United States of America,IN,Indiana,18117,Orange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423,9695,9728,2327,2546,2169,2104,2300,2918,2582,1649,828,1482465,38.54,-86.5,1057,77.016667,,,,,,8.27,11.31,8.7,28.28,,43.5,7.39,2.977778,-1.888889,7.594444,0.0,,-7.141975,47.566513
US_IN_18117,2020-01-09,ChIJ3cfwHtyEbogRmniKNbbQOsw,Q513092,geoId/18117,US,United States of America,IN,Indiana,18117,Orange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423,9695,9728,2327,2546,2169,2104,2300,2918,2582,1649,828,1482465,38.54,-86.5,1057,77.016667,,,,,,13.28,17.27,9.3,24.8,7.08,31.88,7.97,5.455556,-1.144444,14.044444,0.0,,-5.481481,45.093464
US_IN_18117,2020-01-10,ChIJ3cfwHtyEbogRmniKNbbQOsw,Q513092,geoId/18117,US,United States of America,IN,Indiana,18117,Orange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423,9695,9728,2327,2546,2169,2104,2300,2918,2582,1649,828,1482465,38.54,-86.5,1057,77.016667,,,,,,8.38,8.79,7.12,23.03,10.05,32.24,11.72,13.166667,8.916667,15.594444,13.405556,,7.197531,67.852253
