location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NE_31185,2020-01-01,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,,37.89,,30.6,,40.81,,-0.738889,-5.227778,6.072222,0.0,64.77,-5.166667,73.221447
US_NE_31185,2020-01-02,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,,35.91,10.64,35.91,,37.24,,1.922222,-2.472222,5.544444,0.028222,40.64,-0.770833,82.926119
US_NE_31185,2020-01-03,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,13.45,12.78,,29.59,,43.72,,0.355556,-3.855556,4.661111,0.0,30.48,-2.916667,78.796794
US_NE_31185,2020-01-04,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,,21.63,,33.49,10.46,36.28,,-1.005556,-7.794444,7.322222,0.0,30.48,-6.527778,66.525894
US_NE_31185,2020-01-05,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,,19.28,,27.85,,34.99,,5.111111,1.733333,7.944444,0.0,,-2.333333,59.21176
US_NE_31185,2020-01-06,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,,14.37,9.77,29.88,10.92,44.24,,0.077778,-5.161111,7.016667,0.0,,-4.0625,72.911102
US_NE_31185,2020-01-07,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,,14.12,8.47,35.01,,45.74,12.42,1.238889,-4.861111,8.983333,0.0,,-4.222222,67.060149
US_NE_31185,2020-01-08,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,,19.71,9.31,35.58,,37.77,,-1.172222,-5.388889,6.433333,0.1524,,-5.361111,73.340599
US_NE_31185,2020-01-09,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,12.23,17.8,10.57,34.48,10.57,45.04,13.9,4.561111,-0.827778,7.794444,0.0,,-1.618056,65.752895
US_NE_31185,2020-01-10,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,,15.04,9.67,23.1,,41.91,9.67,-2.977778,-8.322222,3.711111,0.0,,-5.291667,84.297938
US_NE_31185,2020-01-11,ChIJLcNMqXhFl4cRl_HkEUbkSb0,Q489648,geoId/31185,US,United States of America,NE,Nebraska,31185,York County,US,USA,2,,,,,,,13762,6739,7023,1793,1797,1744,1601,1366,1797,1748,1085,831,1425436,40.87,-97.6,576,79.5,,,,,21.28,14.19,28.38,,32.63,,-10.394444,-15.2,-2.9,0.423333,,-16.368056,61.299517
