location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_parks,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51017,2020-01-01,ChIJ37fScgKjTIgR1a3nxXmUSL8,Q495165,geoId/51017,US,United States of America,VA,Virginia,51017,Bath County,US,USA,2,,,,,,,4266,2150,2116,354,375,440,379,486,723,713,527,269,2532614,38.06,-79.74,1384,77.4,,3.716667,0.655556,7.838889,0.0254,,-3.375,58.853412
US_VA_51017,2020-01-02,ChIJ37fScgKjTIgR1a3nxXmUSL8,Q495165,geoId/51017,US,United States of America,VA,Virginia,51017,Bath County,US,USA,2,,,,,,,4266,2150,2116,354,375,440,379,486,723,713,527,269,2532614,38.06,-79.74,1384,77.4,,3.661111,-2.266667,11.555556,0.0,,-3.340278,61.503497
US_VA_51017,2020-01-03,ChIJ37fScgKjTIgR1a3nxXmUSL8,Q495165,geoId/51017,US,United States of America,VA,Virginia,51017,Bath County,US,USA,2,,,,,,,4266,2150,2116,354,375,440,379,486,723,713,527,269,2532614,38.06,-79.74,1384,77.4,,8.9,3.805556,11.827778,3.668889,,7.298611,88.748507
US_VA_51017,2020-01-04,ChIJ37fScgKjTIgR1a3nxXmUSL8,Q495165,geoId/51017,US,United States of America,VA,Virginia,51017,Bath County,US,USA,2,,,,,,,4266,2150,2116,354,375,440,379,486,723,713,527,269,2532614,38.06,-79.74,1384,77.4,,10.561111,4.722222,14.077778,4.007556,,9.069444,89.415715
US_VA_51017,2020-01-05,ChIJ37fScgKjTIgR1a3nxXmUSL8,Q495165,geoId/51017,US,United States of America,VA,Virginia,51017,Bath County,US,USA,2,,,,,,,4266,2150,2116,354,375,440,379,486,723,713,527,269,2532614,38.06,-79.74,1384,77.4,,1.777778,-0.944444,8.711111,6.237111,,-3.777778,66.888828
US_VA_51017,2020-01-06,ChIJ37fScgKjTIgR1a3nxXmUSL8,Q495165,geoId/51017,US,United States of America,VA,Virginia,51017,Bath County,US,USA,2,,,,,,,4266,2150,2116,354,375,440,379,486,723,713,527,269,2532614,38.06,-79.74,1384,77.4,,3.888889,-1.594444,8.366667,0.5334,,-4.361111,55.098514
US_VA_51017,2020-01-07,ChIJ37fScgKjTIgR1a3nxXmUSL8,Q495165,geoId/51017,US,United States of America,VA,Virginia,51017,Bath County,US,USA,2,,,,,,,4266,2150,2116,354,375,440,379,486,723,713,527,269,2532614,38.06,-79.74,1384,77.4,,-0.622222,-4.461111,7.355556,0.790222,50.8,-5.194444,71.978633
US_VA_51017,2020-01-08,ChIJ37fScgKjTIgR1a3nxXmUSL8,Q495165,geoId/51017,US,United States of America,VA,Virginia,51017,Bath County,US,USA,2,,,,,,,4266,2150,2116,354,375,440,379,486,723,713,527,269,2532614,38.06,-79.74,1384,77.4,,1.738889,-3.933333,5.583333,6.223,,-6.138889,55.549812
US_VA_51017,2020-01-09,ChIJ37fScgKjTIgR1a3nxXmUSL8,Q495165,geoId/51017,US,United States of America,VA,Virginia,51017,Bath County,US,USA,2,,,,,,,4266,2150,2116,354,375,440,379,486,723,713,527,269,2532614,38.06,-79.74,1384,77.4,,-0.45,-6.372222,7.55,0.1524,99.06,-9.673611,49.473085
US_VA_51017,2020-01-10,ChIJ37fScgKjTIgR1a3nxXmUSL8,Q495165,geoId/51017,US,United States of America,VA,Virginia,51017,Bath County,US,USA,2,,,,,,,4266,2150,2116,354,375,440,379,486,723,713,527,269,2532614,38.06,-79.74,1384,77.4,,5.35,-1.683333,12.438889,0.0,78.74,-0.465278,67.055146
