location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WA_53065,2020-01-01,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,6.75,4.42,4.16,8.83,9.09,5.45,4.93,3.64,17.4,5.45,,5.19,3.64,4.93,5.19,,,5.97,25.97,5.97,5.97,,4.16,,30.64,4.16,,5.45,,4.16,3.858025,-0.191358,6.401235,11.575143,100.33,1.819444,88.121211
US_WA_53065,2020-01-02,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,5.05,8.08,,5.55,5.3,8.08,4.8,,9.85,6.56,6.82,7.57,,3.79,4.04,6.06,4.29,8.33,17.17,4.29,7.32,,4.54,4.54,33.07,3.79,4.04,,5.05,4.54,2.5,-0.006173,6.419753,0.056444,129.54,-2.1875,71.726483
US_WA_53065,2020-01-03,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,3.77,8.28,,8.03,8.03,5.52,6.28,,12.3,4.02,5.52,5.27,4.02,3.51,4.27,,4.02,6.28,16.82,5.02,5.27,4.27,,4.52,32.88,5.77,5.77,6.78,,4.27,2.296296,-0.67284,6.858025,2.902857,160.02,-0.381944,83.852551
US_WA_53065,2020-01-04,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.76,8.99,5.55,8.99,6.08,3.97,7.14,3.97,11.63,7.93,3.97,6.61,6.61,,,,6.88,4.23,18.77,,5.82,,,6.88,34.64,4.23,3.7,3.7,,,4.567901,0.222222,8.179012,0.725714,160.02,-2.340278,62.499112
US_WA_53065,2020-01-05,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,5.85,5.59,4.58,7.38,6.61,6.36,5.34,5.34,11.95,,3.81,6.1,3.81,4.07,5.09,,,10.17,19.58,3.81,6.1,4.07,3.81,4.58,31.53,4.83,6.61,5.59,,5.85,1.209877,-1.32716,6.876543,0.072571,160.02,-2.868056,74.459372
US_WA_53065,2020-01-06,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,3.45,7.6,,4.37,6.91,6.45,6.22,3.68,13.81,8.06,6.68,5.75,,3.91,4.83,,4.83,7.83,31.08,7.37,5.29,3.22,4.37,5.75,35.91,4.14,3.91,5.53,3.22,4.83,0.820988,-1.265432,4.487654,2.032,77.046667,-0.881944,89.122195
US_WA_53065,2020-01-07,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,,,3.82,9.13,8.28,4.46,6.58,2.97,14.44,7.01,5.1,10.83,,6.79,3.82,,3.82,6.37,21.02,5.31,4.67,4.46,5.95,6.79,33.98,2.97,6.16,4.04,3.4,3.61,4.277778,0.518519,5.549383,8.454571,299.72,2.090278,88.29055
US_WA_53065,2020-01-08,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,3.1,6.42,3.76,6.64,7.3,7.08,5.09,,11.07,7.3,,6.64,4.21,5.09,3.76,3.98,4.87,5.31,32.98,,3.54,3.76,3.98,4.21,34.08,4.21,12.84,4.43,3.76,,3.376543,1.061728,6.104938,4.281714,320.04,0.284722,80.897245
US_WA_53065,2020-01-09,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,3.24,4.75,,8.64,5.62,4.1,4.97,,11.23,3.46,3.46,7.77,,3.89,,,3.46,5.4,25.91,5.4,,4.32,4.32,5.18,24.19,3.46,9.5,3.24,3.89,3.24,-1.839506,-7.469136,4.148148,0.28575,269.24,-6.180556,72.503217
US_WA_53065,2020-01-10,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,3.04,4.77,,4.77,6.5,,3.47,,6.07,6.29,,8.02,3.69,,4.12,,3.47,4.34,16.48,6.29,3.04,,4.34,4.34,31.22,3.69,4.12,3.47,5.64,,-5.030864,-8.111111,-0.333333,0.689429,165.946667,-6.888889,85.477473
