location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SD_46127,2020-01-01,ChIJ6RBFroxmjocRnRt-ebNtJZc,Q495216,geoId/46127,US,United States of America,SD,South Dakota,46127,Union County,US,USA,2,,,,,,,15277,7732,7545,1984,2091,1613,1865,1874,2062,2036,1093,659,1425453,42.83,-96.65,1210,80.666667,,,,,9.69,12.75,8.67,18.37,,23.47,,36.22,,-4.3,-8.911111,1.794444,0.0,56.726667,-6.617284,82.26834
US_SD_46127,2020-01-02,ChIJ6RBFroxmjocRnRt-ebNtJZc,Q495216,geoId/46127,US,United States of America,SD,South Dakota,46127,Union County,US,USA,2,,,,,,,15277,7732,7545,1984,2091,1613,1865,1874,2062,2036,1093,659,1425453,42.83,-96.65,1210,80.666667,,,,,9.14,12.34,9.6,20.56,11.88,30.16,,42.04,9.14,0.583333,-2.994444,2.327778,0.03175,69.85,-1.04321,88.361634
US_SD_46127,2020-01-03,ChIJ6RBFroxmjocRnRt-ebNtJZc,Q495216,geoId/46127,US,United States of America,SD,South Dakota,46127,Union County,US,USA,2,,,,,,,15277,7732,7545,1984,2091,1613,1865,1874,2062,2036,1093,659,1425453,42.83,-96.65,1210,80.666667,,,,,,10.42,,25.57,,28.41,,44.98,,-1.038889,-3.888889,1.8,0.0,59.69,-2.277778,91.133536
US_SD_46127,2020-01-04,ChIJ6RBFroxmjocRnRt-ebNtJZc,Q495216,geoId/46127,US,United States of America,SD,South Dakota,46127,Union County,US,USA,2,,,,,,,15277,7732,7545,1984,2091,1613,1865,1874,2062,2036,1093,659,1425453,42.83,-96.65,1210,80.666667,,,,,11.26,,,19.3,,26.26,9.65,41.27,,-4.727778,-11.316667,2.661111,0.338667,54.61,-7.04321,82.42544
US_SD_46127,2020-01-05,ChIJ6RBFroxmjocRnRt-ebNtJZc,Q495216,geoId/46127,US,United States of America,SD,South Dakota,46127,Union County,US,USA,2,,,,,,,15277,7732,7545,1984,2091,1613,1865,1874,2062,2036,1093,659,1425453,42.83,-96.65,1210,80.666667,,,,,10.34,,14.47,10.34,12.4,24.29,,42.38,,2.388889,-0.711111,4.95,0.0,45.72,-1.969136,72.29951
US_SD_46127,2020-01-06,ChIJ6RBFroxmjocRnRt-ebNtJZc,Q495216,geoId/46127,US,United States of America,SD,South Dakota,46127,Union County,US,USA,2,,,,,,,15277,7732,7545,1984,2091,1613,1865,1874,2062,2036,1093,659,1425453,42.83,-96.65,1210,80.666667,,,,,6.43,10.29,,24.0,9.86,30.43,,42.01,,-1.438889,-5.116667,3.055556,0.0,40.64,-3.561728,84.823851
US_SD_46127,2020-01-07,ChIJ6RBFroxmjocRnRt-ebNtJZc,Q495216,geoId/46127,US,United States of America,SD,South Dakota,46127,Union County,US,USA,2,,,,,,,15277,7732,7545,1984,2091,1613,1865,1874,2062,2036,1093,659,1425453,42.83,-96.65,1210,80.666667,,,,,9.38,9.38,,10.23,9.81,29.42,,42.64,,-2.161111,-6.766667,2.477778,0.0508,30.48,-4.574074,82.920268
US_SD_46127,2020-01-08,ChIJ6RBFroxmjocRnRt-ebNtJZc,Q495216,geoId/46127,US,United States of America,SD,South Dakota,46127,Union County,US,USA,2,,,,,,,15277,7732,7545,1984,2091,1613,1865,1874,2062,2036,1093,659,1425453,42.83,-96.65,1210,80.666667,,,,,11.17,10.76,,9.93,9.1,33.92,,43.44,12.41,-8.311111,-12.155556,-1.605556,0.0,30.48,-13.203704,66.048746
US_SD_46127,2020-01-09,ChIJ6RBFroxmjocRnRt-ebNtJZc,Q495216,geoId/46127,US,United States of America,SD,South Dakota,46127,Union County,US,USA,2,,,,,,,15277,7732,7545,1984,2091,1613,1865,1874,2062,2036,1093,659,1425453,42.83,-96.65,1210,80.666667,,,,,9.13,10.87,8.69,18.26,8.69,36.52,,40.86,13.48,-2.4,-8.044444,1.416667,0.0,40.64,-6.401235,72.748344
US_SD_46127,2020-01-10,ChIJ6RBFroxmjocRnRt-ebNtJZc,Q495216,geoId/46127,US,United States of America,SD,South Dakota,46127,Union County,US,USA,2,,,,,,,15277,7732,7545,1984,2091,1613,1865,1874,2062,2036,1093,659,1425453,42.83,-96.65,1210,80.666667,,,,,9.16,9.16,7.85,14.39,9.16,42.3,6.54,36.19,10.47,-6.794444,-12.633333,-2.261111,0.0,40.64,-9.450617,79.98635
