location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IL_17045,2020-01-01,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,,16.81,31.6,39.67,2.094444,-2.977778,8.827778,0.0,-2.685185,71.296165
US_IL_17045,2020-01-02,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,,18.84,32.22,44.98,6.033333,1.894444,11.083333,0.0,-0.197531,64.710438
US_IL_17045,2020-01-03,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,16.59,20.14,34.37,38.51,5.733333,2.666667,8.25,1.23825,4.858025,92.977988
US_IL_17045,2020-01-04,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,,13.43,22.16,34.91,1.65,-0.027778,4.0,0.211667,-0.469136,85.678869
US_IL_17045,2020-01-05,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,11.53,24.41,21.02,39.33,1.033333,-4.538889,9.122222,0.1016,-3.339506,72.809706
US_IL_17045,2020-01-06,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,14.53,16.68,28.53,37.68,1.644444,-4.55,7.311111,0.0,-4.203704,65.512426
US_IL_17045,2020-01-07,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,13.94,11.88,30.98,40.27,0.844444,-4.405556,7.216667,0.0508,-4.0,70.183353
US_IL_17045,2020-01-08,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,10.29,9.78,26.77,39.12,-0.738889,-4.472222,3.577778,0.0508,-7.660494,59.566174
US_IL_17045,2020-01-09,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,12.63,,23.68,27.89,3.6,-2.783333,11.661111,0.0508,-4.54321,55.627111
US_IL_17045,2020-01-10,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,7.75,8.26,22.21,36.16,10.45,6.672222,14.144444,15.748,8.666667,88.638915
US_IL_17045,2020-01-11,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,,11.97,31.68,42.24,8.944444,2.222222,15.25,42.926,7.895062,92.448952
US_IL_17045,2020-01-12,ChIJkST6Ms69cogRCAPGWoBqOUQ,Q484124,geoId/17045,US,United States of America,IL,Illinois,17045,Edgar County,US,USA,2,,,,,,,17390,8491,8899,1861,2055,1886,1981,2066,2499,2439,1588,1015,1801525,39.68,-87.75,1617,76.76,,,,,,,26.36,34.47,-0.727778,-2.566667,2.205556,15.24,-2.296296,88.794773
