location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47147,2020-01-01,ChIJSZoDIMxVZIgRCM0qa83_1KA,Q495043,geoId/47147,US,United States of America,TN,Tennessee,47147,Robertson County,US,USA,2,,,,,,,70328,34719,35609,9081,9471,8424,9238,9193,10340,8016,4499,2066,1847641,36.53,-86.87,1235,75.25,,,,,,2.86,6.25,7.42,9.63,12.1,1.82,6.63,5.72,1.82,2.08,6.25,4.94,,2.47,,2.08,3.38,22.9,3.12,14.7,3.9,2.34,3.25,2.86,9.37,4.81,2.47,2.34,2.86,5.99,3.9,2.21,6.63,5.07,,6.9,1.95,4.42,7.42,,27.71,5.86,3.77,7.42,2.73,3.12,6.77,3.12,2.6,4.94,41.63,2.08,1.82,2.34,3.51,3.9,7.29,3.25,2.34,4.29,2.34,7.55,4.42,5.2,2.47,5.99,3.77,2.08,4.901235,-0.820988,11.111111,0.028222,,-3.965278,52.935381
US_TN_47147,2020-01-02,ChIJSZoDIMxVZIgRCM0qa83_1KA,Q495043,geoId/47147,US,United States of America,TN,Tennessee,47147,Robertson County,US,USA,2,,,,,,,70328,34719,35609,9081,9471,8424,9238,9193,10340,8016,4499,2066,1847641,36.53,-86.87,1235,75.25,,,,,,3.12,6.62,10.49,4.12,10.37,,8.62,6.49,,1.87,6.37,4.25,2.37,3.12,2.62,,4.25,21.36,3.0,14.74,4.12,,4.87,2.12,10.49,3.87,2.12,2.75,5.37,4.5,5.37,3.25,4.12,4.87,,6.12,3.0,4.37,9.12,2.0,34.22,4.62,4.37,8.87,4.75,4.87,4.12,2.0,3.62,7.37,44.21,2.25,,2.0,3.37,5.12,6.62,,3.62,4.25,2.87,7.37,5.37,5.75,4.37,6.62,4.0,1.87,8.641975,4.549383,11.469136,3.46075,,1.4375,60.275566
US_TN_47147,2020-01-03,ChIJSZoDIMxVZIgRCM0qa83_1KA,Q495043,geoId/47147,US,United States of America,TN,Tennessee,47147,Robertson County,US,USA,2,,,,,,,70328,34719,35609,9081,9471,8424,9238,9193,10340,8016,4499,2066,1847641,36.53,-86.87,1235,75.25,,,,,,,7.98,8.48,4.62,11.35,,7.73,7.11,2.12,3.49,6.49,3.62,3.12,3.87,,1.87,2.25,20.58,3.62,12.97,3.99,1.87,4.62,,12.22,4.87,2.12,1.87,4.24,4.62,4.99,2.25,5.74,3.74,1.87,5.49,,5.24,6.11,,29.81,5.99,4.62,8.36,3.37,3.24,3.74,2.62,2.0,6.99,48.9,2.12,,1.87,3.87,4.12,6.11,1.87,3.62,2.87,2.74,5.86,6.86,5.49,2.74,4.49,5.49,3.12,12.074074,10.123457,14.154321,17.272,,11.618056,96.338743
US_TN_47147,2020-01-04,ChIJSZoDIMxVZIgRCM0qa83_1KA,Q495043,geoId/47147,US,United States of America,TN,Tennessee,47147,Robertson County,US,USA,2,,,,,,,70328,34719,35609,9081,9471,8424,9238,9193,10340,8016,4499,2066,1847641,36.53,-86.87,1235,75.25,,,,,,2.81,7.53,12.13,3.96,10.34,,6.77,5.36,2.04,2.81,4.98,2.43,3.45,2.94,,,2.17,20.3,6.26,13.53,2.04,2.04,4.98,2.81,10.85,5.62,1.92,1.92,3.45,4.85,6.38,2.55,5.87,4.6,2.68,5.49,1.92,5.24,6.13,,25.15,4.72,4.85,7.92,3.19,2.68,4.72,2.3,2.43,4.85,44.05,2.55,,3.58,3.96,2.81,4.21,,2.68,1.92,2.04,4.98,4.47,3.83,2.68,3.19,3.45,2.3,6.677778,3.161111,12.194444,8.184444,,4.160494,83.590569
US_TN_47147,2020-01-05,ChIJSZoDIMxVZIgRCM0qa83_1KA,Q495043,geoId/47147,US,United States of America,TN,Tennessee,47147,Robertson County,US,USA,2,,,,,,,70328,34719,35609,9081,9471,8424,9238,9193,10340,8016,4499,2066,1847641,36.53,-86.87,1235,75.25,,,,,,3.17,6.46,10.26,5.32,11.02,2.03,8.11,5.96,1.9,3.42,6.84,3.42,,4.43,,2.28,3.8,19.0,4.81,11.66,2.53,2.03,5.96,2.15,8.23,5.07,,,3.42,4.31,4.69,2.91,5.7,4.69,,4.81,,3.8,8.87,,21.79,7.35,3.55,7.47,3.17,3.42,4.05,3.17,3.17,3.8,43.58,1.77,2.15,3.55,4.05,3.17,6.08,2.15,4.05,,2.15,6.59,5.07,5.07,3.04,3.29,,3.55,4.148148,-1.981481,12.425926,0.620889,,-1.625,65.599816
US_TN_47147,2020-01-06,ChIJSZoDIMxVZIgRCM0qa83_1KA,Q495043,geoId/47147,US,United States of America,TN,Tennessee,47147,Robertson County,US,USA,2,,,,,,,70328,34719,35609,9081,9471,8424,9238,9193,10340,8016,4499,2066,1847641,36.53,-86.87,1235,75.25,,,,,,2.84,7.76,9.44,3.36,10.73,,9.96,8.02,1.94,4.14,8.02,6.21,3.23,4.53,1.94,2.71,3.36,19.26,3.75,10.86,3.88,1.81,3.23,2.2,11.12,5.17,1.94,2.2,3.36,6.08,4.65,2.59,5.95,4.27,,4.91,,4.53,10.08,,32.06,6.85,3.23,8.92,4.27,4.01,5.04,1.94,4.78,6.08,48.48,4.78,2.84,1.81,4.91,4.4,7.5,,2.84,4.4,,6.08,4.65,6.33,4.65,4.53,2.33,,5.305556,-1.95,11.155556,0.1778,,-1.703704,60.739212
US_TN_47147,2020-01-07,ChIJSZoDIMxVZIgRCM0qa83_1KA,Q495043,geoId/47147,US,United States of America,TN,Tennessee,47147,Robertson County,US,USA,2,,,,,,,70328,34719,35609,9081,9471,8424,9238,9193,10340,8016,4499,2066,1847641,36.53,-86.87,1235,75.25,,,,,,2.53,5.45,10.01,3.29,9.0,,7.48,6.34,3.55,3.17,6.59,4.82,2.03,4.05,2.28,,3.67,20.4,3.67,12.16,4.56,2.15,4.31,1.77,8.24,4.56,1.9,2.53,3.17,4.69,6.08,2.03,5.07,4.18,,5.45,2.41,4.43,8.74,,31.81,6.46,4.69,8.62,4.05,4.05,5.96,1.77,2.41,5.45,44.48,3.04,2.15,2.92,3.42,4.94,6.21,2.28,3.8,3.17,3.55,5.58,4.69,6.08,4.31,2.92,2.79,3.8,6.494444,-0.705556,11.377778,0.254,,-2.54321,52.260237
US_TN_47147,2020-01-08,ChIJSZoDIMxVZIgRCM0qa83_1KA,Q495043,geoId/47147,US,United States of America,TN,Tennessee,47147,Robertson County,US,USA,2,,,,,,,70328,34719,35609,9081,9471,8424,9238,9193,10340,8016,4499,2066,1847641,36.53,-86.87,1235,75.25,,,,,,1.97,6.29,7.15,3.33,11.84,2.59,7.65,6.29,2.84,4.81,6.66,5.18,2.59,4.19,2.71,3.08,2.34,18.87,3.21,12.33,6.41,2.22,3.7,3.08,10.85,5.43,1.85,2.34,2.96,3.08,4.69,3.58,6.04,2.71,,7.15,,5.55,9.37,,33.42,6.17,3.7,6.91,2.47,3.95,5.55,2.59,3.7,8.38,44.27,,2.71,2.22,2.22,4.32,14.06,2.1,2.59,4.32,2.22,5.8,6.17,4.69,3.45,3.08,5.18,3.08,5.744444,0.416667,12.777778,0.1016,,-3.512346,51.343662
US_TN_47147,2020-01-09,ChIJSZoDIMxVZIgRCM0qa83_1KA,Q495043,geoId/47147,US,United States of America,TN,Tennessee,47147,Robertson County,US,USA,2,,,,,,,70328,34719,35609,9081,9471,8424,9238,9193,10340,8016,4499,2066,1847641,36.53,-86.87,1235,75.25,,,,,,1.95,5.97,8.05,3.54,12.44,,8.78,4.51,1.83,3.29,5.73,4.51,,2.56,,,1.83,18.17,4.63,8.78,2.19,3.78,5.12,2.68,11.58,3.54,2.44,2.19,2.93,4.15,5.0,5.24,4.51,4.88,,5.49,1.83,3.05,8.05,1.83,32.68,7.68,3.54,8.17,1.71,4.51,4.39,1.83,2.44,6.1,37.92,1.83,2.44,3.05,2.81,4.76,14.75,,1.95,,3.66,5.97,4.63,5.12,2.93,2.93,2.68,3.41,7.527778,0.666667,15.888889,0.0508,,-3.055556,48.08206
US_TN_47147,2020-01-10,ChIJSZoDIMxVZIgRCM0qa83_1KA,Q495043,geoId/47147,US,United States of America,TN,Tennessee,47147,Robertson County,US,USA,2,,,,,,,70328,34719,35609,9081,9471,8424,9238,9193,10340,8016,4499,2066,1847641,36.53,-86.87,1235,75.25,,,,,,1.7,4.99,7.91,3.77,11.56,,9.25,7.79,2.8,3.41,6.94,4.99,2.8,2.31,2.68,2.19,4.14,17.4,2.07,9.98,5.72,1.82,5.11,2.68,11.07,4.02,2.19,2.8,4.38,4.5,5.35,3.41,3.77,4.38,2.31,4.26,1.7,1.7,8.64,3.41,29.08,6.81,3.16,6.33,3.29,6.33,5.96,2.19,1.95,7.3,44.05,2.19,,,2.19,3.41,9.61,,2.92,2.43,3.65,4.38,5.6,4.5,3.77,2.8,2.07,2.56,16.094444,13.677778,19.361111,0.4445,,7.061728,54.939991
